  dataset     zr_1     zr_2        a      v_1       t0        d      szr       sv      st0      v_2  penalty      fit     time   method
       20   0.6776   0.6834   1.2027  -0.2731   0.6552   0.0061   0.6332   0.2144   0.2184   0.3264   0.0000  55.5799 230.3030       ML
       22   0.4655   0.3178   0.8704   0.7676   0.6478   0.0380   0.0033   0.2825   0.4819   1.7868   0.0000  47.9779 258.4000       ML
       23   0.1031   0.1659   1.2757   5.4192   0.8905   0.3005   0.0454   2.6183   0.5199   2.9745   0.0000  56.1505 262.8390       ML
       24   0.4971   0.3185   0.9530   0.1049   0.4750  -0.0021   0.0001   2.6834   0.2697   2.9841   0.0000  10.3253 124.9790       ML
       26   0.7476   0.8049   1.0156  -1.0316   0.6405  -0.0525   0.3901   0.0112   0.4894   0.0467   0.0000  54.6593 238.6300       ML
       27   0.7871   0.5089   0.9877  -0.5108   0.6398  -0.0720   0.4258   0.8276   0.3377   0.7899   0.0000  41.2876 276.8210       ML
       29   0.2428   0.6344   0.8570   2.2749   0.7617   0.0453   0.4856   0.5229   0.4626   0.5816   0.0000  38.1026 398.5690       ML
       30   0.2868   0.6482   0.8399   2.7799   0.8274   0.0424   0.5735   0.3446   0.6335   0.4249   0.0000  56.7762 202.3660       ML
       31   0.6723   0.6735   0.7232  -1.6833   0.7304   0.0139   0.0003   1.3084   0.5043   2.6802   0.0000   6.8913 152.1570       ML
       32   0.8819   0.7465   1.1469  -2.6821   0.7058  -0.1091   0.2362   0.0000   0.4422  -0.0335   0.0000  49.7048 182.1370       ML
       33   0.4714   0.4668   0.9847  -0.0056   0.4146   0.0398   0.5381   0.0691   0.2931   0.9013   0.0000  50.1927 189.8040       ML
       35   0.6870   0.3703   1.1157   0.6160   0.6843   0.1304   0.0000   0.5948   0.3080   0.2061   0.0000  58.2626  61.7780       ML
       36   0.5527   0.7511   1.0054   0.3829   0.6065  -0.1033   0.4782   0.4688   0.5492  -0.1176   0.0000  74.7150 136.5350       ML
       37   0.5781   0.6257   1.1356   0.1627   0.5259  -0.0388   0.3753   0.4870   0.4357  -0.1813   0.0000  87.7936 212.6980       ML
       38   0.4586   0.4353   0.8760   0.1277   0.6481   0.0558   0.0190   0.0019   0.2624  -0.5516   0.0000  19.7409  76.2060       ML
       40   0.4898   0.5274   0.8082   0.4812   0.5623   0.0077   0.3387   0.3049   0.2183   1.5096   0.0000  -5.9015 103.6040       ML
       42   0.4860   0.6357   1.0369   1.2037   0.6436   0.0496   0.7286   0.1261   0.4673   0.6396   0.0000  67.7465 149.8230       ML
       44   0.7532   0.4702   1.2176  -0.7557   0.5254  -0.0748   0.0699   0.0000   0.1970   0.6902   0.0000  65.6784  60.7520       ML
       45   0.4181   0.5348   1.2390   1.3904   0.5051   0.0666   0.5119   0.0001   0.1644   0.6185   0.0000  63.2096 118.2290       ML
       47   0.0956   0.2429   0.7896   5.9085   0.9542   0.1030   0.0011   0.3003   0.7544   1.4017   0.0000  71.0620  83.8360       ML
       48   0.2011   0.4515   1.2341   7.7302   0.7607   0.1020   0.4021   2.8960   0.4330   0.3483   0.0000  20.5384 192.7790       ML
       49   0.1040   0.1886   1.2342   2.4035   0.7359   0.2777   0.2080   0.1874   0.8278   2.6763   0.0000  94.6601 137.0480       ML
       50   0.6281   0.6707   0.8497   0.6093   0.6597  -0.0147   0.6055   0.0496   0.2286   1.9531   0.0000 -26.0773 178.6120       ML
       53   0.6994   0.4359   1.0423  -0.5936   0.6896  -0.0541   0.0000   0.4322   0.5416   1.3251   0.0000  70.3230 173.0360       ML
       54   0.8084   0.6961   1.0549  -3.0696   0.7299  -0.0495   0.0085   0.4204   0.4006  -1.7563   0.0000  21.6540 118.9340       ML
       55   0.7262   0.5502   1.2190   0.1135   0.5080  -0.1236   0.5477   0.4518   0.1468   0.6208   0.0000  56.8399  41.0130       ML
       56   0.5545   0.4992   1.0825   0.1173   0.4927   0.0130   0.4271   1.0625   0.3130   0.3373   0.0000  65.7360 117.6550       ML
       57   0.7710   0.5793   0.8818  -1.0202   0.7471  -0.0803   0.4581   0.1978   0.4869   0.1101   0.0000  64.2915 116.1160       ML
       58   0.9023   0.5495   0.9217  -1.8994   0.8640   0.0282   0.0000   0.4959   0.6522   0.2622   0.0000  63.7290  69.2210       ML
