  dataset        a        v       t0        d      st0  penalty      fit     time   method
      120   1.1653   0.8433   0.6171   0.1728   0.0001   0.0000  21.1031   0.0690       ML
      122   0.6480   0.9441   0.6971  -0.0009   0.4805   0.0000  14.8200   0.4860       ML
      123   1.0585   0.9611   0.7913   0.2234   0.4878   0.0000  31.2011   0.5690       ML
      124   0.8001   0.8622   0.4794  -0.0147   0.2373   0.0000   0.1402   0.3150       ML
      126   0.9569   0.6357   0.6365   0.1624   0.3721   0.0000  28.1011   0.4340       ML
      127   0.7198   1.2044   0.7175  -0.0339   0.5631   0.0000  23.7679   0.5710       ML
      129   0.8049   0.9369   0.7414   0.0225   0.4209   0.0000  20.8781   0.3440       ML
      130   0.8775   0.9339   0.7762   0.0361   0.6012   0.0000  35.9285   0.5260       ML
      131   0.6204   1.3629   0.7288   0.0383   0.4832   0.0000  10.7708   0.4370       ML
      132   0.8602   0.6397   0.7342   0.0473   0.5676   0.0000  32.4689   0.5670       ML
      133   0.9147   0.2435   0.4088   0.0164   0.3157   0.0000  24.0161   0.2890       ML
      135   1.0197   0.8078   0.7117   0.1468   0.4249   0.0000  34.7512   0.3800       ML
      136   0.7943   0.6609   0.6793  -0.0947   0.7426   0.0000  45.2317   0.7340       ML
      137   1.1160   0.4062   0.5348   0.0222   0.3916   0.0000  44.7759   0.3700       ML
      138   0.8516  -0.6437   0.6434   0.0576   0.1367   0.0000  -2.5106   0.1860       ML
      140   0.7042   1.4069   0.5965   0.0045   0.3076   0.0000  -4.8968   0.3620       ML
      142   0.6427   1.3155   0.7479   0.0845   0.6332   0.0000  26.1193   0.6020       ML
      144   1.1741   0.3774   0.4988   0.0072   0.1828   0.0000  37.9867   0.1870       ML
      145   1.3550   1.1369   0.4768   0.1169   0.0000   0.0000  24.9147   0.0600       ML
      147   1.1028   0.2451   0.7015   0.0548   0.1947   0.0000  32.3811   0.1980       ML
      148   0.8787   1.1041   0.7674   0.1504   0.4013   0.0000  20.5924   0.3360       ML
      149   0.9908   0.4579   0.7109   0.1426   0.8444   0.0000  57.9051   0.8450       ML
      150   0.7806   1.8310   0.6498   0.0422   0.2134   0.0000 -19.5250   0.2470       ML
      153   0.9226   1.0673   0.6983  -0.0650   0.4834   0.0000  27.4330   0.4670       ML
      154   0.7695  -1.1287   0.7967  -0.0136   0.4324   0.0000   9.7096   0.4790       ML
      155   1.2531   1.1703   0.4623  -0.0121   0.0001   0.0000  17.4418   0.0930       ML
      156   1.1165   0.0516   0.4652   0.0608   0.1138   0.0000  31.7827   0.2050       ML
      157   0.5604   0.8703   0.8581  -0.0440   0.6873   0.0000  32.7514   0.6130       ML
      158   0.7807   0.8326   0.9204   0.2148   0.6628   0.0000  35.1214   0.5820       ML
