  dataset        a       t0        d      st0  penalty      fit     time   method
      120   1.1159   0.6200   0.1714   0.0003   0.0000  28.6638   0.0430       ML
      122   0.6356   0.6978  -0.0008   0.4806   0.0000  18.1343   0.3920       ML
      123   1.0073   0.7953   0.2240   0.4906   0.0000  39.2457   0.3690       ML
      124   0.7820   0.4804  -0.0147   0.2372   0.0000   4.1974   0.1640       ML
      126   0.9387   0.6384   0.1625   0.3732   0.0000  31.2471   0.3500       ML
      127   0.6949   0.7187  -0.0337   0.5628   0.0000  29.8613   0.3060       ML
      129   0.7828   0.7430   0.0223   0.4210   0.0000  25.6655   0.2480       ML
      130   0.8496   0.7782   0.0367   0.6012   0.0000  41.5126   0.4990       ML
      131   0.5998   0.7297   0.0380   0.4828   0.0000  16.5216   0.2420       ML
      132   0.8476   0.7349   0.0470   0.5676   0.0000  35.0511   0.3340       ML
      133   0.9130   0.4090   0.0162   0.3156   0.0000  24.4616   0.1820       ML
      135   0.9872   0.7140   0.1463   0.4245   0.0000  40.1629   0.2220       ML
      136   0.7833   0.6801  -0.0947   0.7424   0.0000  47.5697   0.4140       ML
      137   1.1047   0.5358   0.0221   0.3918   0.0000  46.4614   0.2620       ML
      138   0.8394   0.6442   0.0577   0.1367   0.0000   0.0610   0.1520       ML
      140   0.6733   0.5979   0.0044   0.3067   0.0000   3.1922   0.2540       ML
      142   0.6204   0.7490   0.0843   0.6337   0.0000  31.8683   0.4040       ML
      144   1.1629   0.4998   0.0075   0.1834   0.0000  39.6352   0.1150       ML
      145   1.2288   0.4872   0.1227   0.0007   0.0000  40.3725   0.0390       ML
      147   1.0991   0.7019   0.0549   0.1950   0.0000  32.9886   0.1210       ML
      148   0.8414   0.7699   0.1504   0.4006   0.0000  28.2970   0.2200       ML
      149   1.7527   0.3987   0.0392   0.2216   0.0000  70.4891   0.2210       ML
      150   0.7111   0.6543   0.0419   0.2143   0.0000  -4.6843   0.1210       ML
      153   0.8823   0.7009  -0.0652   0.4827   0.0000  35.0098   0.3160       ML
      154   0.7412   0.7987  -0.0142   0.4333   0.0000  15.8164   0.2620       ML
      155   1.1470   0.4689  -0.0122   0.0001   0.0000  32.2940   0.0470       ML
      156   1.1165   0.4652   0.0607   0.1139   0.0000  31.8114   0.1100       ML
      157   0.6428   0.8371   0.0355   0.6111   0.0000  33.9780   0.6120       ML
      158   0.7649   0.9212   0.2148   0.6629   0.0000  38.6366   0.3730       ML
