  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      120   0.6146   1.1707   0.4361   0.6179   0.1328   0.0000   0.0000  19.7522   0.0840       ML
      122   0.4571   0.6518   1.2152   0.6977   0.0086   0.4819   0.0000  14.8182   0.5920       ML
      123   0.0398   3.7212   4.3888   0.6286   0.8790   0.3783   0.0000  20.3598   1.9000       ML
      124   0.3519   0.8680   1.6010   0.4724   0.0376   0.2209   0.0000   0.0666   0.4170       ML
      126   0.3010   1.0448   1.5407   0.6344   0.2533   0.3965   0.0000  27.7174   0.7070       ML
      127   0.8804   0.7836  -1.6505   0.7294  -0.1477   0.5970   0.0000  22.7974   1.8900       ML
      129   0.8721   1.0255  -1.3222   0.7097  -0.1774   0.3818   0.0000  17.4010   1.1230       ML
      130   0.4220   0.8917   1.3097   0.7812   0.0704   0.6055   0.0000  35.8972   0.9870       ML
      131   0.2439   0.7522   3.2014   0.7288   0.1128   0.4775   0.0000  10.6314   0.9290       ML
      132   0.8732   1.1281  -1.5258   0.7210  -0.1401   0.5007   0.0000  28.3610   0.8930       ML
      133   0.4975   0.9146   0.2550   0.4090   0.0174   0.3159   0.0000  24.0161   0.5110       ML
      135   0.4809   1.0288   0.8811   0.7097   0.1577   0.4209   0.0000  34.7495   0.8050       ML
      136   0.6482   1.0259  -0.0832   0.5760  -0.1302   0.5663   0.0000  45.9157   0.9390       ML
      137   0.6800   1.1716  -0.2578   0.5193  -0.0988   0.3547   0.0000  44.1158   0.5030       ML
      138   0.2934   0.8781   0.3862   0.6456   0.1259   0.1425   0.0000  -3.9768   0.2540       ML
      140   0.6597   0.7193   0.4485   0.5841  -0.0508   0.2953   0.0000  -5.1717   0.5530       ML
      142   0.7314   0.6654  -0.2345   0.7425   0.0296   0.6390   0.0000  25.9412   0.8240       ML
      144   0.2835   1.3090   1.1810   0.4913   0.1404   0.1619   0.0000  35.5996   0.3170       ML
      145   0.2998   1.5179   1.8396   0.4706   0.2385   0.0000   0.0000  22.4788   0.0850       ML
      147   0.4270   1.1187   0.5128   0.7004   0.0931   0.1841   0.0000  32.1908   0.3400       ML
      148   0.7273   0.8778  -0.0070   0.7691   0.0517   0.4068   0.0000  20.2333   0.6230       ML
      149   0.0998   1.8301   2.6244   0.6789   0.4875   0.7208   0.0000  50.5676   2.3510       ML
      150   0.7831   0.8125   0.1838   0.6409  -0.0521   0.1931   0.0000 -21.6533   0.4070       ML
      153   0.4006   0.9842   1.4797   0.6878  -0.0145   0.4673   0.0000  27.3686   0.7550       ML
      154   0.7983   1.1223  -2.7140   0.7615  -0.1486   0.3504   0.0000   8.4647   0.8410       ML
      155   0.6085   1.2454   0.8075   0.4648  -0.0645   0.0573   0.0000  16.8363   0.1370       ML
      156   0.6472   1.0799  -0.5213   0.4995  -0.0210   0.2325   0.0000  31.6744   0.3690       ML
      157   0.6260   0.5691  -0.0469   0.8567  -0.0655   0.6833   0.0000  32.7272   0.8090       ML
      158   0.0321   3.6039   4.6147   0.6928   0.8668   0.5188   0.0000  30.9307   2.0050       ML
