  dataset        a       t0        d      st0  penalty      fit     time   method
      100   1.0564   0.6275   0.0057   0.5882   0.0000  84.2316   0.7270       ML
      101   0.9106   0.7295   0.1390   0.4383   0.0000  60.5320   0.5330       ML
      102   1.0153   0.2477   0.0150   0.0941   0.0000  32.7143   0.1700       ML
      104   0.9141   0.5290   0.1469   0.2026   0.0000  28.4884   0.3720       ML
      105   1.0092   0.5875   0.0332   0.3694   0.0000  61.5677   0.3810       ML
      106   1.2184   0.2594  -0.0177   0.0806   0.0000  71.2984   0.1200       ML
      107   0.7943   0.3594  -0.0236   0.2759   0.0000  19.5042   0.2570       ML
      108   0.6209   0.8375   0.0654   0.7725   0.0000  73.9387   0.6480       ML
      109   1.0211   0.5742   0.0411   0.3415   0.0000  64.2875   0.3180       ML
      110   1.0257   0.5951   0.0314   0.3517   0.0000  67.1315   0.3350       ML
      111   0.7810   0.3041   0.0205   0.1632   0.0000  -8.6314   0.1800       ML
      112   1.0166   0.6179   0.0690   0.2402   0.0000  55.8848   0.2020       ML
      113   1.1366   0.2759  -0.0087   0.0002   0.0000  56.7019   0.0670       ML
      114   0.8034   0.7746   0.0632   0.5242   0.0000  58.0268   0.4480       ML
      115   1.2424   0.3632   0.0000   0.1925   0.0000  87.0233   0.2330       ML
      116   0.9382   0.3857  -0.0065   0.0009   0.0000   7.2624   0.1170       ML
      118   0.7976   0.7686  -0.0112   0.6971   0.0000  69.6183   0.7210       ML
      119   0.9639   0.4462  -0.0175   0.3276   0.0000  51.7988   0.3560       ML
      122   0.9386   0.5834   0.0938   0.2662   0.0000  43.8080   0.2900       ML
      123   0.7363   0.7725  -0.0506   0.6150   0.0000  61.3052   0.8050       ML
      125   0.9343   0.4124  -0.1311   0.1881   0.0000  28.3918   0.3270       ML
      126   0.9633   0.3216   0.0348   0.1886   0.0000  36.0694   0.2210       ML
      127   0.8993   0.5140   0.0198   0.3325   0.0000  46.9181   0.3490       ML
      128   0.6733   0.8733   0.0410   0.6433   0.0000  62.2164   0.5880       ML
      129   0.8106   0.7727   0.0567   0.5726   0.0000  61.8879   0.5160       ML
      130   0.9074   0.5101   0.0011   0.4860   0.0000  69.9996   0.5350       ML
      131   0.9386   0.4369  -0.0468   0.1254   0.0000  22.3825   0.3090       ML
