  dataset        a        v       t0        d      st0  penalty      fit     time   method
      100   1.0594  -0.2901   0.6301  -0.0307   0.5341   0.0000  75.7653   2.1890       ML
      101   0.9398   0.8669   0.7273   0.1385   0.4380   0.0000  51.0173   0.7670       ML
      102   1.0182   0.2495   0.2476   0.0150   0.0939   0.0000  31.7648   0.2430       ML
      104   1.1480   2.1497   0.5127   0.1464   0.2019   0.0000 -25.1331   0.4900       ML
      105   1.0143   0.2986   0.5868   0.0330   0.3688   0.0000  60.2078   0.5500       ML
      106   1.2195   0.0832   0.2592  -0.0178   0.0800   0.0000  71.1456   0.2360       ML
      107   0.7940   0.0595   0.3595  -0.0236   0.2762   0.0000  19.4689   0.4700       ML
      108   0.6221   0.1837   0.8374   0.0654   0.7723   0.0000  73.7395   1.1560       ML
      109   1.0210  -0.0638   0.5742   0.0411   0.3415   0.0000  64.2219   0.5500       ML
      110   1.0395   0.5051   0.5942   0.0313   0.3517   0.0000  62.8477   0.5760       ML
      111   0.7827   0.2216   0.3039   0.0204   0.1635   0.0000  -9.1077   0.3410       ML
      112   1.1255   1.4643   0.6052   0.0871   0.3068   0.0000  27.5479   0.5040       ML
      113   1.1411   0.2656   0.2756  -0.0088   0.0001   0.0000  55.2672   0.1220       ML
      114   0.8049   0.2370   0.7747   0.0631   0.5243   0.0000  57.4549   0.8150       ML
      115   1.2428  -0.0527   0.3631   0.0001   0.1922   0.0000  86.9577   0.3800       ML
      116   0.9863   1.0725   0.3829  -0.0080   0.0001   0.0000  -8.4206   0.1400       ML
      118   0.7979  -0.1279   0.7686  -0.0110   0.6971   0.0000  69.4654   1.0320       ML
      119   0.9647  -0.0968   0.4462  -0.0174   0.3276   0.0000  51.6580   0.6220       ML
      122   1.0522   1.5297   0.5742   0.0936   0.2643   0.0000  12.8670   0.5530       ML
      123   0.7739  -1.3253   0.7704  -0.0502   0.6150   0.0000  46.8052   1.0030       ML
      125   1.2782   2.3476   0.3838  -0.1327   0.1723   0.0000 -34.3252   0.4510       ML
      126   0.9637   0.0163   0.3216   0.0348   0.1882   0.0000  36.0654   0.4080       ML
      127   0.9011  -0.1922   0.5138   0.0198   0.3322   0.0000  46.4429   0.5900       ML
      128   0.6818  -0.7349   0.8729   0.0411   0.6434   0.0000  58.4956   0.8930       ML
      129   0.8149   0.9045   0.7856   0.0852   0.5321   0.0000  51.1266   0.6460       ML
      130   0.9160   0.4861   0.5095   0.0010   0.4860   0.0000  67.0192   0.7720       ML
      131   1.7395   2.8950   0.3632  -0.0424   0.0003   0.0000 -61.2000   0.1260       ML
