  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      100   0.4272   1.0790   0.6194   0.0299   0.5724   0.0000  82.5124   1.1650       ML
      101   0.6786   0.9379   0.7282   0.0412   0.4273   0.0000  49.8779   2.3540       ML
      102   0.5383   1.0131   0.2492  -0.0010   0.1015   0.0000  32.2570   0.2540       ML
      104   0.9028   0.9615   0.5762  -0.0449   0.3953   0.0000 -29.4931   1.2680       ML
      105   0.5527   1.0127   0.5864   0.0079   0.3792   0.0000  60.8016   0.5620       ML
      106   0.5556   1.2452   0.2480  -0.0551   0.0006   0.0000  70.1881   0.1090       ML
      107   0.5100   0.7939   0.3596  -0.0271   0.2763   0.0000  19.4781   0.3730       ML
      108   0.5309   0.6244   0.8363   0.0582   0.7708   0.0000  73.6994   0.9340       ML
      109   0.4861   1.0224   0.5734   0.0480   0.3393   0.0000  64.2339   0.4250       ML
      110   0.5918   1.0126   0.6045  -0.0178   0.3949   0.0000  64.6974   0.5870       ML
      111   0.5262   0.7822   0.3037   0.0127   0.1645   0.0000  -8.8241   0.2520       ML
      112   0.7964   1.0744   0.6323  -0.0827   0.4164   0.0000  26.8071   0.9810       ML
      113   0.5428   1.1391   0.2752  -0.0253   0.0004   0.0000  55.9900   0.0920       ML
      114   0.5619   0.8131   0.7728   0.0388   0.5147   0.0000  57.0687   0.6780       ML
      115   0.4881   1.2423   0.3632   0.0078   0.1913   0.0000  86.9784   0.3220       ML
      116   0.7104   0.9076   0.4097  -0.1169   0.1652   0.0000  -4.5544   0.3040       ML
      118   0.5304   0.8752   0.7505   0.0250   0.6159   0.0000  66.2405   0.9530       ML
      119   0.4847   0.9614   0.4476  -0.0104   0.3308   0.0000  51.7352   0.4920       ML
      122   0.8020   1.0679   0.5717  -0.0658   0.3067   0.0000  13.1880   0.3900       ML
      123   0.2830   0.7393   0.7813   0.0254   0.6375   0.0000  45.8170   1.4280       ML
      125   0.8357   1.1220   0.5226  -0.0345   0.3604   0.0000 -14.3197   0.8060       ML
      126   0.5170   0.9659   0.3209   0.0269   0.1849   0.0000  35.9905   0.5840       ML
      127   0.4697   0.8968   0.5152   0.0339   0.3361   0.0000  46.6844   0.5530       ML
      128   0.3734   0.6984   0.8678   0.0770   0.6327   0.0000  58.3009   0.7550       ML
      129   0.6606   0.8317   0.7710   0.0045   0.5761   0.0000  54.8769   0.6860       ML
      130   0.6165   0.9216   0.5084  -0.0552   0.4863   0.0000  66.5837   0.7450       ML
      131   0.9508   1.4322   0.5371  -0.1701   0.3723   0.0000 -46.3368   0.9270       ML
