  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      100   0.4648   1.0686  -0.1823   0.6236   0.0173   0.5800   0.0000  82.3914   1.6180       ML
      101   0.6388   0.9251   0.2132   0.7253   0.0619   0.4040   0.0000  49.6415   2.1790       ML
      102   0.2595   0.9695   1.4932   0.3199   0.1201   0.2891   0.0000  31.5745   0.6770       ML
      104   0.4568   1.1788   2.3198   0.5109   0.1684   0.1979   0.0000 -25.2061   0.6570       ML
      105   0.4837   1.0870   0.3311   0.5543  -0.0063   0.2512   0.0000  55.6065   0.8160       ML
      106   0.6095   1.2539  -0.2789   0.2505  -0.0795   0.0427   0.0000  69.6029   0.2280       ML
      107   0.3641   0.8257   0.7511   0.3546   0.0261   0.2758   0.0000  19.3059   0.9040       ML
      108   0.6402   0.6506  -0.7250   0.8307   0.0320   0.7665   0.0000  73.6071   1.7310       ML
      109   0.5047   1.0206  -0.0828   0.5745   0.0387   0.3425   0.0000  64.2212   0.9820       ML
      110   0.3265   1.0763   1.2570   0.6129   0.1188   0.3852   0.0000  61.8469   1.2940       ML
      111   0.3733   0.8032   0.8881   0.3050   0.0588   0.1683   0.0000  -9.5478   0.5280       ML
      112   0.4854   1.1608   1.4845   0.5907   0.0945   0.2759   0.0000  27.5474   0.7970       ML
      113   0.4830   1.1433   0.3251   0.2754  -0.0023   0.0002   0.0000  55.2284   0.1350       ML
      114   0.7816   0.9494  -1.2866   0.7553  -0.0586   0.4932   0.0000  55.6371   1.6140       ML
      115   0.5044   1.2426  -0.0674   0.3632  -0.0029   0.1934   0.0000  86.9565   0.5060       ML
      116   0.3609   1.0357   1.6904   0.3821   0.0340   0.0000   0.0000 -10.7682   0.1950       ML
      118   0.5786   0.8146  -0.4959   0.7734   0.0202   0.6526   0.0000  65.6077   3.7340       ML
      119   0.5476   0.9734  -0.2944   0.4436  -0.0384   0.3233   0.0000  51.5707   0.9070       ML
      122   0.6775   1.0280   0.8128   0.5742   0.0042   0.2783   0.0000  11.6743   0.7730       ML
      123   0.7331   0.9531  -2.5751   0.7578  -0.1390   0.5822   0.0000  45.9815   1.9080       ML
      125   0.5277   1.2573   2.2509   0.3867  -0.1464   0.1797   0.0000 -34.3577   1.2390       ML
      126   0.6293   0.9936  -0.5274   0.3184  -0.0249   0.1797   0.0000  35.4808   0.9780       ML
      127   0.7090   1.0089  -1.1478   0.4971  -0.0822   0.3144   0.0000  45.2506   1.2890       ML
      128   0.2624   0.7445   0.7418   0.8621   0.1136   0.6234   0.0000  58.1334   1.7300       ML
      129   0.4661   0.8364   1.0457   0.7720   0.0674   0.5750   0.0000  54.1929   1.6990       ML
      130   0.6816   0.9453  -0.3384   0.5047  -0.0879   0.4867   0.0000  66.4367   1.1630       ML
      131   0.4204   1.7452   3.1647   0.3768   0.0247   0.0002   0.0000 -61.5873   0.1810       ML
