Trial	StimName	Liking	RT
1	110.jpg	2.73333333333	13418
2	142.jpg	1.84444444444	3668
3	115.jpg	0.222222222222	2923
4	125.jpg	2.73333333333	2705
5	159.jpg	2.75555555556	2072
6	140.jpg	1.77777777778	1973
7	156.jpg	3.97777777778	4307
8	102.jpg	4.93333333333	2003
9	124.jpg	4.82222222222	2432
10	116.jpg	5.15555555556	2267
11	101.jpg	5.82222222222	2986
12	146.jpg	3.64444444444	1700
13	149.jpg	3.95555555556	3235
14	134.jpg	6.37777777778	2403
15	123.jpg	4.26666666667	4155
16	158.jpg	1.73333333333	2450
17	122.jpg	1.68888888889	1516
18	148.jpg	1.62222222222	1820
19	128.jpg	1.64444444444	2173
20	135.jpg	1.68888888889	3239
21	139.jpg	0.177777777778	2322
22	121.jpg	5.95555555556	2338
23	105.jpg	5.13333333333	3189
24	152.jpg	7.15555555556	2491
25	117.jpg	0.244444444444	3288
26	112.jpg	1.73333333333	3921
27	104.jpg	0.733333333333	2490
28	114.jpg	5.04444444444	2303
29	103.jpg	3.86666666667	3635
30	106.jpg	1.68888888889	2104
31	155.jpg	0.311111111111	1884
32	136.jpg	3.91111111111	2787
33	133.jpg	0.355555555556	3120
34	113.jpg	7.17777777778	1990
35	144.jpg	0.0666666666667	3670
36	107.jpg	2.88888888889	2340
37	141.jpg	0.866666666667	2552
38	143.jpg	3.48888888889	2733
39	111.jpg	4.57777777778	2803
40	109.jpg	3.88888888889	2469
41	129.jpg	3.24444444444	1938
42	151.jpg	0.711111111111	1935
43	153.jpg	0.533333333333	2539
44	160.jpg	3.51111111111	2401
45	154.jpg	1.88888888889	4039
46	120.jpg	1.73333333333	2100
47	108.jpg	3.71111111111	2684
48	132.jpg	0.888888888889	2334
49	137.jpg	0.266666666667	4039
50	131.jpg	0.244444444444	2637
51	145.jpg	0.222222222222	2269
52	147.jpg	3.91111111111	2156
53	127.jpg	1.13333333333	2822
54	150.jpg	0.377777777778	2558
55	119.jpg	3.82222222222	2488
56	138.jpg	0.0444444444444	2769
57	118.jpg	3.28888888889	2419
58	126.jpg	6.95555555556	2104
59	157.jpg	5.51111111111	2469
60	130.jpg	6.88888888889	2501
