1	 31	 9390.jpg	 1	 1	 0	 0	 7 
2	 40	 9905.jpg	 1	 1	 1	 1	 17 
3	 19	 6838.jpg	 1	 1	 0	 1	 15 
4	 26	 9300.jpg	 1	 1	 0	 1	 42 
5	 21	 9050.jpg	 1	 1	 1	 0	 23 
6	 20	 7359.jpg	 1	 1	 1	 0	 51 
7	 37	 9600.jpg	 1	 1	 1	 0	 19 
8	 24	 9254.jpg	 1	 1	 0	 1	 52 
9	 22	 9090.jpg	 1	 1	 0	 0	 10 
10	 3	 1111.jpg	 1	 1	 1	 1	 35 
11	 33	 9480.jpg	 1	 1	 1	 0	 41 
12	 9	 2205.jpg	 1	 1	 0	 0	 47 
13	 11	 2683.jpg	 1	 1	 0	 1	 13 
14	 29	 9325.jpg	 1	 1	 0	 1	 44 
15	 25	 9291.jpg	 1	 1	 0	 0	 12 
16	 30	 9330.jpg	 1	 1	 0	 0	 21 
17	 10	 2456.jpg	 1	 1	 0	 0	 18 
18	 35	 9495.jpg	 1	 1	 1	 0	 26 
19	 39	 9903.jpg	 1	 1	 1	 1	 8 
20	 36	 9561.jpg	 1	 1	 1	 0	 22 
21	 2	 1019.jpg	 1	 1	 0	 0	 36 
22	 15	 6211.jpg	 1	 1	 0	 0	 39 
23	 12	 3103.jpg	 1	 1	 1	 1	 38 
24	 8	 2039.jpg	 1	 1	 1	 0	 11 
25	 6	 1274.jpg	 1	 1	 1	 0	 54 
26	 72	 9342.jpg	 0	 1	 0	 0	 0 
27	 14	 6210.jpg	 1	 1	 1	 0	 9 
28	 34	 9490.jpg	 1	 1	 1	 1	 40 
29	 28	 9322.jpg	 1	 1	 0	 1	 53 
30	 32	 9425.jpg	 1	 1	 1	 0	 46 
31	 1	 10002.JPG	 1	 1	 1	 1	 49 
32	 27	 9321.jpg	 1	 1	 0	 1	 45 
33	 7	 1301.jpg	 1	 1	 0	 0	 20 
