  dataset        a        v       t0        d      st0  penalty      fit     time   method
      201   0.8206   0.6109   0.7567   0.0090   0.5304   0.0000  30.5782   0.4860       ML
      202   1.0759  -0.0502   0.2649  -0.0475   0.0448   0.0000  19.4909   0.1140       ML
      203   0.5240  -1.6531   0.8562  -0.0215   0.5840   0.0000  17.4202   0.4990       ML
      205   0.6115  -0.3077   1.0254   0.0674   0.6344   0.0000  26.0981   0.4760       ML
      206   0.7488  -0.1778   0.8637  -0.0791   0.7613   0.0000  41.0703   0.7980       ML
      207   1.0364   0.4979   0.6703  -0.0363   0.3214   0.0000  33.4440   0.2740       ML
      209   0.8403   0.8502   0.7047   0.0632   0.6050   0.0000  32.4174   0.5340       ML
      211   0.9003  -0.0942   0.6557   0.0273   0.4011   0.0000  31.7304   0.3900       ML
      212   0.1357  -0.4599   0.9103  -0.1010   1.0382   0.0000  45.8788   1.2030       ML
      214   0.8983  -0.6778   0.9132  -0.0632   0.4351   0.0000  22.7082   0.4070       ML
      217   1.0300   0.0534   0.3326  -0.0352   0.4085   0.0000  43.9740   0.3490       ML
      218   1.1364   2.4693   0.7616   0.1227   0.4868   0.0000   1.0660   0.4800       ML
      219   0.9996   1.4440   0.7147   0.1297   0.3740   0.0000  13.8589   0.3860       ML
      220   0.3723   0.2296   0.9537  -0.0033   0.7446   0.0000  31.4915   1.0530       ML
      221   0.9757  -0.4373   0.6728  -0.0598   0.3518   0.0000  33.4465   0.3370       ML
      222   0.4758   0.1198   0.9001  -0.0031   0.6167   0.0000  25.0337   0.7920       ML
      223   0.6929  -0.0432   0.8458   0.0347   0.5951   0.0000  30.5648   0.4590       ML
      224   0.9083   0.9142   0.7004   0.0978   0.4497   0.0000  26.6614   0.4370       ML
      225   1.0737   0.0275   0.5599  -0.0161   0.4142   0.0000  37.9770   0.4430       ML
      226   1.0244  -0.2227   0.4162   0.0171   0.1909   0.0000  26.7606   0.2130       ML
      227   0.9261  -0.8907   0.7274  -0.1203   0.3627   0.0000  20.8081   0.4210       ML
      228   0.9438   1.1200   0.5913   0.0431   0.1494   0.0000   0.4792   0.1820       ML
      229   0.9035   0.8942   0.7327  -0.0025   0.4797   0.0000  26.5973   0.4940       ML
      231   1.1255   0.2723   0.5671   0.0378   0.1597   0.0000  33.8917   0.1890       ML
      232   1.0757   0.0537   0.5606  -0.0775   0.2657   0.0000  36.3523   0.2680       ML
      233   1.0495  -0.3862   0.6064  -0.0032   0.1794   0.0000  26.5623   0.2260       ML
      234   0.6669   0.3938   0.8752  -0.1302   0.5606   0.0000  24.0282   0.5020       ML
