  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      201   0.7362   0.9155   0.7586  -0.0560   0.0014   2.1536   0.5313   0.0000  56.3720  15.0080       ML
      202   0.5516   1.0634   0.2889  -0.0555   0.4934   0.0004   0.1880   0.0000  53.7843  63.9030       ML
      203   0.2908   0.6227   0.8456  -0.0374   0.5815   1.8448   0.6404   0.0000  47.3808 147.7020       ML
      205   0.4974   0.6762   0.9907   0.0153   0.0001   0.1945   0.6389   0.0000  48.6360  84.3040       ML
      206   0.4304   0.8962   0.8225   0.0198   0.8608   0.4280   0.7011   0.0000  87.1440 194.2870       ML
      207   0.6264   0.7746   0.8280  -0.0701   0.5618   0.1994   0.5862   0.0000  66.1584 244.4360       ML
      209   0.6991   0.8896   0.7181   0.0143   0.6017   0.0713   0.6157   0.0000  59.1044 202.8850       ML
      211   0.4842   0.9016   0.6940  -0.0174   0.7923   0.0000   0.4149   0.0000  61.8178 152.2250       ML
      212   0.4682   0.7494   0.8207  -0.0099   0.0000   0.1229   0.9291   0.0000  97.7674  45.3400       ML
      214   0.1984   0.5870   1.0006  -0.0652   0.3968   1.0894   0.7644   0.0000  46.2027 134.5470       ML
      217   0.5237   1.0283   0.3907  -0.0254   0.9525   0.5485   0.3819   0.0000  66.6122 301.1330       ML
      218   0.8618   1.1110   0.7159  -0.0809   0.2349   0.1739   0.4317   0.0000  11.2756  37.9330       ML
      219   0.7642   1.0857   0.6557  -0.0885   0.0002   0.0001   0.3616   0.0000  13.8792  23.9410       ML
      220   0.4657   0.9859   0.8054   0.0140   0.9310   1.4926   0.4911   0.0000  65.0257 458.6770       ML
      221   0.3550   0.9624   0.7144  -0.0234   0.7086   0.2827   0.3755   0.0000  61.3773 138.3260       ML
      222   0.4804   1.1047   0.6259  -0.0218   0.6247   0.4704   0.1507   0.0000  59.8989  58.6930       ML
      223   0.5750   0.6687   0.8681   0.0242   0.8497   0.4075   0.6652   0.0000  64.3910 156.9940       ML
      224   0.6994   0.5970   0.8610   0.0428   0.0314   0.9855   0.7208   0.0000  57.4818  76.8260       ML
      225   0.6726   1.2101   0.5764  -0.1841   0.0007   2.0648   0.3620   0.0000  65.0675 105.1820       ML
      226   0.5047   1.0581   0.4692  -0.0041   0.9905   0.3211   0.1843   0.0000  50.7764 136.3690       ML
      227   0.3074   0.9585   0.7385   0.0071   0.6127   0.4508   0.4176   0.0000  42.4830 133.2510       ML
      228   0.7011   0.9194   0.5988  -0.0819   0.5979   0.3754   0.1841   0.0000   2.0974  58.0500       ML
      229   0.6055   0.9190   0.7354  -0.0189   0.4420   0.0005   0.4605   0.0000  64.2352 203.4400       ML
      231   0.5245   1.0715   0.7042   0.0346   0.9506   0.0945   0.3188   0.0000  62.2374 125.8800       ML
      232   0.4645   1.0784   0.5676   0.1290   0.1767   0.7380   0.4912   0.0000  87.1763  40.4250       ML
      233   0.3551   0.8957   0.7270   0.0474   0.7102   0.4505   0.3560   0.0000  49.1571 234.9130       ML
      234   0.6362   0.7056   0.8716  -0.1416   0.1419   0.5737   0.5874   0.0000  57.5661  81.3380       ML
