  dataset        a       t0        d      st0  penalty      fit     time   method
      201   0.8103   0.7574   0.0089   0.5307   0.0000  32.6876   0.2810       ML
      202   1.0889   0.2518  -0.0673   0.0930   0.0000  23.9959   0.0820       ML
      203   0.5059   0.8568  -0.0215   0.5839   0.0000  23.5098   0.3160       ML
      205   0.6110   1.0252   0.0673   0.6342   0.0000  26.3797   0.3550       ML
      206   0.3435   0.9928  -0.0312   0.9386   0.0000  37.6636   0.5930       ML
      207   1.0227   0.6713  -0.0360   0.3209   0.0000  35.6161   0.1590       ML
      209   0.8193   0.7062   0.0632   0.6056   0.0000  36.6133   0.3330       ML
      211   0.8999   0.6557   0.0273   0.4012   0.0000  31.7938   0.2590       ML
      212   0.1687   0.8847  -0.1516   1.0378   0.0000  46.0290   0.6220       ML
      214   0.8193   0.8998  -0.0831   0.4753   0.0000  28.5731   0.3220       ML
      217   1.0300   0.3328  -0.0350   0.4087   0.0000  44.0017   0.3090       ML
      218   0.7011   0.8033   0.0196   0.6058   0.0000  33.6800   0.4220       ML
      219   0.9110   0.7212   0.1313   0.3750   0.0000  27.8220   0.2080       ML
      220   0.3720   0.9537  -0.0033   0.7446   0.0000  31.5567   0.4860       ML
      221   0.9665   0.6737  -0.0597   0.3520   0.0000  35.0361   0.2000       ML
      222   0.4759   0.9001  -0.0030   0.6168   0.0000  25.0623   0.3670       ML
      223   0.6923   0.8458   0.0350   0.5953   0.0000  30.5723   0.2410       ML
      224   0.8793   0.7023   0.0979   0.4490   0.0000  31.9097   0.2330       ML
      225   1.0732   0.5600  -0.0160   0.4145   0.0000  37.9844   0.2520       ML
      226   1.0216   0.4164   0.0171   0.1912   0.0000  27.2166   0.1100       ML
      227   0.8739   0.7520  -0.1637   0.3411   0.0000  22.8998   0.3230       ML
      228   0.8963   0.5944   0.0432   0.1497   0.0000   9.0692   0.0870       ML
      229   0.7950   0.7765   0.0015   0.4719   0.0000  27.9953   0.2420       ML
      231   1.1200   0.5675   0.0376   0.1592   0.0000  34.6501   0.1340       ML
      232   1.0758   0.5605  -0.0775   0.2658   0.0000  36.3809   0.2010       ML
      233   1.0411   0.6071  -0.0030   0.1795   0.0000  27.9712   0.1350       ML
      234   0.6643   0.8755  -0.1299   0.5606   0.0000  24.6168   0.3370       ML
