  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      201   0.7238   0.8603  -0.5521   0.7523  -0.0711   0.5360   0.0000  30.2686   0.8850       ML
      202   0.7000   1.1792  -0.8568   0.2420  -0.1651   0.0537   0.0000  21.5102   0.1720       ML
      203   0.2695   0.5617   0.2377   0.8420   0.0301   0.5783   0.0000  17.2535   2.5250       ML
      205   0.6584   0.5569  -1.5117   1.0586   0.0735   0.6354   0.0000  23.0543   1.0410       ML
      206   0.9860   3.2450  -8.4907   0.8242  -0.3907   0.8735   0.0000  36.4562   2.2000       ML
      207   0.5056   1.0349   0.4772   0.6706  -0.0392   0.3219   0.0000  33.4436   0.4780       ML
      209   0.5101   0.8379   0.8022   0.7050   0.0600   0.6057   0.0000  32.4167   0.9710       ML
      211   0.5713   0.9276  -0.4036   0.6455  -0.0048   0.3763   0.0000  31.6669   0.6190       ML
      212   0.4617   0.1333   0.8295   0.8849  -0.1322   1.0200   0.0000  44.3180   1.0600       ML
      214   0.7232   0.9946  -1.8836   0.8829  -0.1882   0.4285   0.0000  24.4484   0.6990       ML
      217   0.1889   1.2367   1.4716   0.3229   0.1651   0.4512   0.0000  42.5251   0.9110       ML
      218   0.0772   3.8306   4.7410   0.5555   0.7883   0.3228   0.0000  -0.8825   1.2780       ML
      219   0.3476   1.0749   2.1680   0.7296   0.2164   0.3968   0.0000  13.7395   0.7760       ML
      220   0.0431   1.0615   8.1018   0.9184   0.0779   0.7404   0.0000  28.5885   2.5840       ML
      221   0.2680   1.0387   0.5726   0.6633   0.0625   0.3423   0.0000  32.1546   0.4670       ML
      222   0.3449   0.4985   1.4515   0.8994   0.0196   0.6118   0.0000  25.0776   0.6910       ML
      223   0.8519   0.9459  -2.4659   0.8364  -0.1081   0.5584   0.0000  29.0433   1.1900       ML
      224   0.4591   0.9187   1.0971   0.6996   0.1135   0.4518   0.0000  26.6466   0.7800       ML
      225   0.7309   1.1250  -0.9316   0.5942  -0.0625   0.3431   0.0000  26.2038   1.8260       ML
      226   0.7512   1.1984  -1.2862   0.3975  -0.1206   0.1884   0.0000  24.4669   0.3060       ML
      227   0.2040   0.9547   0.5885   0.7468   0.0032   0.3961   0.0000  19.1054   0.7110       ML
      228   0.4801   0.9468   1.2098   0.5925   0.0517   0.1519   0.0000   0.4733   0.3710       ML
      229   0.2872   1.0502   1.8757   0.7210   0.1038   0.4372   0.0000  25.8827   0.7170       ML
      231   0.5998   1.1207  -0.0884   0.5737  -0.0173   0.1883   0.0000  33.6465   0.3170       ML
      232   0.7700   0.8226  -1.5521   0.7360  -0.2085   0.5696   0.0000  34.6239   1.3160       ML
      233   0.4820   1.0469  -0.3173   0.6071   0.0049   0.1795   0.0000  26.5498   0.3070       ML
      234   0.0059   7.5530   9.0835   0.5661   0.5979   0.5341   0.0000  17.0584   2.3200       ML
