  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      201   0.6283   0.8270   0.7557  -0.0356   0.5320   0.0000  30.3856   0.3960       ML
      202   0.5423   1.0919   0.2517  -0.0887   0.0808   0.0000  23.7368   0.1010       ML
      203   0.2929   0.5554   0.8428   0.0277   0.5743   0.0000  17.2352   0.3800       ML
      205   0.4625   0.6113   1.0369   0.1161   0.6347   0.0000  23.5087   0.7470       ML
      206   0.4724   0.7452   0.8650  -0.0694   0.7641   0.0000  41.1119   0.5110       ML
      207   0.6152   1.0264   0.6750  -0.0992   0.3348   0.0000  33.6184   0.2650       ML
      209   0.6640   0.8326   0.7045   0.0101   0.6142   0.0000  32.5577   0.4020       ML
      211   0.4818   0.8859   0.6630   0.0344   0.4160   0.0000  31.7457   0.2620       ML
      212   0.5280   1.6796   0.4489   0.0249   0.2249   0.0000  63.2329   0.1320       ML
      214   0.3774   0.8074   0.9079  -0.0258   0.4577   0.0000  22.4716   0.5180       ML
      217   0.4960   1.0299   0.3325  -0.0327   0.4082   0.0000  43.9992   0.3090       ML
      218   0.9285   1.0997   0.7429  -0.2472   0.6891   0.0000   1.5054   0.3980       ML
      219   0.7627   0.9724   0.7149   0.0051   0.4265   0.0000  16.2330   0.3350       ML
      220   0.5152   0.3820   0.9618  -0.0346   0.7566   0.0000  29.5400   0.4190       ML
      221   0.3730   0.9832   0.6718   0.0061   0.3479   0.0000  32.6638   0.2560       ML
      222   0.5172   0.4750   0.9002  -0.0043   0.6170   0.0000  25.0202   0.6410       ML
      223   0.5006   0.6932   0.8457   0.0345   0.5950   0.0000  30.5722   0.3730       ML
      224   0.6834   0.9434   0.6844   0.0138   0.4154   0.0000  27.0297   0.4990       ML
      225   0.5494   1.2399   0.5185   0.0112   0.2695   0.0000  32.7922   0.2460       ML
      226   0.4872   1.0215   0.4162   0.0237   0.1919   0.0000  27.1931   0.1710       ML
      227   0.2832   0.8999   0.7506  -0.0298   0.3961   0.0000  19.6011   0.2990       ML
      228   0.6752   0.9014   0.6131  -0.0340   0.1684   0.0000   1.4630   0.1410       ML
      229   0.6714   0.8184   0.7693  -0.0562   0.5662   0.0000  27.3342   0.4470       ML
      231   0.5796   1.1169   0.5736  -0.0059   0.1848   0.0000  33.6614   0.1460       ML
      232   0.5408   1.0751   0.5628  -0.0988   0.2626   0.0000  36.0953   0.2560       ML
      233   0.4184   1.0442   0.6093   0.0340   0.1820   0.0000  26.7602   0.1720       ML
      234   0.5470   0.6674   0.8731  -0.1415   0.5616   0.0000  24.3070   0.6220       ML
