subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_105	 145	 5.045343e+02	 014.tif	 106.tif	 14	 36	 i	 0	 8.277640e+02
BMI_bf_105	 146	 5.080343e+02	 118.tif	 114.tif	 48	 44	 i	 0	 5.036393e+02
BMI_bf_105	 147	 5.115341e+02	 003.tif	 110.tif	 3	 40	 i	 0	 7.875477e+02
BMI_bf_105	 148	 5.150340e+02	 017.tif	 130.tif	 17	 60	 i	 0	 5.833813e+02
BMI_bf_105	 149	 5.185339e+02	 118.tif	 003.tif	 48	 3	 i	 0	 1.275253e+03
BMI_bf_105	 150	 5.220338e+02	 125.tif	 111.tif	 55	 41	 i	 0	 1.071112e+03
BMI_bf_105	 151	 5.255337e+02	 120.tif	 110.tif	 50	 40	 i	 0	 1.035039e+03
BMI_bf_105	 152	 5.290337e+02	 020.tif	 009.tif	 20	 9	 u	 0	 8.148141e+02
BMI_bf_105	 153	 5.325335e+02	 030.tif	 111.tif	 30	 41	 i	 0	 5.788227e+02
BMI_bf_105	 154	 5.360334e+02	 014.tif	 111.tif	 14	 41	 i	 0	 7.746217e+02
BMI_bf_105	 155	 5.395332e+02	 019.tif	 014.tif	 19	 14	 i	 0	 6.746181e+02
BMI_bf_105	 156	 5.430332e+02	 126.tif	 016.tif	 56	 16	 u	 0	 8.943599e+02
BMI_bf_105	 157	 5.465330e+02	 024.tif	 114.tif	 24	 44	 u	 0	 1.306253e+03
BMI_bf_105	 158	 5.500330e+02	 122.tif	 113.tif	 52	 43	 i	 0	 1.014105e+03
BMI_bf_105	 159	 5.535328e+02	 108.tif	 106.tif	 38	 36	 u	 0	 7.940563e+02
BMI_bf_105	 160	 5.570328e+02	 014.tif	 026.tif	 14	 26	 i	 0	 7.658812e+02
BMI_bf_105	 161	 5.605326e+02	 013.tif	 017.tif	 13	 17	 x	 999	 999000
BMI_bf_105	 162	 5.640326e+02	 105.tif	 028.tif	 35	 28	 i	 0	 1.189611e+03
BMI_bf_105	 163	 5.675324e+02	 028.tif	 117.tif	 28	 47	 u	 0	 1.281498e+03
BMI_bf_105	 164	 5.710323e+02	 104.tif	 026.tif	 34	 26	 i	 0	 1.189460e+03
BMI_bf_105	 165	 5.745322e+02	 109.tif	 116.tif	 39	 46	 i	 0	 6.653633e+02
BMI_bf_105	 166	 5.780322e+02	 104.tif	 128.tif	 34	 58	 i	 0	 1.109114e+03
BMI_bf_105	 167	 5.815320e+02	 017.tif	 110.tif	 17	 40	 i	 0	 1.361041e+03
BMI_bf_105	 168	 5.850319e+02	 027.tif	 029.tif	 27	 29	 u	 0	 7.249015e+02
BMI_bf_105	 169	 5.885318e+02	 021.tif	 125.tif	 21	 55	 i	 0	 1.120831e+03
BMI_bf_105	 170	 5.920317e+02	 103.tif	 118.tif	 33	 48	 u	 0	 7.487175e+02
BMI_bf_105	 171	 5.955316e+02	 005.tif	 103.tif	 5	 33	 i	 0	 6.245795e+02
BMI_bf_105	 172	 5.990315e+02	 015.tif	 007.tif	 15	 7	 i	 0	 9.884028e+02
BMI_bf_105	 173	 6.025313e+02	 112.tif	 009.tif	 42	 9	 u	 0	 9.443481e+02
BMI_bf_105	 174	 6.060311e+02	 029.tif	 014.tif	 29	 14	 u	 0	 8.763712e+02
BMI_bf_105	 175	 6.095311e+02	 007.tif	 101.tif	 7	 31	 i	 0	 6.081182e+02
BMI_bf_105	 176	 6.130310e+02	 030.tif	 002.tif	 30	 2	 i	 0	 6.839626e+02
BMI_bf_105	 177	 6.165309e+02	 114.tif	 108.tif	 44	 38	 u	 0	 8.158616e+02
BMI_bf_105	 178	 6.200309e+02	 029.tif	 006.tif	 29	 6	 i	 0	 9.316627e+02
BMI_bf_105	 179	 6.235307e+02	 108.tif	 011.tif	 38	 11	 u	 0	 1.927534e+03
BMI_bf_105	 180	 6.270307e+02	 029.tif	 017.tif	 29	 17	 u	 0	 7.234348e+02
BMI_bf_105	 181	 6.305305e+02	 001.tif	 114.tif	 1	 44	 i	 0	 6.793817e+02
BMI_bf_105	 182	 6.340304e+02	 127.tif	 021.tif	 57	 21	 u	 0	 6.591946e+02
BMI_bf_105	 183	 6.375303e+02	 004.tif	 022.tif	 4	 22	 i	 0	 1.287083e+03
BMI_bf_105	 184	 6.410302e+02	 111.tif	 020.tif	 41	 20	 i	 0	 9.949409e+02
BMI_bf_105	 185	 6.445301e+02	 105.tif	 107.tif	 35	 37	 x	 999	 999000
BMI_bf_105	 186	 6.480300e+02	 102.tif	 015.tif	 32	 15	 i	 0	 9.786662e+02
BMI_bf_105	 187	 6.515298e+02	 029.tif	 126.tif	 29	 56	 i	 0	 5.986596e+02
BMI_bf_105	 188	 6.550298e+02	 105.tif	 123.tif	 35	 53	 i	 0	 6.424634e+02
BMI_bf_105	 189	 6.585296e+02	 025.tif	 012.tif	 25	 12	 i	 0	 1.062383e+03
BMI_bf_105	 190	 6.620296e+02	 112.tif	 018.tif	 42	 18	 u	 0	 1.602154e+03
BMI_bf_105	 191	 6.655294e+02	 026.tif	 122.tif	 26	 52	 i	 0	 1.766082e+03
BMI_bf_105	 192	 6.690294e+02	 024.tif	 027.tif	 24	 27	 i	 0	 1.217928e+03
BMI_bf_105	 193	 6.725292e+02	 017.tif	 009.tif	 17	 9	 u	 0	 2.373794e+03
BMI_bf_105	 194	 6.760292e+02	 011.tif	 026.tif	 11	 26	 x	 999	 999000
BMI_bf_105	 195	 6.795290e+02	 125.tif	 119.tif	 55	 49	 u	 0	 1.061644e+03
BMI_bf_105	 196	 6.830290e+02	 020.tif	 021.tif	 20	 21	 i	 0	 1.105447e+03
BMI_bf_105	 197	 6.865288e+02	 130.tif	 113.tif	 60	 43	 u	 0	 9.494039e+02
BMI_bf_105	 198	 6.900287e+02	 123.tif	 029.tif	 53	 29	 u	 0	 1.585236e+03
BMI_bf_105	 199	 6.935285e+02	 023.tif	 130.tif	 23	 60	 i	 0	 1.877111e+03
BMI_bf_105	 200	 6.970285e+02	 027.tif	 013.tif	 27	 13	 x	 999	 999000
BMI_bf_105	 201	 7.005283e+02	 020.tif	 124.tif	 20	 54	 i	 0	 2.060915e+03
BMI_bf_105	 202	 7.040283e+02	 127.tif	 022.tif	 57	 22	 u	 0	 1.376704e+03
BMI_bf_105	 203	 7.075281e+02	 025.tif	 022.tif	 25	 22	 u	 0	 6.446875e+02
BMI_bf_105	 204	 7.110280e+02	 113.tif	 016.tif	 43	 16	 u	 0	 7.365839e+02
BMI_bf_105	 205	 7.145279e+02	 109.tif	 016.tif	 39	 16	 u	 0	 6.764485e+02
BMI_bf_105	 206	 7.180279e+02	 118.tif	 125.tif	 48	 55	 u	 0	 1.568199e+03
BMI_bf_105	 207	 7.215277e+02	 005.tif	 019.tif	 5	 19	 u	 0	 1.036187e+03
BMI_bf_105	 208	 7.250277e+02	 106.tif	 115.tif	 36	 45	 i	 0	 8.320023e+02
BMI_bf_105	 209	 7.285275e+02	 015.tif	 126.tif	 15	 56	 i	 0	 7.319405e+02
BMI_bf_105	 210	 7.320274e+02	 107.tif	 106.tif	 37	 36	 u	 0	 1.087817e+03
BMI_bf_105	 211	 7.355273e+02	 001.tif	 109.tif	 1	 39	 i	 0	 8.916990e+02
BMI_bf_105	 212	 7.390272e+02	 125.tif	 124.tif	 55	 54	 i	 0	 6.555337e+02
BMI_bf_105	 213	 7.425270e+02	 117.tif	 125.tif	 47	 55	 i	 0	 1.315541e+03
BMI_bf_105	 214	 7.460270e+02	 012.tif	 119.tif	 12	 49	 i	 0	 1.991207e+03
BMI_bf_105	 215	 7.495269e+02	 102.tif	 126.tif	 32	 56	 i	 0	 1.451156e+03
BMI_bf_105	 216	 7.530268e+02	 125.tif	 103.tif	 55	 33	 i	 0	 1.254995e+03
BMI_bf_105	 217	 7.565267e+02	 017.tif	 124.tif	 17	 54	 i	 0	 6.589806e+02
BMI_bf_105	 218	 7.600266e+02	 103.tif	 018.tif	 33	 18	 u	 0	 1.142749e+03
BMI_bf_105	 219	 7.635264e+02	 129.tif	 002.tif	 59	 2	 i	 0	 8.427133e+02
BMI_bf_105	 220	 7.670264e+02	 023.tif	 004.tif	 23	 4	 u	 0	 9.345548e+02
