subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_134	 79	 2.735291e+02	 021.tif	 018.tif	 21	 18	 u	 0	 1.349169e+03
BMI_bf_134	 80	 2.770290e+02	 123.tif	 114.tif	 53	 44	 u	 0	 1.945018e+03
BMI_bf_134	 81	 2.805290e+02	 015.tif	 008.tif	 15	 8	 u	 0	 1.540908e+03
BMI_bf_134	 82	 2.840289e+02	 112.tif	 104.tif	 42	 34	 i	 0	 1.152811e+03
BMI_bf_134	 83	 2.875288e+02	 004.tif	 128.tif	 4	 58	 u	 0	 2.092722e+03
BMI_bf_134	 84	 2.910288e+02	 012.tif	 021.tif	 12	 21	 i	 0	 1.120557e+03
BMI_bf_134	 85	 2.945288e+02	 113.tif	 105.tif	 43	 35	 u	 0	 1.452402e+03
BMI_bf_134	 86	 2.980287e+02	 016.tif	 120.tif	 16	 50	 u	 0	 1.464273e+03
BMI_bf_134	 87	 3.015287e+02	 008.tif	 029.tif	 8	 29	 u	 0	 1.676135e+03
BMI_bf_134	 88	 3.050286e+02	 103.tif	 120.tif	 33	 50	 u	 0	 1.176043e+03
BMI_bf_134	 89	 3.085286e+02	 026.tif	 010.tif	 26	 10	 i	 0	 8.999285e+02
BMI_bf_134	 90	 3.120285e+02	 011.tif	 016.tif	 11	 16	 u	 0	 8.398062e+02
BMI_bf_134	 91	 3.155285e+02	 010.tif	 102.tif	 10	 32	 i	 0	 9.556365e+02
BMI_bf_134	 92	 3.190285e+02	 021.tif	 010.tif	 21	 10	 u	 0	 8.715128e+02
BMI_bf_134	 93	 3.225284e+02	 014.tif	 111.tif	 14	 41	 i	 0	 8.674359e+02
BMI_bf_134	 94	 3.260283e+02	 021.tif	 019.tif	 21	 19	 u	 0	 1.591269e+03
BMI_bf_134	 95	 3.295283e+02	 009.tif	 116.tif	 9	 46	 i	 0	 1.139155e+03
BMI_bf_134	 96	 3.330282e+02	 123.tif	 017.tif	 53	 17	 u	 0	 9.670476e+02
BMI_bf_134	 97	 3.365282e+02	 123.tif	 008.tif	 53	 8	 u	 0	 8.269189e+02
BMI_bf_134	 98	 3.400281e+02	 029.tif	 130.tif	 29	 60	 u	 0	 1.494776e+03
BMI_bf_134	 99	 3.435281e+02	 001.tif	 018.tif	 1	 18	 i	 0	 1.378651e+03
BMI_bf_134	 100	 3.470280e+02	 022.tif	 023.tif	 22	 23	 u	 0	 1.174479e+03
BMI_bf_134	 101	 3.505279e+02	 018.tif	 103.tif	 18	 33	 u	 0	 1.386387e+03
BMI_bf_134	 102	 3.540279e+02	 008.tif	 103.tif	 8	 33	 i	 0	 8.142807e+02
BMI_bf_134	 103	 3.575278e+02	 025.tif	 113.tif	 25	 43	 i	 0	 1.066142e+03
BMI_bf_134	 104	 3.610278e+02	 119.tif	 105.tif	 49	 35	 u	 0	 1.166016e+03
BMI_bf_134	 105	 3.645278e+02	 007.tif	 021.tif	 7	 21	 i	 0	 1.089890e+03
BMI_bf_134	 106	 3.680277e+02	 109.tif	 010.tif	 39	 10	 i	 0	 1.005778e+03
BMI_bf_134	 107	 3.715276e+02	 113.tif	 002.tif	 43	 2	 u	 0	 9.216599e+02
BMI_bf_134	 108	 3.750276e+02	 029.tif	 118.tif	 29	 48	 u	 0	 2.205463e+03
BMI_bf_134	 109	 3.785276e+02	 022.tif	 127.tif	 22	 57	 i	 0	 1.681365e+03
BMI_bf_134	 110	 3.820275e+02	 122.tif	 127.tif	 52	 57	 i	 0	 1.013282e+03
BMI_bf_134	 111	 3.855275e+02	 027.tif	 108.tif	 27	 38	 i	 0	 1.889050e+03
BMI_bf_134	 112	 3.890274e+02	 117.tif	 010.tif	 47	 10	 i	 0	 1.117013e+03
BMI_bf_134	 113	 3.925274e+02	 006.tif	 028.tif	 6	 28	 i	 0	 1.624857e+03
BMI_bf_134	 114	 3.960273e+02	 007.tif	 120.tif	 7	 50	 u	 0	 2.020718e+03
BMI_bf_134	 115	 3.995272e+02	 019.tif	 110.tif	 19	 40	 i	 0	 1.408625e+03
BMI_bf_134	 116	 4.030272e+02	 003.tif	 130.tif	 3	 60	 i	 0	 9.245312e+02
BMI_bf_134	 117	 4.065273e+02	 005.tif	 007.tif	 5	 7	 u	 0	 1.728165e+03
BMI_bf_134	 118	 4.100271e+02	 030.tif	 026.tif	 30	 26	 u	 0	 1.340251e+03
BMI_bf_134	 119	 4.135270e+02	 027.tif	 125.tif	 27	 55	 x	 999	 999000
BMI_bf_134	 120	 4.170270e+02	 124.tif	 109.tif	 54	 39	 i	 0	 1.587960e+03
BMI_bf_134	 121	 4.205269e+02	 103.tif	 017.tif	 33	 17	 u	 0	 1.031870e+03
BMI_bf_134	 122	 4.240269e+02	 023.tif	 107.tif	 23	 37	 i	 0	 2.139661e+03
BMI_bf_134	 123	 4.275268e+02	 014.tif	 102.tif	 14	 32	 i	 0	 9.996323e+02
BMI_bf_134	 124	 4.310268e+02	 025.tif	 130.tif	 25	 60	 i	 0	 1.339502e+03
BMI_bf_134	 125	 4.345267e+02	 017.tif	 012.tif	 17	 12	 u	 0	 2.231313e+03
BMI_bf_134	 126	 4.380267e+02	 018.tif	 004.tif	 18	 4	 u	 0	 1.235260e+03
BMI_bf_134	 127	 4.415266e+02	 123.tif	 108.tif	 53	 38	 i	 0	 2.327075e+03
BMI_bf_134	 128	 4.450266e+02	 127.tif	 123.tif	 57	 53	 u	 0	 9.390174e+02
BMI_bf_134	 129	 4.485265e+02	 020.tif	 006.tif	 20	 6	 u	 0	 1.358872e+03
BMI_bf_134	 130	 4.520265e+02	 107.tif	 128.tif	 37	 58	 u	 0	 1.706674e+03
BMI_bf_134	 131	 4.555264e+02	 124.tif	 130.tif	 54	 60	 i	 0	 1.070612e+03
BMI_bf_134	 132	 4.590264e+02	 018.tif	 124.tif	 18	 54	 x	 999	 999000
BMI_bf_134	 133	 4.625263e+02	 023.tif	 017.tif	 23	 17	 i	 0	 1.150351e+03
BMI_bf_134	 134	 4.660263e+02	 004.tif	 109.tif	 4	 39	 i	 0	 8.982432e+02
BMI_bf_134	 135	 4.695262e+02	 001.tif	 129.tif	 1	 59	 i	 0	 1.254045e+03
BMI_bf_134	 136	 4.730262e+02	 022.tif	 002.tif	 22	 2	 i	 0	 1.905907e+03
BMI_bf_134	 137	 4.765262e+02	 005.tif	 029.tif	 5	 29	 u	 0	 2.253726e+03
BMI_bf_134	 138	 4.800261e+02	 028.tif	 113.tif	 28	 43	 i	 0	 1.225709e+03
BMI_bf_134	 139	 4.835260e+02	 120.tif	 014.tif	 50	 14	 i	 0	 1.429599e+03
BMI_bf_134	 140	 4.870260e+02	 128.tif	 020.tif	 58	 20	 i	 0	 1.817445e+03
BMI_bf_134	 141	 4.905260e+02	 110.tif	 004.tif	 40	 4	 u	 0	 9.173325e+02
BMI_bf_134	 142	 4.940259e+02	 023.tif	 115.tif	 23	 45	 i	 0	 8.571935e+02
BMI_bf_134	 143	 4.975258e+02	 024.tif	 124.tif	 24	 54	 i	 0	 1.253074e+03
BMI_bf_134	 144	 5.010258e+02	 003.tif	 113.tif	 3	 43	 i	 0	 1.200959e+03
BMI_bf_134	 145	 5.045257e+02	 015.tif	 105.tif	 15	 35	 u	 0	 1.364824e+03
BMI_bf_134	 146	 5.080256e+02	 126.tif	 017.tif	 56	 17	 u	 0	 1.104743e+03
BMI_bf_134	 147	 5.115256e+02	 107.tif	 016.tif	 37	 16	 u	 0	 2.124549e+03
BMI_bf_134	 148	 5.150256e+02	 009.tif	 108.tif	 9	 38	 u	 0	 1.848439e+03
BMI_bf_134	 149	 5.185255e+02	 016.tif	 115.tif	 16	 45	 i	 0	 9.723558e+02
BMI_bf_134	 150	 5.220255e+02	 129.tif	 121.tif	 59	 51	 i	 0	 1.608204e+03
BMI_bf_134	 151	 5.255254e+02	 013.tif	 001.tif	 13	 1	 u	 0	 9.401158e+02
BMI_bf_134	 152	 5.290254e+02	 129.tif	 004.tif	 59	 4	 u	 0	 1.183955e+03
BMI_bf_134	 153	 5.325253e+02	 028.tif	 104.tif	 28	 34	 i	 0	 1.403839e+03
BMI_bf_134	 154	 5.360253e+02	 013.tif	 112.tif	 13	 42	 u	 0	 1.023720e+03
BMI_bf_134	 155	 5.395252e+02	 001.tif	 128.tif	 1	 58	 u	 0	 1.251585e+03
BMI_bf_134	 156	 5.430252e+02	 016.tif	 118.tif	 16	 48	 u	 0	 1.335391e+03
BMI_bf_134	 157	 5.465251e+02	 128.tif	 015.tif	 58	 15	 i	 0	 1.955315e+03
BMI_bf_134	 158	 5.500250e+02	 123.tif	 007.tif	 53	 7	 u	 0	 1.463164e+03
BMI_bf_134	 159	 5.535250e+02	 010.tif	 018.tif	 10	 18	 u	 0	 9.551106e+02
BMI_bf_134	 160	 5.570249e+02	 122.tif	 108.tif	 52	 38	 u	 0	 1.854944e+03
BMI_bf_134	 161	 5.605249e+02	 023.tif	 129.tif	 23	 59	 i	 0	 1.122845e+03
BMI_bf_134	 162	 5.640248e+02	 005.tif	 117.tif	 5	 47	 i	 0	 2.230655e+03
BMI_bf_134	 163	 5.675248e+02	 116.tif	 001.tif	 46	 1	 i	 0	 2.154539e+03
BMI_bf_134	 164	 5.710247e+02	 108.tif	 001.tif	 38	 1	 i	 0	 1.622446e+03
BMI_bf_134	 165	 5.745247e+02	 022.tif	 128.tif	 22	 58	 u	 0	 2.138280e+03
BMI_bf_134	 166	 5.780247e+02	 116.tif	 120.tif	 46	 50	 u	 0	 1.238132e+03
BMI_bf_134	 167	 5.815246e+02	 017.tif	 112.tif	 17	 42	 u	 0	 1.554066e+03
BMI_bf_134	 168	 5.850245e+02	 106.tif	 117.tif	 36	 47	 u	 0	 1.421963e+03
BMI_bf_134	 169	 5.885245e+02	 108.tif	 021.tif	 38	 21	 i	 0	 1.121837e+03
BMI_bf_134	 170	 5.920244e+02	 104.tif	 017.tif	 34	 17	 u	 0	 1.525683e+03
BMI_bf_134	 171	 5.955243e+02	 013.tif	 116.tif	 13	 46	 u	 0	 1.105625e+03
BMI_bf_134	 172	 5.990243e+02	 018.tif	 020.tif	 18	 20	 u	 0	 1.589369e+03
BMI_bf_134	 173	 6.025243e+02	 017.tif	 128.tif	 17	 58	 i	 0	 2.305279e+03
BMI_bf_134	 174	 6.060242e+02	 129.tif	 106.tif	 59	 36	 i	 0	 1.205182e+03
BMI_bf_134	 175	 6.095242e+02	 013.tif	 009.tif	 13	 9	 u	 0	 7.610791e+02
BMI_bf_134	 176	 6.130241e+02	 029.tif	 114.tif	 29	 44	 i	 0	 1.564900e+03
BMI_bf_134	 177	 6.165240e+02	 108.tif	 115.tif	 38	 45	 i	 0	 1.136865e+03
BMI_bf_134	 178	 6.200240e+02	 124.tif	 116.tif	 54	 46	 u	 0	 2.204647e+03
BMI_bf_134	 179	 6.235240e+02	 104.tif	 106.tif	 34	 36	 i	 0	 2.152502e+03
BMI_bf_134	 180	 6.270239e+02	 009.tif	 004.tif	 9	 4	 u	 0	 1.252447e+03
BMI_bf_134	 181	 6.305239e+02	 006.tif	 105.tif	 6	 35	 i	 0	 1.832281e+03
BMI_bf_134	 182	 6.340238e+02	 014.tif	 021.tif	 14	 21	 u	 0	 2.228126e+03
BMI_bf_134	 183	 6.375237e+02	 030.tif	 015.tif	 30	 15	 u	 0	 1.400105e+03
BMI_bf_134	 184	 6.410237e+02	 128.tif	 109.tif	 58	 39	 i	 0	 8.999161e+02
BMI_bf_134	 185	 6.445237e+02	 125.tif	 104.tif	 55	 34	 i	 0	 9.437867e+02
BMI_bf_134	 186	 6.480236e+02	 020.tif	 022.tif	 20	 22	 u	 0	 1.963599e+03
BMI_bf_134	 187	 6.515236e+02	 112.tif	 106.tif	 42	 36	 i	 0	 1.015565e+03
BMI_bf_134	 188	 6.550235e+02	 028.tif	 111.tif	 28	 41	 i	 0	 9.954105e+02
BMI_bf_134	 189	 6.585235e+02	 029.tif	 107.tif	 29	 37	 u	 0	 1.927260e+03
BMI_bf_134	 190	 6.620234e+02	 128.tif	 029.tif	 58	 29	 i	 0	 1.203113e+03
BMI_bf_134	 191	 6.655234e+02	 028.tif	 019.tif	 28	 19	 i	 0	 2.175009e+03
BMI_bf_134	 192	 6.690233e+02	 129.tif	 112.tif	 59	 42	 u	 0	 1.218902e+03
BMI_bf_134	 193	 6.725233e+02	 024.tif	 011.tif	 24	 11	 i	 0	 1.094813e+03
BMI_bf_134	 194	 6.760232e+02	 015.tif	 024.tif	 15	 24	 i	 0	 1.354660e+03
BMI_bf_134	 195	 6.795232e+02	 108.tif	 107.tif	 38	 37	 u	 0	 1.078552e+03
BMI_bf_134	 196	 6.830231e+02	 106.tif	 107.tif	 36	 37	 u	 0	 1.242417e+03
