127.tif	12	1	9.831436e-01	57	
102.tif	12	2	9.516306e-01	32	
024.tif	12	3	8.932598e-01	24	
123.tif	12	4	8.876737e-01	53	
002.tif	12	5	8.125524e-01	2	
110.tif	12	6	7.844061e-01	40	
124.tif	12	7	7.776083e-01	54	
111.tif	11	8	7.696924e-01	41	
010.tif	11	9	7.456235e-01	10	
020.tif	12	10	7.456040e-01	20	
109.tif	11	11	7.447060e-01	39	
116.tif	12	12	7.276709e-01	46	
011.tif	12	13	7.231630e-01	11	
014.tif	11	14	7.181020e-01	14	
126.tif	12	15	7.087117e-01	56	
121.tif	11	16	6.917367e-01	51	
101.tif	11	17	6.896657e-01	31	
013.tif	12	18	6.827357e-01	13	
130.tif	11	19	6.767327e-01	60	
114.tif	12	20	6.696852e-01	44	
122.tif	12	21	6.600546e-01	52	
115.tif	11	22	6.397229e-01	45	
104.tif	11	23	6.353422e-01	34	
009.tif	12	24	6.008295e-01	9	
108.tif	12	25	5.860466e-01	38	
118.tif	11	26	5.550063e-01	48	
029.tif	12	27	5.442213e-01	29	
128.tif	12	28	5.434955e-01	58	
113.tif	12	29	5.338846e-01	43	
107.tif	12	30	5.290368e-01	37	
119.tif	24	31	5.245085e-01	49	
106.tif	24	32	4.734144e-01	36	
016.tif	24	33	4.603907e-01	16	
004.tif	24	34	4.596450e-01	4	
103.tif	22	35	4.581705e-01	33	
027.tif	24	36	4.325455e-01	27	
008.tif	24	37	4.159408e-01	8	
019.tif	22	38	3.950285e-01	19	
015.tif	24	39	3.509405e-01	15	
007.tif	22	40	3.289520e-01	7	
018.tif	22	41	3.284309e-01	18	
025.tif	24	42	3.270242e-01	25	
022.tif	22	43	3.266345e-01	22	
005.tif	24	44	3.203222e-01	5	
021.tif	24	45	3.067913e-01	21	
023.tif	22	46	2.865124e-01	23	
030.tif	24	47	2.836974e-01	30	
105.tif	22	48	2.655886e-01	35	
017.tif	22	49	2.388060e-01	17	
112.tif	24	50	2.375040e-01	42	
001.tif	22	51	2.291028e-01	1	
125.tif	24	52	2.212487e-01	55	
120.tif	24	53	2.146610e-01	50	
129.tif	22	54	1.904333e-01	59	
003.tif	24	55	1.577050e-01	3	
006.tif	24	56	1.433947e-01	6	
028.tif	24	57	1.362138e-01	28	
117.tif	24	58	1.083769e-01	47	
012.tif	24	59	8.487238e-02	12	
026.tif	24	60	8.139931e-02	26	

