1	 34	 104.TIF	 1	 1	 6	 0
2	 22	 022.TIF	 1	 0	 43	 0
3	 27	 027.TIF	 1	 0	 52	 1
4	 67	 407.tif	 0	 0	 0	 0
5	 56	 126.TIF	 1	 1	 21	 1
6	 33	 103.TIF	 1	 0	 13	 1
7	 43	 113.TIF	 1	 1	 16	 0
8	 2	 002.tif	 1	 0	 35	 0
9	 39	 109.TIF	 1	 0	 4	 0
10	 13	 013.TIF	 1	 0	 25	 1
11	 3	 003.tif	 1	 0	 48	 0
12	 31	 101.tif	 1	 0	 9	 0
13	 41	 111.tif	 1	 1	 3	 0
14	 32	 102.tif	 1	 1	 20	 1
15	 42	 112.tif	 1	 0	 58	 0
16	 44	 114.tif	 1	 0	 18	 1
17	 73	 413.tif	 0	 0	 0	 0
18	 75	 415.tif	 0	 0	 0	 0
19	 61	 401.tif	 0	 0	 0	 0
20	 45	 115.TIF	 1	 0	 8	 0
21	 64	 404.tif	 0	 0	 0	 0
22	 54	 124.TIF	 1	 1	 10	 1
23	 15	 015.tif	 1	 0	 46	 0
24	 46	 116.TIF	 1	 0	 1	 0
25	 55	 125.tif	 1	 0	 19	 0
26	 49	 119.tif	 1	 0	 5	 0
27	 50	 120.TIF	 1	 0	 55	 0
28	 65	 405.tif	 0	 0	 0	 0
29	 16	 016.TIF	 1	 1	 39	 1
30	 21	 021.TIF	 1	 1	 50	 1
31	 5	 005.tif	 1	 1	 57	 0
32	 80	 420.tif	 0	 0	 0	 0
33	 60	 130.TIF	 1	 0	 22	 0
34	 28	 028.TIF	 1	 0	 31	 0
35	 48	 118.TIF	 1	 0	 30	 0
36	 47	 117.tif	 1	 1	 36	 1
37	 78	 418.tif	 0	 0	 0	 0
38	 74	 414.tif	 0	 0	 0	 0
39	 20	 020.TIF	 1	 0	 28	 0
40	 66	 406.tif	 0	 0	 0	 0
41	 71	 411.tif	 0	 0	 0	 0
42	 69	 409.tif	 0	 0	 0	 0
43	 1	 001.tif	 1	 0	 49	 0
44	 35	 105.TIF	 1	 0	 45	 1
45	 24	 024.TIF	 1	 0	 56	 0
46	 8	 008.TIF	 1	 0	 51	 0
47	 11	 011.TIF	 1	 0	 17	 0
48	 25	 025.TIF	 1	 0	 34	 0
49	 18	 018.tif	 1	 0	 33	 0
50	 38	 108.TIF	 1	 0	 2	 0
51	 53	 123.TIF	 1	 0	 26	 0
52	 59	 129.TIF	 1	 0	 23	 0
53	 6	 006.TIF	 1	 0	 53	 1
54	 26	 026.TIF	 1	 1	 42	 1
55	 72	 412.tif	 0	 0	 0	 0
56	 62	 402.tif	 0	 0	 0	 0
57	 40	 110.TIF	 1	 0	 11	 0
58	 12	 012.TIF	 1	 1	 37	 1
59	 36	 106.TIF	 1	 0	 27	 0
60	 23	 023.TIF	 1	 0	 59	 0
61	 68	 408.tif	 0	 0	 0	 0
62	 79	 419.tif	 0	 0	 0	 0
63	 9	 009.TIF	 1	 0	 60	 0
64	 30	 030.tif	 1	 0	 32	 0
65	 52	 122.TIF	 1	 0	 14	 0
66	 58	 128.TIF	 1	 0	 15	 1
67	 37	 107.TIF	 1	 0	 24	 1
68	 10	 010.TIF	 1	 0	 40	 0
69	 76	 416.tif	 0	 0	 0	 0
70	 19	 019.tif	 1	 0	 38	 0
71	 29	 029.TIF	 1	 0	 54	 0
72	 4	 004.TIF	 1	 0	 44	 1
73	 17	 017.tif	 1	 0	 41	 0
74	 77	 417.tif	 0	 0	 0	 0
75	 51	 121.TIF	 1	 0	 12	 1
76	 57	 127.tif	 1	 0	 7	 1
77	 14	 014.TIF	 1	 0	 29	 0
78	 7	 007.tif	 1	 0	 47	 1
79	 70	 410.tif	 0	 0	 0	 0
80	 63	 403.tif	 0	 0	 0	 0
