subjid runtrial onsettime ImageLeft ImageRight StimNumLeft StimNumRight Response Outcome RT 
Yael 145 5.045224e+02 016.tif 109.tif 16 39 i 0 7.644517e+02
Yael 146 5.080223e+02 101.tif 113.tif 31 43 u 0 1.312334e+03
Yael 147 5.115223e+02 127.tif 017.tif 57 17 i 0 7.721840e+02
Yael 148 5.150221e+02 023.tif 130.tif 23 60 i 0 6.721497e+02
Yael 149 5.185221e+02 023.tif 019.tif 23 19 i 0 9.479497e+02
Yael 150 5.220220e+02 021.tif 107.tif 21 37 i 0 6.158966e+02
Yael 151 5.255220e+02 011.tif 026.tif 11 26 i 0 9.316766e+02
Yael 152 5.290218e+02 002.tif 114.tif 2 44 u 0 1.143617e+03
Yael 153 5.325218e+02 116.tif 111.tif 46 41 u 0 7.394217e+02
Yael 154 5.360217e+02 023.tif 107.tif 23 37 i 0 1.439343e+03
Yael 155 5.395217e+02 119.tif 109.tif 49 39 i 0 9.791311e+02
Yael 156 5.430215e+02 008.tif 015.tif 8 15 i 0 8.711510e+02
Yael 157 5.465215e+02 010.tif 017.tif 10 17 u 0 9.869375e+02
Yael 158 5.500214e+02 003.tif 016.tif 3 16 i 0 8.629100e+02
Yael 159 5.535214e+02 022.tif 128.tif 22 58 i 0 7.867338e+02
Yael 160 5.570212e+02 105.tif 124.tif 35 54 i 0 9.346532e+02
Yael 161 5.605212e+02 028.tif 108.tif 28 38 i 0 1.690424e+03
Yael 162 5.640211e+02 001.tif 022.tif 1 22 i 0 9.903988e+02
Yael 163 5.675211e+02 121.tif 005.tif 51 5 u 0 1.130197e+03
Yael 164 5.710209e+02 120.tif 118.tif 50 48 i 0 8.061773e+02
Yael 165 5.745209e+02 128.tif 008.tif 58 8 x 999 999000
Yael 166 5.780208e+02 009.tif 022.tif 9 22 i 0 1.461882e+03
Yael 167 5.815208e+02 024.tif 119.tif 24 49 i 0 6.817394e+02
Yael 168 5.850206e+02 109.tif 029.tif 39 29 u 0 6.776794e+02
Yael 169 5.885206e+02 016.tif 124.tif 16 54 i 0 8.014828e+02
Yael 170 5.920205e+02 117.tif 002.tif 47 2 i 0 1.037418e+03
Yael 171 5.955205e+02 016.tif 027.tif 16 27 i 0 8.492275e+02
Yael 172 5.990203e+02 017.tif 126.tif 17 56 i 0 9.811747e+02
Yael 173 6.025203e+02 123.tif 124.tif 53 54 i 0 1.288962e+03
Yael 174 6.060202e+02 003.tif 101.tif 3 31 i 0 8.449333e+02
Yael 175 6.095202e+02 127.tif 015.tif 57 15 u 0 9.767033e+02
Yael 176 6.130201e+02 114.tif 101.tif 44 31 i 0 1.220639e+03
Yael 177 6.165200e+02 121.tif 110.tif 51 40 u 0 1.080470e+03
Yael 178 6.200199e+02 117.tif 127.tif 47 57 i 0 8.124354e+02
Yael 179 6.235199e+02 103.tif 116.tif 33 46 i 0 1.040225e+03
Yael 180 6.270197e+02 021.tif 119.tif 21 49 i 0 8.121951e+02
Yael 181 6.305197e+02 116.tif 011.tif 46 11 u 0 6.400152e+02
Yael 182 6.340196e+02 113.tif 020.tif 43 20 u 0 7.319490e+02
Yael 183 6.375196e+02 021.tif 122.tif 21 52 i 0 6.557547e+02
Yael 184 6.410195e+02 027.tif 020.tif 27 20 i 0 6.517034e+02
Yael 185 6.445194e+02 123.tif 106.tif 53 36 u 0 1.135504e+03
Yael 186 6.480193e+02 020.tif 128.tif 20 58 i 0 1.403411e+03
Yael 187 6.515193e+02 127.tif 018.tif 57 18 u 0 8.952440e+02
Yael 188 6.550192e+02 125.tif 016.tif 55 16 u 0 1.163156e+03
Yael 189 6.585191e+02 016.tif 108.tif 16 38 i 0 1.198978e+03
Yael 190 6.620190e+02 103.tif 129.tif 33 59 u 0 1.042914e+03
Yael 191 6.655190e+02 019.tif 016.tif 19 16 i 0 1.086725e+03
Yael 192 6.690188e+02 008.tif 022.tif 8 22 i 0 8.586964e+02
Yael 193 6.725189e+02 128.tif 009.tif 58 9 u 0 1.398484e+03
Yael 194 6.760187e+02 109.tif 101.tif 39 31 u 0 8.264334e+02
Yael 195 6.795187e+02 011.tif 101.tif 11 31 u 0 9.502278e+02
Yael 196 6.830186e+02 010.tif 126.tif 10 56 i 0 6.421962e+02
Yael 197 6.865186e+02 016.tif 117.tif 16 47 u 0 1.141978e+03
Yael 198 6.900184e+02 123.tif 119.tif 53 49 i 0 1.385926e+03
Yael 199 6.935184e+02 001.tif 026.tif 1 26 i 0 1.029756e+03
Yael 200 6.970183e+02 114.tif 024.tif 44 24 u 0 1.025690e+03
Yael 201 7.005183e+02 026.tif 029.tif 26 29 u 0 9.895156e+02
Yael 202 7.040181e+02 106.tif 019.tif 36 19 u 0 1.329439e+03
Yael 203 7.075181e+02 126.tif 120.tif 56 50 u 0 1.077260e+03
Yael 204 7.110180e+02 012.tif 121.tif 12 51 u 0 1.065206e+03
Yael 205 7.145180e+02 014.tif 019.tif 14 19 u 0 1.245005e+03
Yael 206 7.180178e+02 005.tif 012.tif 5 12 i 0 2.320886e+03
Yael 207 7.215178e+02 116.tif 119.tif 46 49 i 0 9.567793e+02
Yael 208 7.250176e+02 107.tif 122.tif 37 52 i 0 9.367318e+02
Yael 209 7.285177e+02 124.tif 021.tif 54 21 u 0 5.805486e+02
Yael 210 7.320175e+02 101.tif 030.tif 31 30 u 0 7.444694e+02
Yael 211 7.355175e+02 009.tif 001.tif 9 1 i 0 1.396259e+03
Yael 212 7.390174e+02 107.tif 104.tif 37 34 i 0 1.000232e+03
Yael 213 7.425175e+02 114.tif 018.tif 44 18 u 0 8.119093e+02
Yael 214 7.460172e+02 011.tif 130.tif 11 60 u 0 7.840050e+02
Yael 215 7.495339e+02 015.tif 022.tif 15 22 i 0 7.071207e+02
Yael 216 7.530337e+02 030.tif 013.tif 30 13 i 0 8.790717e+02
Yael 217 7.565337e+02 114.tif 102.tif 44 32 u 0 7.948882e+02
Yael 218 7.600336e+02 118.tif 102.tif 48 32 i 0 7.268108e+02
Yael 219 7.635336e+02 102.tif 128.tif 32 58 u 0 8.426304e+02
Yael 220 7.670334e+02 103.tif 019.tif 33 19 u 0 1.598528e+03
Yael 221 7.705334e+02 117.tif 115.tif 47 45 i 0 7.703955e+02
