  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.8751   0.8728   0.2263   0.8062   0.0339   0.2245   0.3141   0.5505   0.0000   0.5605  24.0760       ML
      102   0.3765   1.1380   3.7287   0.3665   0.0521   0.5423   1.3855   0.0992   0.0000 -73.4792  19.6640       ML
      103   0.3874   0.7232   1.6072   0.9362   0.0454   0.7747   0.0052   0.5765   0.0000  42.2499  87.8380       ML
      104   0.1309   0.9128   5.3823   0.9430   0.0492   0.2619   2.2081   0.6869   0.0000  53.5843  50.9680       ML
      105   0.5079   0.9867  -0.3287   0.6919  -0.0814   0.2603   0.9497   0.4861   0.0000  56.1776  11.0870       ML
      106   0.5043   0.8805   0.3138   0.8203   0.0037   0.7276   0.0732   0.2891   0.0000  33.4348  44.4170       ML
      107   0.5002   0.7817   1.0082   0.8420   0.0742   0.6760   0.0000   0.7078   0.0000  70.0617  91.4690       ML
      108   0.1740   1.0891   2.3429   0.8116   0.2197   0.0000   0.3814   0.7400   0.0000  94.9148  14.1800       ML
      109   0.2628   0.9204   2.9564   0.5727   0.1380   0.0000   0.0150   0.2456   0.0000 -40.8509  10.2250       ML
      110   0.7027   0.8987  -0.6792   0.8085  -0.0309   0.0568   0.0015   0.5466   0.0000  63.6998  68.5270       ML
      111   0.5272   0.7928  -0.3910   0.8372   0.0528   0.5346   0.0002   0.5782   0.0000  66.0456  41.9140       ML
      112   0.2405   0.5838   4.2122   0.9160   0.0926   0.0034   0.0000   0.6326   0.0000  37.9986  14.6990       ML
      113   0.2319   0.9430   3.9246   0.9628   0.3053   0.2895   0.1063   0.6349   0.0000  35.5997  34.7560       ML
      114   0.6602   1.0057   0.7255   0.6843  -0.0066   0.6796   0.0820   0.2752   0.0000  11.6894  39.1770       ML
      115   0.2140   0.9589   1.8621   0.7974   0.2075   0.4280   0.0491   0.4682   0.0000  49.8803  24.8750       ML
      116   0.6953   1.2859   1.8272   0.5159  -0.0962   0.6093   0.5604   0.2815   0.0000 -15.2871  21.5190       ML
      117   0.6322   0.6391   0.0702   0.5893  -0.0182   0.7355   0.3630   0.1975   0.0000 -54.3039  25.3300       ML
      118   0.7930   0.9067  -0.6673   0.7018  -0.1114   0.4139   0.2322   0.4384   0.0000  41.8873  16.2250       ML
      119   0.6593   0.9172   0.1327   0.7868   0.0605   0.6810   0.3963   0.4912   0.0000  60.9985  37.0990       ML
      120   0.5296   0.8407   0.0708   0.8509   0.1314   0.3792   0.4624   0.4753   0.0000  56.3029  32.9980       ML
      122   0.4074   1.8149   5.3662   0.5926   0.0807   0.5441   1.3871   0.2189   0.0000 -83.2450  29.5560       ML
      123   0.2955   0.9048   3.2496   0.6764   0.1468   0.5821   0.3275   0.3911   0.0000   0.7337  34.6290       ML
      124   0.5559   1.0977   1.0277   0.6313   0.0571   0.3580   0.1234   0.2434   0.0000  36.0679  28.7030       ML
      125   0.5486   1.0226   2.8981   0.7599   0.0702   0.6216   1.6038   0.2970   0.0000 -28.1424  36.3470       ML
      126   0.6810   0.9426  -0.6638   0.7209  -0.0585   0.1419   0.0107   0.3740   0.0000  49.0748  24.9380       ML
