  dataset        a       t0        d      st0  penalty      fit     time   method
      101   0.7924   0.7491   0.1521   0.4012   0.0000  21.7718   0.2870       ML
      102   0.7417   0.3687  -0.0152   0.1359   0.0000 -14.7606   0.1190       ML
      103   0.5932   0.9559  -0.0211   0.5625   0.0000  21.3577   0.3580       ML
      104   0.4506   0.9827  -0.0700   0.7000   0.0000  31.1719   0.3070       ML
      105   0.8315   0.7221  -0.1463   0.5483   0.0000  29.2307   0.3360       ML
      106   0.9034   0.7718  -0.0050   0.2478   0.0000  18.8786   0.1480       ML
      107   0.6622   0.8874   0.1736   0.7478   0.0000  37.4416   0.5050       ML
      108   1.0970   0.6044   0.0949   0.5692   0.0000  52.0010   0.3560       ML
      109   0.6864   0.5858   0.0255   0.1455   0.0000 -21.8351   0.1090       ML
      110   0.8106   0.8488   0.1545   0.4320   0.0000  24.9458   0.3160       ML
      111   0.7789   0.8443   0.0101   0.4376   0.0000  24.6328   0.4020       ML
      112   0.6104   0.8692   0.0584   0.5827   0.0000  25.7419   0.2930       ML
      113   0.5994   1.0023   0.2711   0.6250   0.0000  27.7416   0.3530       ML
      114   0.8685   0.6817   0.0237   0.2740   0.0000  16.7970   0.1610       ML
      115   0.7943   0.7787   0.1247   0.3961   0.0000  24.2712   0.2490       ML
      116   1.0376   0.6870   0.4204   0.1881   0.0000  29.1354   0.1680       ML
      117   0.4311   0.6401   0.0101   0.2669   0.0000 -31.0612   0.1230       ML
      118   1.0337   0.6077  -0.0311   0.2483   0.0000  33.5890   0.2120       ML
      119   1.1305   0.6350   0.1309   0.0550   0.0000  31.5019   0.0890       ML
      120   0.8449   0.8235   0.1485   0.4611   0.0000  28.3241   0.4250       ML
      122   0.7587   0.7956   0.3300   0.3408   0.0000   9.6938   0.3820       ML
      123   0.7416   0.6386   0.0365   0.3767   0.0000  13.1842   0.2890       ML
      124   1.0797   0.6002   0.0705   0.1461   0.0000  30.4269   0.1950       ML
      125   0.7620   0.7612   0.1106   0.3235   0.0000  11.7277   0.2150       ML
      126   0.9469   0.6950  -0.0159   0.1449   0.0000  15.7684   0.1210       ML
