  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      101   0.8373   0.9299   0.7238  -0.0086   0.4317   0.0000   1.4072   0.3750       ML
      102   0.8764   0.9050   0.3520  -0.1680   0.1981   0.0000 -42.4838   0.2850       ML
      103   0.5933   0.8976   0.8361  -0.0689   0.3460   0.0000  21.3495   0.4400       ML
      104   0.5830   0.4206   0.9927  -0.0920   0.7144   0.0000  30.3224   0.3450       ML
      105   0.4803   0.8394   0.7296  -0.1183   0.5211   0.0000  23.5216   0.7470       ML
      106   0.5631   0.9022   0.7734  -0.0306   0.2488   0.0000  18.2744   0.1920       ML
      107   0.6804   0.6759   0.8855   0.1257   0.7531   0.0000  33.0125   0.6330       ML
      108   0.5768   1.1075   0.5962   0.0432   0.5848   0.0000  51.1001   0.6280       ML
      109   0.7262   0.7244   0.5868  -0.0251   0.1560   0.0000 -31.0828   0.3390       ML
      110   0.5760   0.8548   0.8291   0.0536   0.4039   0.0000  25.0850   1.2150       ML
      111   0.5569   0.7779   0.8806  -0.0218   0.4815   0.0000  26.8079   0.5100       ML
      112   0.7464   0.6654   0.8614  -0.0003   0.5696   0.0000  17.0572   0.9440       ML
      113   0.7772   0.7307   0.9859   0.1861   0.6218   0.0000  14.6810   1.5670       ML
      114   0.7710   0.9732   0.6731  -0.0774   0.2670   0.0000   1.8085   0.3930       ML
      115   0.3717   0.8127   0.7773   0.1778   0.3859   0.0000  22.0066   0.4920       ML
      116   0.8274   1.2599   0.6391   0.1605   0.2813   0.0000   3.9296   0.4870       ML
      117   0.6542   0.4785   0.6124  -0.0229   0.2396   0.0000 -34.5151   0.1520       ML
      118   0.6542   1.0675   0.6034  -0.1102   0.2543   0.0000  29.1868   0.2270       ML
      119   0.6309   1.1578   0.6345   0.0638   0.0976   0.0000  27.9786   0.1240       ML
      120   0.5439   0.8507   0.8219   0.1339   0.4573   0.0000  28.0272   0.4220       ML
      122   0.9552   1.1918   0.7499   0.0665   0.4582   0.0000 -32.1190   0.8220       ML
      123   0.7627   0.7565   0.6447  -0.0610   0.4095   0.0000  -0.0130   0.7440       ML
      124   0.7902   1.0983   0.6247  -0.0852   0.2160   0.0000  15.2473   0.1600       ML
      125   0.8789   0.8669   0.7858  -0.0023   0.3827   0.0000 -10.5930   0.2300       ML
      126   0.6151   0.8642   0.7391  -0.0721   0.2578   0.0000  14.7337   0.2330       ML
