  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   0.9388   2.1573   0.7394   0.1524   0.4008   0.0000  -1.2494   0.3570       ML
      102   0.9556   2.7265   0.3556  -0.0143   0.1306   0.0000 -47.6081   0.2100       ML
      103   0.9119   0.5697   0.8612  -0.0187   0.3184   0.0000  19.5396   0.8030       ML
      104   0.7464   0.4434   0.8768  -0.0469   0.5717   0.0000  32.0825   0.5720       ML
      105   0.8370  -0.4161   0.7217  -0.1462   0.5480   0.0000  28.1909   0.5920       ML
      106   0.9064   0.2875   0.7717  -0.0049   0.2480   0.0000  18.2918   0.2190       ML
      107   0.6833   1.1841   0.8861   0.1733   0.7479   0.0000  32.5173   0.6840       ML
      108   1.1110   0.4550   0.6031   0.0945   0.5683   0.0000  49.8761   0.5180       ML
      109   0.7126   1.6241   0.6001   0.0584   0.1434   0.0000 -33.9831   0.3020       ML
      110   0.7763   0.3592   0.8550   0.1492   0.4384   0.0000  24.3105   0.9110       ML
      111   0.7862   0.1922   0.8769  -0.0079   0.4885   0.0000  26.5621   0.4990       ML
      112   0.6430   1.6175   0.8675   0.0584   0.5828   0.0000  17.5303   0.6960       ML
      113   0.6322   2.1376   1.0187   0.2635   0.6099   0.0000  12.2003   0.7720       ML
      114   0.9544   1.5239   0.6764   0.0253   0.2736   0.0000   1.4063   0.2710       ML
      115   0.8004  -0.4772   0.7781   0.1247   0.3959   0.0000  22.9429   0.4060       ML
      116   1.3900   2.0625   0.6525   0.4141   0.1667   0.0000  -6.6480   0.2410       ML
      117   0.4630   1.4065   0.6159  -0.0060   0.2429   0.0000 -34.5171   0.3210       ML
      118   1.0593   0.6727   0.6057  -0.0310   0.2483   0.0000  29.2271   0.3040       ML
      119   1.1642   0.6888   0.6326   0.1311   0.0531   0.0000  26.2275   0.0950       ML
      120   0.8460   0.1717   0.8235   0.1487   0.4614   0.0000  28.1425   0.4700       ML
      122   1.2526   3.4484   0.7725   0.3451   0.3329   0.0000 -34.4876   0.5110       ML
      123   0.8065   1.6967   0.6350   0.0361   0.3770   0.0000  -0.7930   0.4150       ML
      124   1.2015   1.3087   0.5906   0.0713   0.1431   0.0000  13.9997   0.1770       ML
      125   0.8904   2.1781   0.7540   0.1117   0.3243   0.0000 -10.9871   0.3200       ML
      126   0.9535   0.3989   0.6945  -0.0160   0.1447   0.0000  14.5412   0.1980       ML
