  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   0.7855   2.7186   0.8410   0.1992   0.5358   0.0000   0.8299   0.8910       ML
      102   0.9152   2.2089   0.3561  -0.0025   0.1230   0.0000 -71.3992   0.3540       ML
      103   0.7301   0.2179   0.9264   0.0064   0.5354   0.0000  48.3372   1.1350       ML
      104   0.5354   0.9300   0.9528  -0.0192   0.6952   0.0000  57.2179   1.0390       ML
      105   0.9260  -0.4130   0.6872  -0.0149   0.5392   0.0000  58.3359   1.3850       ML
      106   0.8674   0.2829   0.7921   0.0010   0.2833   0.0000  33.7217   0.5230       ML
      107   0.7663   0.8605   0.8247   0.0683   0.7129   0.0000  70.1778   1.2840       ML
      108   1.1113   0.4391   0.6540   0.1127   0.6305   0.0000 108.7964   1.0580       ML
      109   0.7073   1.5842   0.5933   0.0591   0.2924   0.0000 -43.7999   0.8660       ML
      110   0.8120   0.3509   0.8235   0.0282   0.5920   0.0000  65.2031   1.0780       ML
      111   0.7850  -0.2161   0.8249   0.0615   0.5806   0.0000  66.0941   0.8500       ML
      112   0.5135   1.6747   0.9057   0.0447   0.6313   0.0000  40.0685   1.2130       ML
      113   1.0365   1.2625   0.8544   0.1948   0.4309   0.0000  39.9989   2.2310       ML
      114   0.9928   1.3347   0.6571   0.0476   0.2588   0.0000  14.0922   0.5080       ML
      115   0.7384  -0.1330   0.8078   0.0812   0.4783   0.0000  54.1718   0.7590       ML
      116   1.3355   2.1095   0.4521  -0.0026   0.2325   0.0000  -9.7811   0.4440       ML
      117   0.6090   1.0358   0.5800   0.0008   0.2014   0.0000 -52.1077   0.4070       ML
      118   0.8212   0.9720   0.7106   0.0053   0.4654   0.0000  49.1609   0.6170       ML
      119   0.8917   0.8362   0.7714   0.1080   0.5009   0.0000  62.3910   0.8890       ML
      120   0.8329   0.2065   0.8441   0.1404   0.4768   0.0000  56.3306   0.8700       ML
      122   1.3520   3.3268   0.5762   0.0238   0.2357   0.0000 -82.1931   0.5410       ML
      123   0.7675   1.4807   0.6406   0.0473   0.3776   0.0000   4.8779   0.7220       ML
      124   1.1209   1.1884   0.6133   0.0943   0.2665   0.0000  40.0555   0.5390       ML
      125   0.9723   2.1350   0.7320   0.0877   0.2747   0.0000 -27.2911   0.7160       ML
      126   0.8945   0.1904   0.7224   0.0059   0.3915   0.0000  50.9533   0.9210       ML
 splitted_fast_dm_101   0.9388   2.1573   0.7394   0.1524   0.4008   0.0000  -1.2494   0.3670       ML
 splitted_fast_dm_102   0.9556   2.7265   0.3556  -0.0143   0.1306   0.0000 -47.6081   0.1890       ML
 splitted_fast_dm_103   0.9119   0.5697   0.8612  -0.0187   0.3184   0.0000  19.5396   0.7520       ML
 splitted_fast_dm_104   0.7464   0.4434   0.8768  -0.0469   0.5717   0.0000  32.0825   0.4730       ML
 splitted_fast_dm_105   0.8370  -0.4161   0.7217  -0.1462   0.5480   0.0000  28.1909   0.5730       ML
 splitted_fast_dm_106   0.9064   0.2875   0.7717  -0.0049   0.2480   0.0000  18.2918   0.2250       ML
 splitted_fast_dm_107   0.6833   1.1841   0.8861   0.1733   0.7479   0.0000  32.5173   0.6500       ML
 splitted_fast_dm_108   1.1110   0.4550   0.6031   0.0945   0.5683   0.0000  49.8761   0.5280       ML
 splitted_fast_dm_109   0.7126   1.6241   0.6001   0.0584   0.1434   0.0000 -33.9831   0.2890       ML
 splitted_fast_dm_110   0.7763   0.3592   0.8550   0.1492   0.4384   0.0000  24.3105   0.8650       ML
 splitted_fast_dm_111   0.7862   0.1922   0.8769  -0.0079   0.4885   0.0000  26.5621   0.4780       ML
 splitted_fast_dm_112   0.6430   1.6175   0.8675   0.0584   0.5828   0.0000  17.5303   0.5830       ML
 splitted_fast_dm_113   0.6322   2.1376   1.0187   0.2635   0.6099   0.0000  12.2003   0.7110       ML
 splitted_fast_dm_114   0.9544   1.5239   0.6764   0.0253   0.2736   0.0000   1.4063   0.2690       ML
 splitted_fast_dm_115   0.8004  -0.4772   0.7781   0.1247   0.3959   0.0000  22.9429   0.3710       ML
 splitted_fast_dm_116   1.3900   2.0625   0.6525   0.4141   0.1667   0.0000  -6.6480   0.2530       ML
 splitted_fast_dm_117   0.4630   1.4065   0.6159  -0.0060   0.2429   0.0000 -34.5171   0.3100       ML
 splitted_fast_dm_118   1.0593   0.6727   0.6057  -0.0310   0.2483   0.0000  29.2271   0.2650       ML
 splitted_fast_dm_119   1.1642   0.6888   0.6326   0.1311   0.0531   0.0000  26.2275   0.0870       ML
 splitted_fast_dm_120   0.8460   0.1717   0.8235   0.1487   0.4614   0.0000  28.1425   0.4660       ML
 splitted_fast_dm_122   1.2526   3.4484   0.7725   0.3451   0.3329   0.0000 -34.4876   0.4720       ML
 splitted_fast_dm_123   0.8065   1.6967   0.6350   0.0361   0.3770   0.0000  -0.7930   0.3520       ML
 splitted_fast_dm_124   1.2015   1.3087   0.5906   0.0713   0.1431   0.0000  13.9997   0.1710       ML
 splitted_fast_dm_125   0.8904   2.1781   0.7540   0.1117   0.3243   0.0000 -10.9871   0.3620       ML
 splitted_fast_dm_126   0.9535   0.3989   0.6945  -0.0160   0.1447   0.0000  14.5412   0.1860       ML
      101   0.7855   2.7186   0.8410   0.1992   0.5358   0.0000   0.8299   0.9240       ML
      102   0.9152   2.2089   0.3561  -0.0025   0.1230   0.0000 -71.3992   0.3510       ML
      103   0.7301   0.2179   0.9264   0.0064   0.5354   0.0000  48.3372   1.3590       ML
      104   0.5354   0.9300   0.9528  -0.0192   0.6952   0.0000  57.2179   1.1100       ML
      105   0.9260  -0.4130   0.6872  -0.0149   0.5392   0.0000  58.3359   1.4850       ML
      106   0.8674   0.2829   0.7921   0.0010   0.2833   0.0000  33.7217   0.6950       ML
      101   0.7855   2.7186   0.8410   0.1992   0.5358   0.0000   0.8299   1.0900       ML
      102   0.9152   2.2089   0.3561  -0.0025   0.1230   0.0000 -71.3992   0.4690       ML
      103   0.7301   0.2179   0.9264   0.0064   0.5354   0.0000  48.3372   1.5560       ML
      104   0.5354   0.9300   0.9528  -0.0192   0.6952   0.0000  57.2179   1.1380       ML
      105   0.9260  -0.4130   0.6872  -0.0149   0.5392   0.0000  58.3359   1.5400       ML
      106   0.8674   0.2829   0.7921   0.0010   0.2833   0.0000  33.7217   0.5670       ML
      107   0.7663   0.8605   0.8247   0.0683   0.7129   0.0000  70.1778   1.4390       ML
      108   1.1113   0.4391   0.6540   0.1127   0.6305   0.0000 108.7964   1.2150       ML
      109   0.7073   1.5842   0.5933   0.0591   0.2924   0.0000 -43.7999   0.9980       ML
