  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      101   0.4467   0.9756   2.3877   0.7372   0.1764   0.3959   0.0000  -1.2709   0.5640       ML
      102   0.3584   1.1148   3.3426   0.3437   0.0499   0.0888   0.0000 -47.7226   0.2680       ML
      103   0.6953   0.9166  -0.5727   0.8415  -0.1058   0.3608   0.0000  21.1196   0.6110       ML
      104   0.1311   0.8053   4.6656   0.9803   0.0296   0.7032   0.0000  28.5314   1.2280       ML
      105   0.4127   0.9453   0.0369   0.6776   0.0075   0.5424   0.0000  26.4635   1.7500       ML
      106   0.5435   0.9025   0.0967   0.7729  -0.0227   0.2484   0.0000  18.2684   0.4270       ML
      107   0.0152   4.6746   7.9626   0.6886   0.6431   0.7341   0.0000  30.4277   4.4350       ML
      108   0.3157   1.3416   0.9046   0.5241   0.1530   0.2368   0.0000  44.0068   1.0870       ML
      109   0.6079   0.7202   0.8967   0.5834   0.0021   0.1426   0.0000 -31.5983   0.3390       ML
      110   0.5853   0.8372  -0.1158   0.8265   0.0908   0.4485   0.0000  27.3970   0.8020       ML
      111   0.6619   0.8328  -0.6920   0.8229  -0.0769   0.4523   0.0000  27.3120   1.0030       ML
      112   0.8283   0.7262  -0.7709   0.8515  -0.0267   0.5660   0.0000  16.8928   1.1720       ML
      113   0.0781   2.1995   4.4831   0.8519   0.6649   0.4352   0.0000  13.0818   1.3600       ML
      114   0.6601   0.9450   0.8043   0.6749  -0.0339   0.2596   0.0000   0.6548   0.3770       ML
      115   0.1051   1.1895   2.0321   0.7322   0.3517   0.3661   0.0000  18.0587   1.5200       ML
      116   0.2650   1.8516   2.9500   0.6121   0.6082   0.0004   0.0000  -8.3475   0.3260       ML
      117   0.5563   0.4648   0.9081   0.6150  -0.0111   0.2420   0.0000 -34.5380   0.4240       ML
      118   0.5920   1.0543   0.3202   0.6060  -0.0780   0.2512   0.0000  28.9884   0.4160       ML
      119   0.4505   1.1850   0.8573   0.6282   0.1588   0.0017   0.0000  26.1010   0.0970       ML
      120   0.6376   0.8448  -0.5093   0.8323   0.1029   0.4771   0.0000  27.9191   0.8280       ML
      122   0.0671   4.9550   6.0878   0.5687   1.0936   0.0000   0.0000 -35.5680   0.5900       ML
      123   0.1496   1.4386   3.7540   0.5836   0.2743   0.3293   0.0000  -3.8986   0.6400       ML
      124   0.5518   1.1880   1.1258   0.5914   0.0443   0.1447   0.0000  13.8817   0.2530       ML
      125   0.6755   0.8703   1.3100   0.7504   0.0524   0.3194   0.0000 -11.5120   0.5140       ML
      126   0.4918   0.9539   0.4330   0.6945  -0.0125   0.1448   0.0000  14.5397   0.2860       ML
