dataset	zr_2	zr_1	a	v_2	t0	d	szr	sv	st0	v_1	penalty	fit	time	method
1	0.7442	0.6828	0.8323	3.2847	0.83	0.1215	0.5115	0.9702	0.5349	0.9543	0	-8.2481	33.78	ML
2	0.3454	0.3564	1.155	3.6697	0.3633	0.0575	0.4764	1.4696	0.0997	4.0784	0	-73.8934	30.59	ML
3	0.4843	0.7457	0.9363	0.1655	0.8201	-0.0696	0.0052	0.0037	0.3993	-0.3126	0	44.2595	43.078	ML
4	0.527	0.1688	0.7653	1.6639	0.9272	0.0931	0.3374	0.0051	0.6596	2.9912	0	44.4541	45.526	ML
5	0.542	0.4895	1.219	-0.3134	0.5957	0.0085	0.0018	0.9565	0.3841	-0.7488	0	66.5279	44.67	ML
6	0.5632	0.5152	0.9156	0.287	0.824	-0.0134	0.8737	0.5423	0.2794	-0.2956	0	30.8351	326.033	ML
7	0.4221	0.756	0.8422	2.1173	0.8339	0.0218	0.4879	0.67	0.693	-1.1942	0	61.7244	249.924	ML
8	0.3902	0.3654	1.3503	0.6932	0.5737	0.1799	0.0002	0.6491	0.3089	1.0084	0	105.7351	272.737	ML
9	0.27	0.2252	0.9541	2.9708	0.5719	0.1458	0.1357	0	0.2423	3.2427	0	-41.132	122.396	ML
10	0.5017	0.8055	0.9192	-0.4901	0.8248	-0.0179	0.386	0.368	0.5385	-0.3447	0	49.3482	169.871	ML
11	0.3541	0.7275	0.7928	-0.8813	0.8585	0.0413	0.545	0.1874	0.6017	-0.1767	0	43.4071	261.609	ML
12	0.4756	0.7592	1.0004	1.6121	0.7396	-0.0226	0.4815	0.0005	0.3894	-0.8942	0	37.4639	287.103	ML
13	0.3574	0.5595	1.0941	1.5817	0.8135	0.1905	0	0.2708	0.3519	1.0597	0	40.1493	58.302	ML
14	0.6664	0.7954	1.0934	1.6574	0.6574	-0.0569	0.4092	0.8041	0.2701	-0.8602	0	5.091	122.858	ML
15	0.2457	0.4546	0.8253	-0.3669	0.8225	0.1175	0.4913	0.5562	0.4681	1.9975	0	22.564	82.881	ML
16	0.664	0.677	1.3544	2.8727	0.4967	-0.0823	0.6439	0.3252	0.2626	1.1982	0	-19.1282	72.966	ML
17	0.5605	0.728	0.6499	1.0278	0.5747	-0.0302	0.5439	0.1479	0.1852	-1.1446	0	-59.2139	93.214	ML
18	0.6291	0.2811	0.8405	-0.106	0.7251	0.0123	0	0.4957	0.4881	3.1482	0	43.3426	63.182	ML
19	0.5107	0.1513	0.9903	0.6587	0.8006	0.1597	0.297	0.1941	0.5268	4.6073	0	46.4814	123.881	ML
20	0.5354	0.8338	0.8907	-0.5183	0.8534	0.0557	0.2278	0.1848	0.4846	-1.471	0	46.1976	69.303	ML
22	0.4651	0.5624	2.2542	8.5069	0.6234	0.0274	0.8752	2.6145	0.2276	7.3236	0	-86.3094	234.405	ML
23	0.4518	0.3014	0.8751	2.3281	0.6645	0.1123	0.6028	0.2626	0.3767	2.458	0	-2.8831	90.563	ML
24	0.5632	0.7233	1.1716	1.5361	0.6002	-0.0175	0	0.4499	0.2557	-0.2275	0	29.7054	37.949	ML
25	0.3752	0.579	1.0919	3.7734	0.7709	0.1046	0.549	1.9946	0.3097	3.7049	0	-31.6903	125.672	ML
26	0.5365	0.6045	1.0045	-0.1728	0.6946	0.0155	0	0.7978	0.2805	-0.0064	0	43.4824	33.471	ML
