  1  0.866
  1  0.552
  1  0.422
  1  0.729
  1  0.323
  1  0.450
  1  0.512
  1  0.318
  0  0.395
  1  0.471
  1  0.435
  1  0.508
  1  0.819
  1  1.044
  0  0.508
  1  0.647
  1  0.362
  1  0.340
  1  0.519
  1  0.780
  1  0.509
  1  0.479
  0  0.713
  1  0.425
  1  0.419
  1  0.391
  1  0.445
  1  0.685
  1  0.575
  1  0.565
  1  0.656
  1  0.848
  1  0.362
  1  0.462
  1  0.339
  1  0.419
  0  0.771
  1  0.993
  0  0.334
  0  0.407
  0  0.560
  1  0.429
  1  0.456
  1  0.652
  0  0.395
  1  0.812
  1  0.374
  1  0.429
  1  0.989
  1  0.478
  1  0.389
  1  1.226
  1  0.312
  1  0.633
  0  0.452
  1  0.449
  1  0.576
  1  0.623
  1  0.397
  0  0.610
  1  0.643
  1  0.457
  1  0.392
  1  0.488
  1  0.454
  0  0.445
  1  0.514
  1  0.540
  0  0.548
  1  0.350
  1  0.601
  1  0.345
  0  0.358
  1  0.521
  0  0.309
  1  0.325
  1  0.478
  0  0.836
  1  0.521
  1  0.545
  0  0.682
  1  0.322
  1  0.440
  1  0.426
  1  0.924
  1  0.609
  1  0.489
  1  0.419
  1  0.360
  0  0.464
  0  0.463
  1  0.484
  1  0.519
  1  0.471
  1  0.536
  1  0.372
  0  0.350
  0  0.435
  1  0.388
  1  0.383
  1  0.525
  1  0.369
  0  0.842
  0  0.359
  1  0.385
  1  0.608
  1  0.408
  0  0.440
  0  0.350
  1  0.441
  1  0.588
  1  0.349
  1  0.396
  0  0.676
  0  0.707
  0  0.344
  0  1.050
  0  0.414
  1  0.385
  1  0.333
  1  1.203
  1  0.903
  0  0.384
  1  0.475
  1  1.638
  1  0.437
  1  0.492
  1  0.691
  1  0.834
  1  0.373
  1  0.351
  0  0.335
  0  0.411
  1  0.796
  1  0.746
  1  0.460
  0  0.892
  0  0.598
  1  0.430
  1  0.315
  1  0.405
  0  0.476
  1  0.310
  1  0.456
  0  0.488
  1  0.376
  1  0.377
  1  0.527
  1  0.398
  1  0.573
  1  0.914
  1  0.647
  1  0.755
  0  0.359
  1  0.388
  1  0.345
  1  0.336
  1  0.643
  1  0.338
  1  0.419
  1  0.425
  0  0.516
  0  0.349
  1  0.638
  1  0.580
  1  0.415
  1  0.531
  0  0.492
  1  0.693
  1  0.378
  0  0.561
  1  0.823
  1  0.524
  1  0.304
  1  0.416
  1  0.412
  1  0.372
  0  0.462
  1  0.512
  1  0.598
  1  0.482
  1  0.513
  1  0.447
  1  0.428
  1  0.847
  1  0.529
  1  0.437
  1  0.586
  1  0.414
  1  0.538
  0  0.337
  1  0.378
  1  0.397
  1  1.347
  0  0.564
  1  0.397
  1  0.479
  1  0.661
  1  0.531
  1  0.383
  1  1.044
  1  0.396
  1  0.435
  1  0.506
  1  0.684
  0  0.306
  1  0.651
  1  0.465
  1  1.175
  1  0.860
  1  1.119
  1  0.375
  1  0.390
  1  0.388
  1  0.457
  1  0.341
  1  0.829
  1  0.416
  0  0.480
  1  0.414
  0  1.090
  1  0.434
  1  0.574
  1  0.418
  0  0.398
  1  0.682
  1  0.392
  1  0.376
  0  0.477
  1  0.591
  1  0.318
  1  0.395
  1  0.592
  0  0.411
