  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.4332   1.0323   0.5645   0.0077   0.4210   0.5803   0.3119   0.0000  65.7719  65.5220       ML
      102   0.3620   0.8446   0.7917   0.0205   0.7240   0.0229   0.7565   0.0000  92.5107 193.4430       ML
      103   0.6308   1.1702   0.6185  -0.0224   0.6177   0.3029   0.3483   0.0000  81.3832  72.9650       ML
      104   0.8736   1.3266   0.6363  -0.1126   0.2072   0.0133   0.3365   0.0000  -7.4688  73.7660       ML
      105   0.6568   0.8652   0.5537  -0.0416   0.3157   0.0035   0.4601   0.0000  53.1714  71.1260       ML
      106   0.8623   1.0667   0.6848   0.0059   0.2599   0.1076   0.3961   0.0000  14.4085  39.6200       ML
      107   0.4091   0.7761   0.7429  -0.0402   0.5642   0.0009   0.6240   0.0000  70.8071 199.0710       ML
      108   0.7266   1.0437   0.5752  -0.1625   0.0004   0.5841   0.2809   0.0000  34.0185  29.7580       ML
      109   0.5080   0.9467   0.5601  -0.0897   0.4610   0.4910   0.5307   0.0000  72.1040 222.2960       ML
      110   0.4645   0.8137   0.5102  -0.0051   0.0360   0.1635   0.4071   0.0000  33.6124  74.7190       ML
      111   0.3204   1.2080   0.6590   0.1880   0.0009   1.7648   0.4241   0.0000  74.8482  53.4820       ML
      112   0.5260   0.8964   0.3067  -0.0378   0.7543   0.5530   0.0951   0.0000  -1.1483  53.7280       ML
      113   0.5624   1.0777   0.5855  -0.0473   0.0196   0.0001   0.3067   0.0000  73.5725  80.0010       ML
      115   0.5720   1.0626   0.6150  -0.0043   0.4394   0.4117   0.3035   0.0000  71.6083  95.1970       ML
      116   0.7520   0.9114   0.7110  -0.0549   0.4960   0.2055   0.4033   0.0000  26.2621  76.6850       ML
      117   0.8093   0.8181   0.5319  -0.1327   0.2430   0.0073   0.3762   0.0000 -19.2295 103.7360       ML
      118   0.6348   0.9430   0.5373  -0.0276   0.0103   0.0334   0.2935   0.0000  29.9940  52.4740       ML
      119   0.5258   0.8872   0.7302   0.0105   0.9482   0.0005   0.4420   0.0000  65.1365 255.6310       ML
      120   0.7593   1.1075   0.5014  -0.0386   0.0001   0.0040   0.3042   0.0000   0.3131  39.3570       ML
      121   0.5567   0.7791   0.6989  -0.0318   0.7107   0.9343   0.7406   0.0000  88.0409 600.3290       ML
      122   0.8670   1.0576   0.6588  -0.1332   0.2321   0.2084   0.4254   0.0000  10.1510  88.3750       ML
      123   0.8602   1.1341   0.5099  -0.2598   0.1460   0.0000   0.4475   0.0000  14.5259  60.1100       ML
      124   0.4772   0.9244   0.6214   0.1493   0.0000   0.7369   0.5485   0.0000  61.8069 117.5810       ML
      126   0.8066   0.9933   0.4257  -0.1406   0.3863   0.5325   0.2163   0.0000 -32.1028  46.9140       ML
      127   0.5570   0.9457   0.4998   0.0143   0.0068   0.0003   0.2836   0.0000  40.3472  60.9790       ML
