  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      101   0.4814   0.9793   0.5497  -0.0022   0.3133   0.0000  30.0086   0.3360       ML
      102   0.3781   0.1213   0.9534  -0.0501   0.9624   0.0000  38.9804   1.0190       ML
      103   0.6819   1.2007   0.5380  -0.1509   0.3590   0.0000  39.0226   0.3800       ML
      104   0.9153   1.3650   0.6747  -0.1666   0.4674   0.0000  -6.4430   0.3380       ML
      105   0.6743   0.9720   0.5031   0.0012   0.3836   0.0000  26.3755   0.3720       ML
      106   0.8645   1.0687   0.6711  -0.0078   0.4111   0.0000   0.3717   0.5130       ML
      107   0.3860   0.7865   0.7270   0.0195   0.5894   0.0000  36.5418   0.4420       ML
      108   0.5979   1.1979   0.5177  -0.0705   0.2580   0.0000  16.7405   0.7580       ML
      109   0.5815   0.9104   0.5737  -0.0172   0.5887   0.0000  40.9657   0.5310       ML
      110   0.4312   0.8263   0.5147  -0.0246   0.4109   0.0000  17.1817   0.3260       ML
      111   0.4352   0.9229   0.7126   0.0672   0.4045   0.0000  30.2653   0.3020       ML
      112   0.4686   0.8958   0.2520   0.0104   0.0459   0.0000  -1.4111   0.0980       ML
      113   0.5451   1.0140   0.6433  -0.0353   0.3560   0.0000  37.6796   0.2700       ML
      115   0.5577   0.9277   0.6419  -0.0085   0.4109   0.0000  32.9743   0.3100       ML
      116   0.7171   0.9295   0.7059  -0.0598   0.3471   0.0000  18.4179   0.3550       ML
      117   0.7256   0.8628   0.5325  -0.0243   0.2771   0.0000  -7.3820   0.3360       ML
      118   0.6068   0.9443   0.5210   0.0010   0.2989   0.0000  21.1021   0.2990       ML
      119   0.5613   0.9144   0.6387  -0.0209   0.3076   0.0000  22.9189   0.3090       ML
      120   0.8430   1.1203   0.5018  -0.2132   0.1882   0.0000  -9.1670   0.2810       ML
      121   0.5176   0.6411   0.7547  -0.0504   0.8316   0.0000  48.4434   0.9060       ML
      122   0.8815   0.8703   0.7357  -0.1101   0.5467   0.0000   1.1320   0.4040       ML
      123   0.8757   1.0978   0.5121  -0.2686   0.4043   0.0000   6.1188   0.2720       ML
      124   0.5173   0.9989   0.5919   0.1830   0.5421   0.0000  39.5607   0.4760       ML
      126   0.8095   1.0553   0.4112  -0.1079   0.1741   0.0000 -17.8861   0.2350       ML
      127   0.5297   0.9161   0.5185   0.0309   0.2973   0.0000  21.1469   0.2120       ML
