  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      101   0.3096   1.0331   0.8824   0.5517   0.0737   0.3108   0.0000  28.9090   0.5180       ML
      102   0.6639   0.3085  -4.3638   0.9440  -0.0782   0.9406   0.0000  43.3452   2.0270       ML
      103   0.5910   1.1781   0.4297   0.5431  -0.0959   0.3582   0.0000  38.6295   0.4500       ML
      104   0.2097   2.6412   3.6643   0.6330   0.7235   0.0182   0.0000 -14.3162   0.5880       ML
      105   0.2843   1.1358   1.8483   0.5011   0.2157   0.3340   0.0000  24.6376   0.5840       ML
      106   0.4754   1.1977   1.9588   0.6254   0.1939   0.2389   0.0000  -1.6235   0.4060       ML
      107   0.1986   0.8644   1.2398   0.7272   0.0976   0.5941   0.0000  35.9740   1.1200       ML
      108   0.9237   1.1833  -1.1836   0.5955  -0.3516   0.4178   0.0000   9.9630   1.3370       ML
      109   0.7266   0.9269  -0.7555   0.5838  -0.0699   0.6184   0.0000  40.8153   1.1220       ML
      110   0.7864   0.9820  -2.1899   0.5212  -0.1353   0.4195   0.0000  14.7536   0.9300       ML
      111   0.1887   1.1404   1.3749   0.6866   0.2068   0.3667   0.0000  28.3779   0.7110       ML
      112   0.4394   0.8979   0.1810   0.2523   0.0189   0.0509   0.0000  -1.4742   0.1420       ML
      113   0.5762   1.0154  -0.1330   0.6442  -0.0513   0.3567   0.0000  37.6677   0.6380       ML
      115   0.5644   0.9288  -0.0319   0.6415  -0.0118   0.4104   0.0000  32.9735   0.6890       ML
      116   0.6745   0.9137   0.2615   0.7097  -0.0388   0.3485   0.0000  18.3460   0.6980       ML
      117   0.4891   1.0247   1.6579   0.4627  -0.0081   0.1536   0.0000 -12.3783   0.4820       ML
      118   0.5472   0.8953   0.7197   0.5372   0.0240   0.2457   0.0000  18.3384   0.2690       ML
      119   0.6462   0.9385  -0.4402   0.6358  -0.0564   0.3033   0.0000  22.7310   0.6410       ML
      120   0.6614   1.1316   1.1781   0.4773  -0.1282   0.1011   0.0000 -11.7280   0.2820       ML
      121   0.7860   0.7482  -1.9038   0.7443  -0.1193   0.8238   0.0000  47.9731   2.5510       ML
      122   0.8906   0.7440   0.0617   0.7752  -0.0273   0.5584   0.0000   1.5702   1.3020       ML
      123   0.8236   0.9980   0.2409   0.5343  -0.1918   0.4068   0.0000   6.8135   0.8730       ML
      124   0.2331   1.1019   1.7695   0.6245   0.3408   0.5307   0.0000  33.8372   1.4780       ML
      126   0.2797   1.3301   3.0005   0.4086   0.1735   0.0000   0.0000 -24.4298   0.1020       ML
      127   0.3752   0.9900   0.7251   0.5002   0.0524   0.1680   0.0000  14.8510   0.6050       ML
