124	0	2	1	1	2	8.0252	144	140	52	48	0	0	2	1	727.73	0.19	0.26
124	0	2	1	1	4	14.015	133	111	15	9	0	0	1	1	721.6	0.72	0.76
124	0	2	1	1	6	21.023	129	107	13	11	0	0	1	1	817.78	0.74	0.75
124	0	2	1	1	8	34.021	138	143	54	50	1	0	2	0	787.89	0.17	0.22
124	0	2	1	1	10	42.03	152	111	18	9	0	0	1	1	818.88	0.67	0.76
124	0	2	1	1	12	51.023	129	101	13	14	0	0	1	1	913.47	0.74	0.72
124	0	2	1	1	14	58.031	127	113	56	5	0	0	4	1	849.59	0.15	0.83
124	0	2	1	1	16	70.028	140	139	48	53	1	0	2	0	652.77	0.26	0.19
124	0	2	1	1	18	82.025	156	160	45	46	0	0	2	1	704.08	0.32	0.29
124	0	2	1	1	20	91.018	128	102	55	6	0	0	4	1	590.66	0.17	0.79
124	0	2	1	1	22	99.027	138	144	54	52	1	0	2	0	573.7	0.17	0.19
124	0	2	1	1	24	111.02	107	106	11	10	1	1	1	1	944.85	0.75	0.76
124	0	2	1	1	26	121.02	116	123	7	16	0	0	1	1	918.36	0.78	0.71
124	0	2	1	1	28	128.03	101	106	14	10	1	0	1	0	670.45	0.72	0.76
124	0	2	1	1	30	136.02	115	158	49	47	1	0	2	0	918.15	0.24	0.28
124	0	2	1	1	32	143.03	152	153	18	17	0	1	1	0	1038.3	0.67	0.69
124	0	2	1	1	34	151.02	123	152	16	18	1	1	1	1	574.05	0.71	0.67
124	0	2	1	1	36	168.02	101	112	14	12	1	1	1	1	1003.7	0.72	0.74
124	0	2	1	1	38	179.02	160	143	46	50	1	1	2	1	767.92	0.29	0.22
124	0	2	1	2	2	8.0091	116	107	7	11	0	0	1	1	847.88	0.78	0.75
124	0	2	1	2	4	14.016	136	116	8	7	1	1	1	1	1041.3	0.77	0.78
124	0	2	1	2	6	21.023	136	106	8	10	1	0	1	0	857.49	0.77	0.76
124	0	2	1	2	8	34.021	101	116	14	7	1	1	1	1	939.61	0.72	0.78
124	0	2	1	2	10	42.014	159	144	43	52	1	0	2	0	851.35	0.33	0.19
124	0	2	1	2	12	51.024	139	159	53	43	0	1	2	0	905.21	0.19	0.33
124	0	2	1	2	14	58.015	129	123	13	16	0	0	1	1	801.94	0.74	0.71
124	0	2	1	2	16	70.012	115	139	49	53	1	0	2	0	821.23	0.24	0.19
124	0	2	1	2	18	82.008	133	101	15	14	0	1	1	0	992.78	0.72	0.72
124	0	2	1	2	20	91.019	157	122	51	44	1	0	2	0	822.41	0.22	0.32
124	0	2	1	2	22	99.011	107	152	11	18	1	0	1	0	870.08	0.75	0.67
124	0	2	1	2	24	111.01	156	115	45	49	0	1	2	0	950.75	0.32	0.24
124	0	2	1	2	26	121.02	159	122	43	44	1	0	2	0	942.01	0.33	0.32
124	0	2	1	2	28	128.01	129	111	13	9	0	1	1	0	1022.9	0.74	0.76
124	0	2	1	2	30	136.02	156	138	45	54	0	1	2	0	845.86	0.32	0.17
124	0	2	1	2	32	143.01	138	122	54	44	1	0	2	0	774.7	0.17	0.32
124	0	2	1	2	34	151.02	160	144	46	52	1	1	2	1	1029.8	0.29	0.19
124	0	2	1	2	36	168.02	138	139	54	53	1	0	2	0	1435.3	0.17	0.19
124	0	2	1	2	38	179.02	107	112	11	12	1	1	1	1	759.76	0.75	0.74
124	0	2	2	1	2	8.0256	122	159	44	43	0	1	2	0	968	0.32	0.33
124	0	2	2	1	4	14.015	112	111	12	9	0	0	1	1	658.31	0.74	0.76
124	0	2	2	1	6	21.024	111	129	9	13	1	1	1	1	602.04	0.76	0.74
124	0	2	2	1	8	34.021	159	143	43	50	1	0	2	0	684.18	0.33	0.22
124	0	2	2	1	10	42.03	152	111	18	9	0	999	1	999	9.99e+05	0.67	0.76
124	0	2	2	1	12	51.024	106	136	10	8	0	1	1	0	609.77	0.76	0.77
124	0	2	2	1	14	58.032	106	107	10	11	0	0	1	1	794	0.76	0.75
124	0	2	2	1	16	70.028	138	143	54	50	1	0	2	0	717.17	0.17	0.22
124	0	2	2	1	18	82.025	127	113	56	5	0	0	4	1	512.38	0.15	0.83
124	0	2	2	1	20	91.019	116	153	7	17	0	0	1	1	911.03	0.78	0.69
124	0	2	2	1	22	99.028	115	122	49	44	1	0	2	0	773.97	0.24	0.32
124	0	2	2	1	24	111.02	133	107	15	11	0	0	1	1	761.23	0.72	0.75
124	0	2	2	1	26	121.02	123	129	16	13	1	0	1	0	1222.7	0.71	0.74
124	0	2	2	1	28	128.03	111	116	9	7	1	1	1	1	542.8	0.76	0.78
124	0	2	2	1	30	136.02	153	129	17	13	1	1	1	1	574.49	0.69	0.74
124	0	2	2	1	32	143.03	156	140	45	48	0	0	2	1	582.7	0.32	0.26
124	0	2	2	1	34	151.02	101	133	14	15	1	1	1	1	694.46	0.72	0.72
124	0	2	2	1	36	168.02	115	139	49	53	1	0	2	0	988.07	0.24	0.19
124	0	2	2	1	38	179.02	138	144	54	52	1	0	2	0	784.29	0.17	0.19
124	0	2	2	2	2	5.0223	111	106	9	10	1	1	1	1	895.8	0.76	0.76
124	0	2	2	2	4	15.033	144	157	52	51	0	0	2	1	692.66	0.19	0.22
124	0	2	2	2	6	26.029	133	136	15	8	0	1	1	0	1009	0.72	0.77
124	0	2	2	2	8	35.023	122	140	44	48	0	1	2	0	623.6	0.32	0.26
124	0	2	2	2	10	44.033	160	143	46	50	1	1	2	1	989.47	0.29	0.22
124	0	2	2	2	12	51.024	152	136	18	8	0	1	1	0	734.24	0.67	0.77
