  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.3572   1.0584   0.4667   0.5750   0.0469   0.6052   0.0000   0.3010   0.0000  65.0068 100.0780       ML
      102   0.4276   0.8392  -0.5829   0.7966   0.0224   0.8552   0.7364   0.7607   0.0000  93.0190 329.8110       ML
      103   0.5164   1.1567   0.7432   0.6100   0.0159   0.4934   0.0000   0.3656   0.0000  77.5404 133.5510       ML
      104   0.6869   1.4679   1.9526   0.6901   0.1186   0.5948   0.0637   0.2130   0.0000 -25.8596  54.3290       ML
      105   0.4920   0.9497   0.9771   0.5448   0.0287   0.5710   1.1586   0.4396   0.0000  55.1669 208.3440       ML
      106   0.6729   0.9478   1.2090   0.7365   0.1368   0.6543   0.9080   0.4070   0.0000  12.1737 149.1040       ML
      107   0.4745   1.0777  -0.4016   0.5781  -0.0122   0.1599   0.6106   0.3223   0.0000  72.4108 193.9450       ML
      108   0.6097   1.0352   0.4347   0.5724  -0.0389   0.3794   0.5196   0.4000   0.0000  43.6487 214.4560       ML
      109   0.4762   1.2350   0.0830   0.4327   0.0028   0.0051   1.2275   0.3175   0.0000  81.3114  72.7190       ML
      110   0.6599   0.8940  -1.1170   0.5089  -0.0277   0.2432   0.4009   0.3344   0.0000  23.9623 182.0460       ML
      111   0.1709   1.2354   1.3355   0.6682   0.2704   0.2127   0.0000   0.4277   0.0000  69.7923  83.7150       ML
      112   0.5346   0.8651  -0.0778   0.3117  -0.0446   0.8307   0.0001   0.1302   0.0000  -0.6327 153.9090       ML
      113   0.5115   1.0800   0.2478   0.5841  -0.0247   0.0395   0.0005   0.3061   0.0000  73.2913  55.9740       ML
      115   0.5961   1.0614  -0.1294   0.6113  -0.0170   0.3895   0.2146   0.3021   0.0000  71.5543 120.2010       ML
      116   0.6415   0.9165   0.7758   0.7258   0.0160   0.7169   0.2210   0.3961   0.0000  26.9724 175.9980       ML
      117   0.4728   0.9814   1.8611   0.4626  -0.0375   0.0526   0.1753   0.2180   0.0000 -22.6491  78.2350       ML
      118   0.3934   1.0281   1.4315   0.5351   0.0847   0.3317   0.8653   0.2614   0.0000  31.8800  98.1880       ML
      119   0.6034   0.9295  -0.4220   0.7165  -0.0182   0.6901   0.0001   0.4396   0.0000  65.9741 163.4260       ML
      120   0.3613   1.2846   2.5248   0.4888   0.1094   0.0765   0.5176   0.2324   0.0000 -14.5515  34.8580       ML
      121   0.5575   0.7626   0.0168   0.7051  -0.0216   0.8850   0.0397   0.7402   0.0000  83.5391 252.3060       ML
      122   0.6372   0.9958   2.9988   0.7101  -0.0263   0.7255   2.5230   0.4717   0.0000   6.8766 122.5490       ML
      123   0.6476   1.0500   1.3668   0.5511  -0.0964   0.7047   0.0344   0.3954   0.0000  11.7457 144.8610       ML
      124   0.2244   1.2189   1.4140   0.5965   0.2590   0.0797   0.6677   0.3890   0.0000  50.3970  63.1070       ML
      126   0.5121   1.0704   1.8756   0.4083  -0.0004   0.0150   0.0004   0.1054   0.0000 -38.9662  28.2870       ML
      127   0.3941   1.0083   1.0706   0.5298   0.0776   0.6276   0.7231   0.2236   0.0000  34.6382 245.9790       ML
