  dataset        a       t0        d      st0  penalty      fit     time   method
      101   0.9811   0.5483  -0.0104   0.3133   0.0000  30.0648   0.2310       ML
      102   0.2816   0.9545  -0.0641   0.9411   0.0000  44.2937   0.4090       ML
      103   1.1490   0.5435  -0.0426   0.3528   0.0000  44.5742   0.2200       ML
      104   0.9703   0.7491   0.2962   0.2916   0.0000  28.9444   0.2340       ML
      105   0.9318   0.5157   0.0895   0.3713   0.0000  31.5867   0.2590       ML
      106   0.9738   0.6425   0.1811   0.2490   0.0000  24.2422   0.2320       ML
      107   0.7127   0.7553  -0.0313   0.6385   0.0000  38.2179   0.2690       ML
      108   0.8563   0.5997  -0.1203   0.4521   0.0000  29.4120   0.2940       ML
      109   0.9071   0.5730   0.0138   0.5864   0.0000  41.9923   0.3930       ML
      110   0.8172   0.5195  -0.0464   0.4101   0.0000  17.9402   0.2820       ML
      111   0.9153   0.7129   0.0374   0.4138   0.0000  30.8663   0.2620       ML
      112   0.8972   0.2508   0.0015   0.0381   0.0000  -1.2201   0.0660       ML
      113   1.0143   0.6422  -0.0112   0.3562   0.0000  37.9843   0.1690       ML
      115   0.9474   0.6298   0.0181   0.3873   0.0000  33.4768   0.1970       ML
      116   0.8667   0.7225   0.0431   0.3566   0.0000  26.3625   0.1630       ML
      117   0.9042   0.4693  -0.0264   0.1486   0.0000   3.4103   0.3200       ML
      118   0.9583   0.5097   0.0439   0.2552   0.0000  22.8028   0.2090       ML
      119   0.9054   0.6407   0.0043   0.3159   0.0000  23.4977   0.2130       ML
      120   1.0078   0.4671  -0.0702   0.0005   0.0000  14.7857   0.0570       ML
      121   0.6415   0.7544  -0.0457   0.8320   0.0000  48.4903   0.4260       ML
      122   0.6206   0.7777   0.0506   0.5630   0.0000  25.9913   0.3120       ML
      123   0.9105   0.5258  -0.0249   0.3326   0.0000  28.4070   0.2060       ML
      124   1.0009   0.5921   0.1916   0.5374   0.0000  39.6084   0.5150       ML
      126   0.8718   0.4370   0.0319   0.1376   0.0000   3.5421   0.1420       ML
      127   0.8396   0.5468   0.0481   0.2652   0.0000  17.6983   0.2490       ML
