StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 4.712416e-01	 4.716459e-01	 4.687283e-01	 37	 37	 37	 5	 5	 10	 0
2	 2.123524e-01	 2.129224e-01	 2.096762e-01	 54	 54	 54	 1	 9	 10	 0
3	 8.247996e-02	 5.521256e-02	 7.144693e-02	 60	 60	 60	 0	 9	 9	 1
4	 6.487320e-01	 6.511531e-01	 6.439931e-01	 17	 17	 17	 7	 3	 10	 0
5	 3.819194e-01	 3.819272e-01	 3.797500e-01	 43	 44	 43	 3	 7	 10	 0
6	 2.033195e-01	 2.041981e-01	 2.002959e-01	 55	 55	 55	 1	 9	 10	 0
7	 5.057889e-01	 5.058058e-01	 5.033534e-01	 33	 33	 33	 6	 4	 10	 0
8	 5.087478e-01	 5.081740e-01	 5.069378e-01	 31	 32	 31	 5	 5	 10	 0
9	 6.393907e-01	 6.390851e-01	 6.370726e-01	 19	 20	 19	 7	 3	 10	 0
10	 7.773961e-01	 7.801974e-01	 7.725711e-01	 3	 3	 3	 9	 1	 10	 0
11	 6.372050e-01	 6.396940e-01	 6.325611e-01	 20	 19	 20	 6	 4	 10	 0
12	 2.657355e-01	 2.655553e-01	 2.635396e-01	 52	 52	 52	 1	 9	 10	 0
13	 5.320894e-01	 5.299869e-01	 5.289749e-01	 30	 30	 30	 6	 4	 10	 0
14	 4.779949e-01	 4.779227e-01	 4.759515e-01	 36	 36	 36	 4	 6	 10	 0
15	 5.461637e-01	 5.440238e-01	 5.432718e-01	 27	 27	 27	 6	 4	 10	 0
16	 2.878431e-01	 2.875838e-01	 2.859441e-01	 51	 51	 51	 2	 8	 10	 0
17	 2.910656e-01	 2.907553e-01	 2.885764e-01	 50	 50	 50	 3	 7	 10	 0
18	 3.153389e-01	 3.182447e-01	 3.101070e-01	 47	 47	 47	 3	 7	 10	 0
19	 9.587670e-02	 9.790178e-02	 9.126943e-02	 59	 59	 59	 0	 10	 10	 0
20	 2.928949e-01	 2.930104e-01	 2.904328e-01	 49	 49	 49	 3	 7	 10	 0
21	 3.647503e-01	 3.921599e-01	 3.324548e-01	 44	 42	 45	 3	 6	 9	 1
22	 3.509927e-01	 3.492233e-01	 3.477491e-01	 45	 45	 44	 4	 6	 10	 0
23	 1.632474e-01	 1.626930e-01	 1.614315e-01	 57	 57	 57	 0	 10	 10	 0
24	 6.268843e-01	 6.271828e-01	 6.245899e-01	 21	 21	 21	 6	 4	 10	 0
25	 6.172823e-01	 6.176153e-01	 6.149401e-01	 22	 22	 22	 6	 4	 10	 0
26	 1.571508e-01	 1.570408e-01	 1.550942e-01	 58	 58	 58	 0	 10	 10	 0
27	 4.951038e-01	 4.950908e-01	 4.930505e-01	 34	 34	 34	 4	 6	 10	 0
28	 3.110159e-01	 3.108399e-01	 3.084611e-01	 48	 48	 48	 3	 7	 10	 0
29	 5.360978e-01	 5.381223e-01	 5.312163e-01	 29	 28	 29	 6	 4	 10	 0
30	 4.829029e-01	 4.806912e-01	 4.798633e-01	 35	 35	 35	 6	 4	 10	 0
31	 5.828501e-01	 5.805373e-01	 5.799007e-01	 24	 24	 24	 6	 4	 10	 0
32	 7.848028e-01	 7.850032e-01	 7.828239e-01	 2	 2	 2	 8	 2	 10	 0
33	 7.507562e-01	 7.506362e-01	 7.487754e-01	 4	 4	 4	 9	 1	 10	 0
34	 4.553407e-01	 4.550061e-01	 4.532316e-01	 38	 38	 38	 4	 6	 10	 0
35	 4.409281e-01	 4.409093e-01	 4.391289e-01	 39	 39	 39	 4	 6	 10	 0
36	 7.065605e-01	 7.067460e-01	 7.045733e-01	 10	 9	 10	 7	 3	 10	 0
37	 2.606811e-01	 2.606247e-01	 2.586046e-01	 53	 53	 53	 1	 9	 10	 0
38	 6.621464e-01	 6.645603e-01	 6.573162e-01	 16	 16	 16	 7	 3	 10	 0
39	 7.031583e-01	 7.027922e-01	 7.013165e-01	 12	 12	 12	 7	 3	 10	 0
40	 6.404790e-01	 6.406677e-01	 6.380125e-01	 18	 18	 18	 6	 4	 10	 0
41	 6.936075e-01	 6.937724e-01	 6.912681e-01	 14	 14	 13	 7	 3	 10	 0
42	 1.915384e-01	 1.893491e-01	 1.887343e-01	 56	 56	 56	 1	 9	 10	 0
43	 7.206683e-01	 7.207920e-01	 7.183236e-01	 7	 7	 7	 8	 2	 10	 0
44	 3.241442e-01	 3.238810e-01	 3.217608e-01	 46	 46	 46	 3	 7	 10	 0
45	 8.076587e-01	 8.070240e-01	 8.058544e-01	 1	 1	 1	 9	 1	 10	 0
