StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 4.338213e-01	 4.354070e-01	 4.173367e-01	 34	 34	 35	 4	 6	 10	 0
2	 3.726352e-01	 3.721537e-01	 3.619927e-01	 41	 42	 41	 4	 6	 10	 0
3	 3.958126e-01	 3.961634e-01	 3.851483e-01	 39	 39	 39	 4	 6	 10	 0
4	 2.613319e-01	 2.624542e-01	 2.482382e-01	 49	 49	 50	 2	 8	 10	 0
5	 4.330954e-01	 4.331031e-01	 4.230394e-01	 35	 35	 34	 5	 5	 10	 0
6	 8.906402e-02	 8.927987e-02	 7.868622e-02	 60	 60	 59	 0	 10	 10	 0
7	 8.911780e-02	 8.929365e-02	 7.854911e-02	 59	 59	 60	 0	 10	 10	 0
8	 1.771147e-01	 1.770168e-01	 1.677085e-01	 56	 56	 56	 3	 7	 10	 0
9	 2.543045e-01	 2.433234e-01	 2.224740e-01	 51	 51	 52	 0	 9	 9	 1
10	 3.232365e-01	 3.230424e-01	 3.107335e-01	 46	 46	 46	 3	 7	 10	 0
11	 5.971823e-01	 5.967762e-01	 5.864904e-01	 22	 22	 22	 6	 4	 10	 0
12	 4.816365e-01	 4.816579e-01	 4.707223e-01	 31	 31	 31	 5	 5	 10	 0
13	 2.683633e-01	 2.684434e-01	 2.582432e-01	 48	 48	 47	 3	 7	 10	 0
14	 4.277992e-01	 4.261594e-01	 4.129232e-01	 36	 36	 36	 4	 6	 10	 0
15	 4.200408e-01	 4.202245e-01	 4.105819e-01	 37	 37	 37	 4	 6	 10	 0
16	 3.668109e-01	 3.777239e-01	 3.262863e-01	 42	 41	 43	 3	 6	 9	 1
17	 2.291915e-01	 2.302248e-01	 2.163548e-01	 54	 54	 54	 2	 8	 10	 0
18	 4.919310e-01	 4.918897e-01	 4.714722e-01	 28	 28	 30	 4	 6	 10	 0
19	 3.256197e-01	 3.253920e-01	 3.138997e-01	 45	 45	 45	 1	 9	 10	 0
20	 3.266817e-01	 3.264924e-01	 3.170478e-01	 44	 44	 44	 3	 7	 10	 0
21	 1.573259e-01	 1.588548e-01	 1.396909e-01	 58	 58	 58	 1	 9	 10	 0
22	 6.869132e-01	 6.855132e-01	 6.715374e-01	 15	 15	 15	 7	 3	 10	 0
23	 3.636446e-01	 3.626658e-01	 3.455331e-01	 43	 43	 42	 3	 7	 10	 0
24	 1.765115e-01	 1.766115e-01	 1.655411e-01	 57	 57	 57	 2	 8	 10	 0
25	 2.378007e-01	 2.395176e-01	 2.216140e-01	 53	 52	 53	 2	 8	 10	 0
26	 4.178699e-01	 4.164484e-01	 4.022763e-01	 38	 38	 38	 3	 7	 10	 0
27	 4.886179e-01	 4.885376e-01	 4.775936e-01	 29	 29	 28	 4	 6	 10	 0
28	 5.654627e-01	 5.672181e-01	 5.483476e-01	 24	 24	 24	 6	 4	 10	 0
29	 2.597261e-01	 2.602428e-01	 2.488440e-01	 50	 50	 49	 2	 8	 10	 0
30	 7.634116e-01	 7.614369e-01	 7.479918e-01	 11	 11	 11	 8	 2	 10	 0
31	 5.282962e-01	 5.277966e-01	 5.166156e-01	 26	 26	 26	 6	 4	 10	 0
32	 8.510098e-01	 8.510523e-01	 8.398051e-01	 5	 5	 4	 9	 1	 10	 0
33	 6.443249e-01	 6.435771e-01	 6.304834e-01	 19	 19	 17	 6	 4	 10	 0
34	 6.474212e-01	 6.499442e-01	 6.292994e-01	 18	 17	 18	 6	 4	 10	 0
35	 4.845354e-01	 4.854720e-01	 4.720296e-01	 30	 30	 29	 4	 6	 10	 0
36	 4.573125e-01	 4.588905e-01	 4.406742e-01	 33	 33	 33	 4	 6	 10	 0
37	 1.938318e-01	 1.948142e-01	 1.820143e-01	 55	 55	 55	 2	 8	 10	 0
38	 7.410586e-01	 7.388834e-01	 7.249208e-01	 13	 13	 13	 7	 3	 10	 0
39	 6.296190e-01	 6.288957e-01	 6.167752e-01	 20	 20	 19	 7	 3	 10	 0
40	 9.028837e-01	 9.000784e-01	 8.859237e-01	 1	 1	 1	 10	 0	 10	 0
41	 8.845627e-01	 8.850042e-01	 8.736242e-01	 2	 2	 2	 10	 0	 10	 0
42	 7.539185e-01	 7.529132e-01	 7.422378e-01	 12	 12	 12	 9	 1	 10	 0
43	 8.838049e-01	 8.837680e-01	 8.689047e-01	 3	 3	 3	 10	 0	 10	 0
44	 5.772674e-01	 5.774132e-01	 5.649840e-01	 23	 23	 23	 6	 4	 10	 0
45	 7.840499e-01	 7.850023e-01	 7.709930e-01	 9	 9	 8	 8	 2	 10	 0
46	 7.827628e-01	 7.840381e-01	 7.669056e-01	 10	 10	 10	 9	 1	 10	 0
47	 8.515491e-01	 8.507499e-01	 8.395622e-01	 4	 6	 5	 9	 1	 10	 0
48	 6.024982e-01	 6.021229e-01	 5.920354e-01	 21	 21	 21	 6	 4	 10	 0
49	 7.232202e-01	 7.231590e-01	 7.126337e-01	 14	 14	 14	 8	 2	 10	 0
50	 6.633711e-01	 6.451095e-01	 5.945292e-01	 16	 18	 20	 5	 4	 9	 1
51	 7.996153e-01	 8.006170e-01	 7.858802e-01	 8	 8	 7	 10	 0	 10	 0
52	 8.504788e-01	 8.687087e-01	 7.678199e-01	 6	 4	 9	 9	 0	 9	 1
53	 6.530803e-01	 6.528745e-01	 6.423810e-01	 17	 16	 16	 6	 4	 10	 0
54	 2.382876e-01	 2.384577e-01	 2.274301e-01	 52	 53	 51	 3	 7	 10	 0
55	 2.685363e-01	 2.700356e-01	 2.517888e-01	 47	 47	 48	 2	 8	 10	 0
56	 4.677661e-01	 4.668011e-01	 4.551914e-01	 32	 32	 32	 5	 5	 10	 0
57	 5.226805e-01	 5.219774e-01	 5.101816e-01	 27	 27	 27	 5	 5	 10	 0
58	 5.292981e-01	 5.292339e-01	 5.179570e-01	 25	 25	 25	 6	 4	 10	 0
59	 3.864220e-01	 3.862120e-01	 3.754844e-01	 40	 40	 40	 4	 6	 10	 0
60	 8.144622e-01	 8.131291e-01	 7.984814e-01	 7	 7	 6	 9	 1	 10	 0
