StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 5.422125e-01	 5.424435e-01	 5.142155e-01	 28	 28	 26	 4	 6	 10	 0
2	 3.964320e-01	 3.973840e-01	 3.739463e-01	 37	 37	 37	 3	 7	 10	 0
3	 3.202703e-01	 3.234755e-01	 2.890848e-01	 46	 46	 46	 2	 8	 10	 0
4	 4.788814e-01	 4.781551e-01	 4.534950e-01	 33	 32	 31	 5	 5	 10	 0
5	 6.962648e-01	 6.950275e-01	 6.623810e-01	 14	 14	 14	 7	 3	 10	 0
6	 2.513248e-01	 2.554911e-01	 2.179620e-01	 50	 50	 50	 0	 10	 10	 0
7	 5.094674e-01	 5.210173e-01	 4.455412e-01	 30	 30	 32	 4	 5	 9	 1
8	 2.458128e-01	 2.464889e-01	 2.139963e-01	 51	 51	 52	 2	 8	 10	 0
9	 5.698234e-01	 5.823076e-01	 5.019852e-01	 24	 22	 28	 6	 3	 9	 1
10	 3.536004e-01	 3.537023e-01	 3.320891e-01	 43	 43	 41	 4	 6	 10	 0
11	 4.408022e-01	 4.278788e-01	 3.831611e-01	 34	 34	 36	 4	 5	 9	 1
12	 2.810890e-01	 2.831730e-01	 2.448496e-01	 48	 48	 48	 2	 8	 10	 0
13	 1.289038e-01	 1.271675e-01	 1.050468e-01	 58	 58	 58	 1	 9	 10	 0
14	 3.484692e-01	 3.485556e-01	 3.286731e-01	 44	 44	 43	 3	 7	 10	 0
15	 3.939928e-01	 3.918275e-01	 3.713507e-01	 38	 38	 38	 4	 6	 10	 0
16	 8.126742e-02	 8.324795e-02	 4.717808e-02	 60	 60	 60	 0	 10	 10	 0
17	 1.579135e-01	 1.560541e-01	 1.279929e-01	 57	 57	 57	 1	 9	 10	 0
18	 3.603877e-01	 3.593280e-01	 3.357064e-01	 41	 41	 40	 4	 6	 10	 0
19	 5.472557e-01	 5.484616e-01	 5.135296e-01	 27	 27	 27	 6	 4	 10	 0
20	 5.521125e-01	 5.519260e-01	 5.314032e-01	 26	 26	 25	 5	 5	 10	 0
21	 2.080201e-01	 2.071779e-01	 1.859390e-01	 53	 53	 53	 2	 8	 10	 0
22	 5.774168e-01	 5.817604e-01	 5.440556e-01	 23	 23	 24	 6	 4	 10	 0
23	 1.935457e-01	 1.928105e-01	 1.746695e-01	 54	 54	 54	 2	 8	 10	 0
24	 6.087071e-01	 6.101284e-01	 5.848385e-01	 21	 21	 20	 7	 3	 10	 0
25	 7.862331e-01	 7.874172e-01	 7.626347e-01	 7	 7	 7	 9	 1	 10	 0
26	 9.388768e-02	 9.364761e-02	 7.236854e-02	 59	 59	 59	 1	 9	 10	 0
27	 2.428563e-01	 2.403419e-01	 2.177129e-01	 52	 52	 51	 2	 8	 10	 0
28	 5.840433e-01	 5.807939e-01	 5.549421e-01	 22	 24	 22	 6	 4	 10	 0
29	 2.601524e-01	 2.599429e-01	 2.404502e-01	 49	 49	 49	 2	 8	 10	 0
30	 3.905673e-01	 3.893598e-01	 3.633056e-01	 39	 39	 39	 4	 6	 10	 0
31	 6.930944e-01	 6.900508e-01	 6.647969e-01	 15	 15	 13	 7	 3	 10	 0
32	 8.573219e-01	 8.573770e-01	 8.345134e-01	 4	 4	 4	 10	 0	 10	 0
33	 5.046392e-01	 5.047789e-01	 4.832503e-01	 31	 31	 30	 6	 4	 10	 0
34	 4.963813e-01	 4.729163e-01	 4.268613e-01	 32	 33	 33	 4	 5	 9	 1
35	 3.851200e-01	 3.734165e-01	 3.288517e-01	 40	 40	 42	 2	 7	 9	 1
36	 8.285330e-01	 8.279919e-01	 7.948361e-01	 5	 5	 5	 8	 2	 10	 0
37	 1.887398e-01	 1.885728e-01	 1.674810e-01	 55	 55	 55	 1	 9	 10	 0
38	 3.582404e-01	 3.552317e-01	 3.225563e-01	 42	 42	 44	 3	 7	 10	 0
39	 8.726439e-01	 8.740075e-01	 8.475738e-01	 3	 3	 3	 9	 1	 10	 0
40	 3.304917e-01	 3.314420e-01	 3.053613e-01	 45	 45	 45	 2	 8	 10	 0
41	 4.096821e-01	 4.099869e-01	 3.889292e-01	 36	 36	 35	 3	 7	 10	 0
42	 7.780846e-01	 7.789455e-01	 7.540918e-01	 8	 8	 8	 9	 1	 10	 0
43	 6.547630e-01	 6.569247e-01	 6.197257e-01	 19	 19	 18	 6	 4	 10	 0
44	 5.212552e-01	 5.215393e-01	 4.979378e-01	 29	 29	 29	 5	 5	 10	 0
45	 9.334045e-01	 9.335466e-01	 9.056977e-01	 2	 2	 2	 10	 0	 10	 0
46	 6.385107e-01	 6.288969e-01	 5.570254e-01	 20	 20	 21	 6	 3	 9	 1
47	 4.244658e-01	 4.254461e-01	 3.987169e-01	 35	 35	 34	 4	 6	 10	 0
48	 7.372752e-01	 7.731937e-01	 6.014668e-01	 11	 9	 19	 7	 1	 8	 2
49	 6.657355e-01	 6.650136e-01	 6.418641e-01	 17	 17	 16	 8	 2	 10	 0
