StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 3.553850e-01	 3.553850e-01	 3.553850e-01	 44	 44	 44	 4	 6	 10	 0
2	 1.439116e-01	 1.439116e-01	 1.439116e-01	 56	 56	 56	 1	 9	 10	 0
3	 6.152140e-01	 6.152140e-01	 6.152140e-01	 21	 21	 21	 5	 5	 10	 0
4	 4.948404e-01	 4.948404e-01	 4.948404e-01	 33	 33	 33	 5	 5	 10	 0
5	 2.275100e-01	 2.275100e-01	 2.275100e-01	 51	 51	 51	 1	 9	 10	 0
6	 2.188770e-01	 2.188770e-01	 2.188770e-01	 52	 52	 52	 2	 8	 10	 0
7	 9.335318e-01	 9.335318e-01	 9.335318e-01	 1	 1	 1	 10	 0	 10	 0
8	 1.385908e-01	 1.385908e-01	 1.385908e-01	 57	 57	 57	 0	 10	 10	 0
9	 7.280344e-01	 7.280344e-01	 7.280344e-01	 9	 9	 9	 8	 2	 10	 0
10	 8.825760e-01	 8.825760e-01	 8.825760e-01	 3	 3	 3	 8	 2	 10	 0
11	 8.468058e-01	 8.468058e-01	 8.468058e-01	 4	 4	 4	 9	 1	 10	 0
12	 1.057654e-01	 1.057654e-01	 1.057654e-01	 59	 59	 59	 1	 9	 10	 0
13	 8.328904e-01	 8.328904e-01	 8.328904e-01	 5	 5	 5	 9	 1	 10	 0
14	 3.808746e-01	 3.808746e-01	 3.808746e-01	 42	 42	 42	 4	 6	 10	 0
15	 6.790735e-01	 6.790735e-01	 6.790735e-01	 14	 14	 14	 8	 2	 10	 0
16	 1.154705e-01	 1.154705e-01	 1.154705e-01	 58	 58	 58	 0	 10	 10	 0
17	 1.677583e-01	 1.677583e-01	 1.677583e-01	 54	 54	 54	 0	 10	 10	 0
18	 6.300209e-01	 6.300209e-01	 6.300209e-01	 18	 18	 18	 6	 4	 10	 0
19	 7.014410e-01	 7.014410e-01	 7.014410e-01	 11	 11	 11	 8	 2	 10	 0
20	 9.127901e-01	 9.127901e-01	 9.127901e-01	 2	 2	 2	 10	 0	 10	 0
21	 4.387490e-01	 4.387490e-01	 4.387490e-01	 38	 38	 38	 3	 7	 10	 0
22	 5.380120e-01	 5.380120e-01	 5.380120e-01	 28	 28	 28	 6	 4	 10	 0
23	 9.311526e-03	 9.311526e-03	 9.311526e-03	 60	 60	 60	 0	 10	 10	 0
24	 7.761809e-01	 7.761809e-01	 7.761809e-01	 7	 7	 7	 9	 1	 10	 0
25	 2.181145e-01	 2.181145e-01	 2.181145e-01	 53	 53	 53	 2	 8	 10	 0
26	 3.194156e-01	 3.194156e-01	 3.194156e-01	 46	 46	 46	 2	 8	 10	 0
27	 6.430827e-01	 6.430827e-01	 6.430827e-01	 17	 17	 17	 7	 3	 10	 0
28	 7.247049e-01	 7.247049e-01	 7.247049e-01	 10	 10	 10	 9	 1	 10	 0
29	 3.058959e-01	 3.058959e-01	 3.058959e-01	 47	 47	 47	 3	 7	 10	 0
30	 4.708769e-01	 4.708769e-01	 4.708769e-01	 34	 34	 34	 4	 6	 10	 0
31	 6.186191e-01	 6.186191e-01	 6.186191e-01	 20	 20	 20	 6	 4	 10	 0
32	 6.465469e-01	 6.465469e-01	 6.465469e-01	 16	 16	 16	 7	 3	 10	 0
33	 4.233980e-01	 4.233980e-01	 4.233980e-01	 39	 39	 39	 5	 5	 10	 0
34	 5.201924e-01	 5.201924e-01	 5.201924e-01	 30	 30	 30	 5	 5	 10	 0
35	 1.670515e-01	 1.670515e-01	 1.670515e-01	 55	 55	 55	 0	 10	 10	 0
36	 6.226887e-01	 6.226887e-01	 6.226887e-01	 19	 19	 19	 7	 3	 10	 0
37	 5.287049e-01	 5.287049e-01	 5.287049e-01	 29	 29	 29	 6	 4	 10	 0
38	 3.705622e-01	 3.705622e-01	 3.705622e-01	 43	 43	 43	 3	 7	 10	 0
39	 2.532365e-01	 2.532365e-01	 2.532365e-01	 50	 50	 50	 3	 7	 10	 0
40	 6.145674e-01	 6.145674e-01	 6.145674e-01	 22	 22	 22	 6	 4	 10	 0
41	 6.825951e-01	 6.825951e-01	 6.825951e-01	 13	 13	 13	 7	 3	 10	 0
42	 4.587920e-01	 4.587920e-01	 4.587920e-01	 35	 35	 35	 4	 6	 10	 0
43	 3.004227e-01	 3.004227e-01	 3.004227e-01	 48	 48	 48	 3	 7	 10	 0
