StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 6.094262e-01	 6.097422e-01	 5.829787e-01	 20	 20	 19	 6	 4	 10	 0
2	 4.612317e-01	 4.613034e-01	 4.344594e-01	 32	 32	 32	 4	 6	 10	 0
3	 3.489926e-01	 3.486535e-01	 3.179426e-01	 43	 43	 42	 2	 8	 10	 0
4	 3.335462e-01	 3.328800e-01	 3.024186e-01	 44	 44	 44	 3	 7	 10	 0
5	 4.767368e-01	 4.773100e-01	 4.530235e-01	 31	 31	 31	 5	 5	 10	 0
6	 1.189343e-01	 1.208864e-01	 8.351144e-02	 58	 58	 58	 1	 9	 10	 0
7	 2.032582e-01	 2.031254e-01	 1.813451e-01	 54	 54	 53	 2	 8	 10	 0
8	 2.812114e-01	 2.810088e-01	 2.593850e-01	 50	 50	 49	 3	 7	 10	 0
9	 4.882194e-01	 4.879297e-01	 4.596056e-01	 29	 29	 29	 5	 5	 10	 0
10	 7.070827e-01	 7.067578e-01	 6.720741e-01	 12	 13	 12	 7	 3	 10	 0
11	 8.215878e-01	 8.201676e-01	 7.966032e-01	 5	 5	 5	 9	 1	 10	 0
12	 4.112818e-01	 4.336395e-01	 3.508878e-01	 38	 38	 41	 5	 4	 9	 1
13	 8.147117e-01	 8.145500e-01	 7.912699e-01	 6	 6	 6	 10	 0	 10	 0
14	 6.005707e-01	 5.997659e-01	 5.605377e-01	 21	 21	 22	 5	 5	 10	 0
15	 2.845094e-01	 2.864266e-01	 2.561623e-01	 49	 49	 50	 3	 7	 10	 0
16	 3.121723e-01	 3.104667e-01	 2.884193e-01	 46	 46	 46	 2	 8	 10	 0
17	 3.078774e-01	 3.095944e-01	 2.845220e-01	 47	 47	 47	 3	 7	 10	 0
18	 6.957599e-01	 7.012416e-01	 6.112805e-01	 14	 14	 17	 6	 3	 9	 1
19	 3.863523e-01	 3.865330e-01	 3.637577e-01	 41	 41	 40	 4	 6	 10	 0
20	 5.503346e-01	 5.545102e-01	 4.738341e-01	 25	 25	 26	 5	 4	 9	 1
21	 6.805709e-01	 6.828339e-01	 6.485491e-01	 17	 16	 15	 6	 4	 10	 0
22	 4.496379e-01	 4.483170e-01	 4.208585e-01	 34	 34	 34	 4	 6	 10	 0
23	 1.038945e-01	 1.034757e-01	 8.302511e-02	 59	 59	 59	 0	 10	 10	 0
24	 3.540539e-01	 3.563488e-01	 3.145666e-01	 42	 42	 43	 3	 7	 10	 0
25	 4.431942e-01	 4.409974e-01	 4.195662e-01	 35	 36	 35	 3	 7	 10	 0
26	 1.909371e-01	 1.709184e-01	 1.444411e-01	 55	 56	 55	 0	 9	 9	 1
27	 2.591328e-01	 2.653446e-01	 2.132071e-01	 51	 51	 51	 1	 8	 9	 1
28	 3.281728e-01	 3.282473e-01	 2.970949e-01	 45	 45	 45	 3	 7	 10	 0
29	 3.985365e-01	 3.969553e-01	 3.737076e-01	 40	 40	 38	 4	 6	 10	 0
30	 5.321309e-01	 5.287258e-01	 4.612758e-01	 26	 26	 28	 5	 4	 9	 1
31	 4.400636e-01	 4.390464e-01	 4.132893e-01	 37	 37	 37	 3	 7	 10	 0
32	 9.088173e-01	 9.086926e-01	 8.786449e-01	 2	 2	 2	 10	 0	 10	 0
33	 5.830454e-01	 5.830335e-01	 5.584485e-01	 23	 23	 23	 6	 4	 10	 0
34	 7.285062e-01	 7.268447e-01	 7.042673e-01	 11	 11	 11	 9	 1	 10	 0
35	 1.742423e-01	 1.773357e-01	 1.424333e-01	 56	 55	 56	 1	 9	 10	 0
36	 8.053584e-01	 8.049433e-01	 7.854200e-01	 7	 7	 7	 9	 1	 10	 0
37	 4.410004e-01	 4.412259e-01	 4.189206e-01	 36	 35	 36	 5	 5	 10	 0
38	 4.795437e-01	 4.797348e-01	 4.545317e-01	 30	 30	 30	 5	 5	 10	 0
39	 7.811639e-01	 7.805758e-01	 7.520571e-01	 9	 9	 9	 9	 1	 10	 0
40	 6.765625e-01	 6.779578e-01	 6.455912e-01	 18	 18	 16	 7	 3	 10	 0
41	 8.952931e-01	 8.949557e-01	 8.593930e-01	 4	 4	 4	 10	 0	 10	 0
42	 1.247967e-01	 1.265984e-01	 1.013344e-01	 57	 57	 57	 0	 10	 10	 0
43	 8.034324e-01	 8.029609e-01	 7.712451e-01	 8	 8	 8	 9	 1	 10	 0
44	 5.299797e-01	 5.139846e-01	 4.621061e-01	 27	 27	 27	 4	 5	 9	 1
45	 5.698994e-01	 5.695885e-01	 5.489940e-01	 24	 24	 24	 6	 4	 10	 0
46	 4.054670e-01	 4.036263e-01	 3.692026e-01	 39	 39	 39	 4	 6	 10	 0
47	 5.089260e-01	 5.110416e-01	 4.824909e-01	 28	 28	 25	 5	 5	 10	 0
48	 2.931951e-01	 2.926851e-01	 2.696783e-01	 48	 48	 48	 3	 7	 10	 0
49	 6.951802e-01	 7.091974e-01	 6.110346e-01	 15	 12	 18	 7	 2	 9	 1
50	 8.132570e-02	 8.122000e-02	 5.867357e-02	 60	 60	 60	 1	 9	 10	 0
51	 9.525964e-01	 9.543489e-01	 9.129266e-01	 1	 1	 1	 10	 0	 10	 0
52	 4.592748e-01	 4.589974e-01	 4.308555e-01	 33	 33	 33	 4	 6	 10	 0
53	 6.819263e-01	 6.804780e-01	 6.572918e-01	 16	 17	 14	 8	 2	 10	 0
54	 6.431123e-01	 6.380076e-01	 5.638622e-01	 19	 19	 21	 5	 4	 9	 1
55	 2.160816e-01	 2.120245e-01	 1.760358e-01	 52	 53	 54	 1	 8	 9	 1
56	 7.645693e-01	 7.648639e-01	 7.426115e-01	 10	 10	 10	 9	 1	 10	 0
57	 8.975185e-01	 8.961951e-01	 8.711359e-01	 3	 3	 3	 10	 0	 10	 0
58	 2.118654e-01	 2.122300e-01	 1.857681e-01	 53	 52	 52	 2	 8	 10	 0
59	 5.971771e-01	 5.954681e-01	 5.719648e-01	 22	 22	 20	 6	 4	 10	 0
60	 6.960202e-01	 6.934807e-01	 6.654981e-01	 13	 15	 13	 8	 2	 10	 0
