StimNum	 Colley_original	 Colley_TiesRemoved	 Colley_TiesDuplicated	 Ranks_original	 Ranks_TiesRemoved	 Ranks_TiesDuplicated	 Wins	 Loses	 Total	 NoChoices
1	 3.986337e-01	 3.986337e-01	 3.986337e-01	 42	 42	 42	 4	 6	 10	 0
2	 2.959239e-01	 2.959239e-01	 2.959239e-01	 51	 51	 51	 3	 7	 10	 0
3	 6.270002e-01	 6.270002e-01	 6.270002e-01	 16	 16	 16	 7	 3	 10	 0
4	 2.040458e-01	 2.040458e-01	 2.040458e-01	 57	 57	 57	 2	 8	 10	 0
5	 2.800897e-01	 2.800897e-01	 2.800897e-01	 52	 52	 52	 2	 8	 10	 0
6	 1.482483e-01	 1.482483e-01	 1.482483e-01	 59	 59	 59	 1	 9	 10	 0
7	 4.784850e-01	 4.784850e-01	 4.784850e-01	 32	 32	 32	 5	 5	 10	 0
8	 3.161535e-01	 3.161535e-01	 3.161535e-01	 49	 49	 49	 3	 7	 10	 0
9	 3.873598e-01	 3.873598e-01	 3.873598e-01	 44	 44	 44	 5	 5	 10	 0
10	 5.943343e-01	 5.943343e-01	 5.943343e-01	 20	 20	 20	 6	 4	 10	 0
11	 5.150246e-01	 5.150246e-01	 5.150246e-01	 27	 27	 27	 5	 5	 10	 0
12	 1.538441e-01	 1.538441e-01	 1.538441e-01	 58	 58	 58	 1	 9	 10	 0
13	 4.935169e-01	 4.935169e-01	 4.935169e-01	 29	 29	 29	 5	 5	 10	 0
14	 3.507131e-01	 3.507131e-01	 3.507131e-01	 47	 47	 47	 3	 7	 10	 0
15	 4.579958e-01	 4.579958e-01	 4.579958e-01	 36	 36	 36	 4	 6	 10	 0
16	 4.213149e-01	 4.213149e-01	 4.213149e-01	 40	 40	 40	 4	 6	 10	 0
17	 3.151390e-01	 3.151390e-01	 3.151390e-01	 50	 50	 50	 3	 7	 10	 0
18	 2.104639e-01	 2.104639e-01	 2.104639e-01	 55	 55	 55	 2	 8	 10	 0
19	 4.697017e-01	 4.697017e-01	 4.697017e-01	 35	 35	 35	 4	 6	 10	 0
20	 6.133248e-01	 6.133248e-01	 6.133248e-01	 18	 18	 18	 6	 4	 10	 0
21	 3.241051e-01	 3.241051e-01	 3.241051e-01	 48	 48	 48	 3	 7	 10	 0
22	 4.347040e-01	 4.347040e-01	 4.347040e-01	 39	 39	 39	 4	 6	 10	 0
23	 1.016172e-01	 1.016172e-01	 1.016172e-01	 60	 60	 60	 0	 10	 10	 0
24	 4.413735e-01	 4.413735e-01	 4.413735e-01	 37	 37	 37	 4	 6	 10	 0
25	 4.851382e-01	 4.851382e-01	 4.851382e-01	 30	 30	 30	 4	 6	 10	 0
26	 5.049063e-01	 5.049063e-01	 5.049063e-01	 28	 28	 28	 6	 4	 10	 0
27	 5.421319e-01	 5.421319e-01	 5.421319e-01	 26	 26	 26	 6	 4	 10	 0
28	 4.814481e-01	 4.814481e-01	 4.814481e-01	 31	 31	 31	 5	 5	 10	 0
29	 3.786873e-01	 3.786873e-01	 3.786873e-01	 45	 45	 45	 4	 6	 10	 0
30	 5.448857e-01	 5.448857e-01	 5.448857e-01	 25	 25	 25	 6	 4	 10	 0
31	 7.357323e-01	 7.357323e-01	 7.357323e-01	 9	 9	 9	 8	 2	 10	 0
32	 7.370856e-01	 7.370856e-01	 7.370856e-01	 8	 8	 8	 8	 2	 10	 0
33	 6.037730e-01	 6.037730e-01	 6.037730e-01	 19	 19	 19	 7	 3	 10	 0
34	 6.410815e-01	 6.410815e-01	 6.410815e-01	 15	 15	 15	 6	 4	 10	 0
35	 2.077132e-01	 2.077132e-01	 2.077132e-01	 56	 56	 56	 1	 9	 10	 0
36	 4.701446e-01	 4.701446e-01	 4.701446e-01	 34	 34	 34	 4	 6	 10	 0
37	 2.616621e-01	 2.616621e-01	 2.616621e-01	 53	 53	 53	 2	 8	 10	 0
38	 6.480450e-01	 6.480450e-01	 6.480450e-01	 14	 14	 14	 7	 3	 10	 0
39	 7.757926e-01	 7.757926e-01	 7.757926e-01	 5	 5	 5	 8	 2	 10	 0
40	 6.207552e-01	 6.207552e-01	 6.207552e-01	 17	 17	 17	 7	 3	 10	 0
41	 8.029858e-01	 8.029858e-01	 8.029858e-01	 3	 3	 3	 9	 1	 10	 0
42	 4.402379e-01	 4.402379e-01	 4.402379e-01	 38	 38	 38	 4	 6	 10	 0
43	 5.856012e-01	 5.856012e-01	 5.856012e-01	 22	 22	 22	 5	 5	 10	 0
44	 5.535063e-01	 5.535063e-01	 5.535063e-01	 24	 24	 24	 5	 5	 10	 0
45	 3.978031e-01	 3.978031e-01	 3.978031e-01	 43	 43	 43	 3	 7	 10	 0
46	 7.535213e-01	 7.535213e-01	 7.535213e-01	 7	 7	 7	 9	 1	 10	 0
47	 2.389987e-01	 2.389987e-01	 2.389987e-01	 54	 54	 54	 2	 8	 10	 0
48	 5.677918e-01	 5.677918e-01	 5.677918e-01	 23	 23	 23	 6	 4	 10	 0
49	 6.877336e-01	 6.877336e-01	 6.877336e-01	 13	 13	 13	 7	 3	 10	 0
50	 4.059140e-01	 4.059140e-01	 4.059140e-01	 41	 41	 41	 3	 7	 10	 0
51	 5.864282e-01	 5.864282e-01	 5.864282e-01	 21	 21	 21	 6	 4	 10	 0
52	 7.650032e-01	 7.650032e-01	 7.650032e-01	 6	 6	 6	 7	 3	 10	 0
53	 4.733030e-01	 4.733030e-01	 4.733030e-01	 33	 33	 33	 5	 5	 10	 0
54	 7.807698e-01	 7.807698e-01	 7.807698e-01	 4	 4	 4	 9	 1	 10	 0
55	 3.674687e-01	 3.674687e-01	 3.674687e-01	 46	 46	 46	 4	 6	 10	 0
56	 8.083306e-01	 8.083306e-01	 8.083306e-01	 2	 2	 2	 9	 1	 10	 0
57	 7.355126e-01	 7.355126e-01	 7.355126e-01	 10	 10	 10	 8	 2	 10	 0
58	 7.131524e-01	 7.131524e-01	 7.131524e-01	 12	 12	 12	 7	 3	 10	 0
59	 7.245913e-01	 7.245913e-01	 7.245913e-01	 11	 11	 11	 7	 3	 10	 0
60	 9.392512e-01	 9.392512e-01	 9.392512e-01	 1	 1	 1	 10	 0	 10	 0
