  dataset        a       t0        d      st0  penalty      fit     time   method
      101   1.0473   0.6477   0.0117   0.4999   0.0000  47.8599   0.4380       ML
      102   0.5694   0.8196   0.0489   0.5577   0.0000  25.0604   0.8440       ML
      103   0.7755   0.6647   0.0056   0.3619   0.0000  13.6790   0.2000       ML
      104   0.8201   0.7642   0.0291   0.3733   0.0000  22.7208   0.1940       ML
      105   0.9726   0.7557   0.1834   0.0789   0.0000  13.1048   0.0640       ML
      106   0.3822   0.9707   0.1747   0.6428   0.0000  20.7369   0.1940       ML
      107   0.9658   0.7211   0.0975   0.4178   0.0000  34.5821   0.2520       ML
      108   0.8070   0.8084   0.0968   0.4770   0.0000  27.6448   0.2860       ML
      109   0.9547   0.7722   0.0282   0.4928   0.0000  39.0418   0.2560       ML
      110   0.5171   0.9132   0.0220   0.7623   0.0000  39.1908   0.3050       ML
      111   0.9111   0.7428   0.0309   0.5971   0.0000  41.3683   0.3860       ML
      112   0.7254   0.8232   0.0527   0.4488   0.0000  19.8733   0.2090       ML
      113   1.0133   0.7255   0.1097   0.3811   0.0000  35.8553   0.2220       ML
      114   0.9249   0.6975   0.1167   0.1181   0.0000   9.4013   0.0890       ML
      115   0.6827   0.9051   0.1036   0.7359   0.0000  39.1523   0.2990       ML
      116   0.4226   0.9353   0.1569   0.8566   0.0000  42.6448   0.6360       ML
      118   0.9787   0.5861  -0.0328   0.2120   0.0000  23.0588   0.1440       ML
      119   0.9825   0.4926  -0.0418   0.3799   0.0000  36.1620   0.2470       ML
      120   0.9858   0.7040   0.1110   0.2970   0.0000  25.5435   0.1730       ML
      121   1.0018   0.6897   0.0523   0.2558   0.0000  29.0396   0.1850       ML
      122   0.8515   0.7245   0.0152   0.3757   0.0000  22.6555   0.2590       ML
      123   0.8365   0.7719   0.0920   0.6194   0.0000  43.9602   0.4190       ML
      124   0.5230   1.0063   0.0168   0.7263   0.0000  26.7589   0.2990       ML
      125   1.0699   0.6823   0.0836   0.3318   0.0000  42.3898   0.1820       ML
      127   0.4975   0.9827   0.0244   0.6311   0.0000  25.3893   0.4380       ML
