  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      101   0.4680   1.0452   0.6493   0.0272   0.5073   0.0000  47.6908   0.3900       ML
      102   0.4402   0.8550   0.7032   0.0789   0.3978   0.0000  28.4195   0.2500       ML
      103   0.5387   0.8606   0.6446   0.0412   0.2777   0.0000  12.9635   0.2320       ML
      104   0.5987   0.8391   0.7564  -0.0137   0.3680   0.0000  21.3173   0.3230       ML
      105   0.7072   0.9682   0.7646   0.0858   0.1826   0.0000   6.2478   0.1560       ML
      106   0.7725   0.7966   0.8783   0.1553   0.4860   0.0000  12.3419   0.4200       ML
      107   0.6769   0.8753   0.7792   0.0115   0.5454   0.0000  30.8206   0.4100       ML
      108   0.4429   0.8080   0.8094   0.1168   0.4739   0.0000  27.2053   0.3360       ML
      109   0.4279   0.9671   0.7702   0.0595   0.4783   0.0000  38.2828   0.3620       ML
      110   0.7255   0.7022   0.8572  -0.0503   0.6811   0.0000  32.0019   0.4170       ML
      111   0.6599   0.9566   0.7340  -0.0422   0.5722   0.0000  37.6346   0.4140       ML
      112   0.3492   0.7234   0.8252   0.1017   0.4665   0.0000  16.8526   0.2860       ML
      113   0.6101   1.1618   0.6419  -0.0118   0.2308   0.0000  33.7583   0.3230       ML
      114   0.7142   1.0123   0.6829   0.0268   0.1306   0.0000  -0.4342   0.1480       ML
      115   0.6579   0.6822   0.9092   0.0411   0.7272   0.0000  32.1059   0.7880       ML
      116   0.6907   0.9680   0.7771   0.1445   0.6090   0.0000  43.3150   0.5810       ML
      118   0.6680   0.9829   0.5990  -0.1140   0.2474   0.0000  18.5867   0.2210       ML
      119   0.6770   0.9411   0.5234  -0.1333   0.4625   0.0000  31.2837   0.4330       ML
      120   0.6195   0.9813   0.7093   0.0479   0.3273   0.0000  23.5924   0.2050       ML
      121   0.5380   1.0020   0.6901   0.0342   0.2621   0.0000  28.8089   0.1860       ML
      122   0.4924   0.8519   0.7240   0.0182   0.3760   0.0000  22.6468   0.2280       ML
      123   0.6530   1.2386   0.5747   0.0095   0.1832   0.0000  43.5956   0.1200       ML
      124   0.4139   0.5415   0.9937   0.0273   0.7089   0.0000  25.4460   0.8750       ML
      125   0.4053   1.0920   0.6746   0.1397   0.3194   0.0000  40.9154   0.2490       ML
      127   0.4583   0.8751   0.8337   0.0500   0.4059   0.0000  27.7176   0.4210       ML
