  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      101   0.5562   1.0719  -0.3701   0.6382  -0.0184   0.4760   0.0000  47.5623   0.6230       ML
      102   0.7066   1.0117  -1.2247   0.6651  -0.0702   0.3226   0.0000  27.9874   0.6300       ML
      103   0.8122   0.9385  -2.0687   0.6542  -0.0934   0.3805   0.0000  12.6438   0.7480       ML
      104   0.5656   0.8336   0.1685   0.7585  -0.0000   0.3688   0.0000  21.3106   0.4210       ML
      105   0.7003   0.9647   0.0484   0.7651   0.0885   0.1830   0.0000   6.2428   0.2370       ML
      106   0.0087   7.3786  11.6238   0.6892   0.8116   0.5667   0.0000   9.4397   4.3000       ML
      107   0.4323   1.0037   1.0261   0.7214   0.1266   0.4223   0.0000  30.1841   0.6130       ML
      108   0.1816   1.0119   1.5587   0.7827   0.2914   0.4396   0.0000  25.1776   0.7290       ML
      109   0.3353   1.0069   0.4284   0.7626   0.1068   0.4531   0.0000  38.1580   0.6550       ML
      110   0.9245   0.9681  -2.0876   0.8110  -0.1654   0.6733   0.0000  31.0513   2.6850       ML
      111   0.8511   1.0137  -1.3487   0.7656  -0.0951   0.6406   0.0000  35.9822   1.2640       ML
      112   0.7597   0.9066  -2.3784   0.8130  -0.0405   0.4276   0.0000  15.8468   0.6760       ML
      113   0.3715   1.0825   1.0955   0.7205   0.1672   0.3706   0.0000  32.2812   0.7540       ML
      114   0.4631   1.0307   1.6059   0.6911   0.1307   0.1162   0.0000  -5.5457   0.2310       ML
      115   0.1443   1.0594   3.7892   0.8956   0.2208   0.7444   0.0000  33.6717   1.7070       ML
      116   0.5369   0.9357   0.7612   0.7852   0.2074   0.6329   0.0000  43.0179   1.0130       ML
      118   0.4722   0.9964   0.9298   0.5987   0.0130   0.1702   0.0000  15.5778   0.4570       ML
      119   0.4230   1.0441   1.0955   0.4869  -0.0023   0.3733   0.0000  30.7972   0.5290       ML
      120   0.3372   1.0877   1.3199   0.6962   0.1884   0.2930   0.0000  22.0536   0.5510       ML
      121   0.3992   1.0404   0.6265   0.6819   0.1045   0.2330   0.0000  28.3660   0.4740       ML
      122   0.7524   0.9225  -1.5097   0.7378  -0.0781   0.4064   0.0000  21.7622   0.7560       ML
      123   0.0891   1.9754   3.2767   0.6535   0.4891   0.5305   0.0000  36.5143   1.4930       ML
      124   0.9327   1.1208  -6.2339   0.9574  -0.0827   0.7208   0.0000  26.2749   2.6800       ML
      125   0.5357   1.0849  -0.5629   0.6825   0.0631   0.3354   0.0000  40.5270   0.4750       ML
      127   0.4187   0.8798   0.2042   0.8334   0.0653   0.4065   0.0000  27.6932   0.6570       ML
