  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   1.0485  -0.1594   0.6477   0.0119   0.4999   0.0000  47.6090   1.3610       ML
      102   0.8676  -0.3006   0.6975   0.0522   0.3853   0.0000  28.3483   0.5820       ML
      103   0.7764  -0.1764   0.6647   0.0056   0.3620   0.0000  13.5080   0.6680       ML
      104   0.8265   0.4886   0.7638   0.0290   0.3733   0.0000  21.3155   0.4960       ML
      105   0.9322   0.9572   0.7739   0.1727   0.2035   0.0000   7.6421   0.4390       ML
      106   0.4135   3.1504   0.9682   0.1714   0.6426   0.0000  10.0761   0.9420       ML
      107   0.9907   0.7431   0.7194   0.0971   0.4177   0.0000  30.2612   0.6990       ML
      108   0.8078  -0.2190   0.8084   0.0967   0.4771   0.0000  27.3802   0.9200       ML
      109   0.9582  -0.2744   0.7719   0.0281   0.4928   0.0000  38.4529   0.7550       ML
      110   0.6531   1.4019   0.8739   0.0317   0.7134   0.0000  32.7407   1.1890       ML
      111   0.9271   0.6288   0.7416   0.0308   0.5968   0.0000  38.6328   0.8490       ML
      112   0.7404  -0.8741   0.8224   0.0528   0.4492   0.0000  16.5328   0.6590       ML
      113   1.0313   0.5771   0.7240   0.1096   0.3799   0.0000  32.7756   0.7140       ML
      114   1.0174   1.4501   0.6913   0.1161   0.1174   0.0000  -5.4915   0.2720       ML
      115   0.7027   1.1159   0.9041   0.1036   0.7360   0.0000  34.3740   1.3930       ML
      116   0.3755   2.3532   0.9445   0.1109   0.8800   0.0000  35.2544   3.8120       ML
      118   1.0056   0.7534   0.5842  -0.0326   0.2123   0.0000  18.4314   0.3580       ML
      119   1.0125   0.7904   0.4905  -0.0420   0.3801   0.0000  30.9004   0.4280       ML
      120   1.0052   0.6409   0.7025   0.1106   0.2970   0.0000  22.5383   0.4140       ML
      121   1.0049   0.2281   0.6893   0.0524   0.2558   0.0000  28.5823   0.5770       ML
      122   0.8519  -0.1347   0.7244   0.0152   0.3758   0.0000  22.5411   0.6820       ML
      123   0.8609   0.9041   0.7703   0.0915   0.6200   0.0000  39.0229   0.9580       ML
      124   0.5088  -0.9017   0.9887   0.0080   0.7330   0.0000  27.7957   1.1240       ML
      125   1.0805  -0.4288   0.6817   0.0836   0.3322   0.0000  40.5505   0.5970       ML
      127   0.8741  -0.1712   0.8340   0.0337   0.4059   0.0000  27.7838   0.5870       ML
