subjid	scanner	order	block	runtrial	onsettime	ImageLeft	ImageRight	TypeLeft	TypeRight	IsLefthigh	Response	PairType	Outcome	RT	bidIndexLeft	bidIndexRight
BM2_148	0	1	2	104	506	PringlesRed.bmp	ChipsAhoy_small.bmp	23	38	1	u	3	0	612.23	23.00	38.00	
BM2_148	0	1	2	105	510	Twinkie.bmp	Skittles.bmp	19	45	1	u	3	0	560.60	19.00	45.00	
BM2_148	0	1	2	106	514	FigNewton_small.bmp	PeanutMMs.bmp	53	47	1	u	2	0	792.76	53.00	47.00	
BM2_148	0	1	2	107	520	Skittles.bmp	Streusel.bmp	45	16	0	i	3	0	613.82	45.00	16.00	
BM2_148	0	1	2	108	526	SourSkittles.bmp	FigNewton_small.bmp	51	53	0	i	2	0	520.08	51.00	53.00	
BM2_148	0	1	2	109	531	SourSkittles.bmp	Jollyrancherred.bmp	51	49	0	i	2	0	664.49	51.00	49.00	
BM2_148	0	1	2	110	538	PeanutMMs.bmp	Jollyrancherred.bmp	47	49	0	i	2	0	739.14	47.00	49.00	
BM2_148	0	1	2	111	542	Jollyrancherred.bmp	100grand_small.bmp	49	52	1	u	2	0	991.50	49.00	52.00	
BM2_148	0	1	2	112	552	Twinkie.bmp	ChipsAhoy_small.bmp	19	38	1	u	3	0	556.71	19.00	38.00	
BM2_148	0	1	2	113	562	Cheetos.bmp	AnimalCrackers.bmp	8	10	1	u	1	0	880.42	8.00	10.00	
BM2_148	0	1	2	114	566	Hersheykisses.bmp	Nutterbutter.bmp	44	21	0	i	4	0	886.23	44.00	21.00	
BM2_148	0	1	2	115	573	Lollipopred.bmp	Nutterbutter.bmp	40	21	0	i	4	0	719.37	40.00	21.00	
BM2_148	0	1	2	116	577	100grand_small.bmp	FigNewton_small.bmp	52	53	0	i	2	0	984.68	52.00	53.00	
BM2_148	0	1	2	117	581	Milkduds.bmp	AnimalCrackers.bmp	11	10	1	i	1	1	1062.79	11.00	10.00	
BM2_148	0	1	2	118	585	ChipsAhoy_small.bmp	Streusel.bmp	38	16	0	i	3	0	795.09	38.00	16.00	
BM2_148	0	1	2	119	588	FamousAmos_small.bmp	Lollipopred.bmp	22	40	1	u	4	0	759.92	22.00	40.00	
BM2_148	0	1	2	120	591	3Musketeers.bmp	SnoBall.bmp	17	43	1	u	4	0	752.51	17.00	43.00	
BM2_148	0	1	2	121	595	Oreos.bmp	Milkduds.bmp	13	11	0	u	1	1	848.37	13.00	11.00	
BM2_148	0	1	2	122	598	3Musketeers.bmp	Jollyranchergreen.bmp	17	39	1	u	4	0	661.07	17.00	39.00	
BM2_148	0	1	2	123	601	PopTartsStrawberry.bmp	AnimalCrackers.bmp	15	10	1	u	1	0	1122.58	15.00	10.00	
BM2_148	0	1	2	124	608	FamousAmos_small.bmp	SnoBall.bmp	22	43	1	u	4	0	1057.05	22.00	43.00	
BM2_148	0	1	2	125	613	Skittles.bmp	FrootLoops.bmp	45	20	0	i	3	0	837.57	45.00	20.00	
BM2_148	0	1	2	126	619	Twinkie.bmp	RitzBitz2.bmp	19	41	1	u	3	0	615.84	19.00	41.00	
BM2_148	0	1	2	127	622	Hersheykisses.bmp	Reeses.bmp	44	18	0	i	4	0	617.15	44.00	18.00	
BM2_148	0	1	2	128	626	Butterfinger.bmp	Streusel.bmp	42	16	0	i	3	0	568.29	42.00	16.00	
