  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   0.7065   1.3743   0.7182   0.0928   0.3122   0.0000  -3.1036   0.2870       ML
      102   0.8173  -0.1071   0.7498   0.0485   0.6182   0.0000  36.4684   0.7590       ML
      103   0.2927  -1.4638   1.0724  -0.0583   0.7085   0.0000  24.7429   0.9500       ML
      104   0.8879   1.0092   0.5870   0.1041   0.3118   0.0000   9.5398   0.3730       ML
      105   0.8610   1.1862   0.7681   0.0594   0.4672   0.0000  18.7556   0.4830       ML
      106   0.9749   0.1485   0.5911   0.0370   0.2557   0.0000  25.7406   0.3200       ML
      107   0.8855   0.1942   0.7458   0.0368   0.4733   0.0000  33.1385   0.5490       ML
      109   0.9370   0.5839   0.7293   0.0761   0.3293   0.0000  24.1569   0.5520       ML
      110   1.0284  -1.0904   0.7035  -0.0071   0.2876   0.0000  16.7624   0.5400       ML
      111   0.9702   0.6058   0.7270   0.1580   0.2811   0.0000  23.8270   0.5190       ML
      113   0.9345   0.5628   0.6135   0.1022   0.2582   0.0000  18.2858   0.3400       ML
      114   0.9796   0.4470   0.6296  -0.0339   0.4684   0.0000  40.4289   0.4450       ML
      115   1.1605   1.2850   0.6773   0.2356   0.0001   0.0000   3.9079   0.0720       ML
      117   0.6909   0.7257   0.9001   0.0666   0.4995   0.0000  19.9374   0.4810       ML
      118   0.8214   1.6854   0.6942   0.0951   0.4025   0.0000   3.4338   0.4140       ML
      119   0.9929   0.6980   0.5512   0.0294   0.3245   0.0000  27.9414   0.3120       ML
      120   0.7915  -0.0001   0.8339   0.0135   0.6765   0.0000  36.3592   0.5790       ML
      121   0.6189   1.3664   0.9336   0.0256   0.6209   0.0000  26.6992   0.8790       ML
      122   0.9963   0.7253   0.7239  -0.1066   0.5098   0.0000  27.5147   0.5350       ML
      123   0.8371  -0.9800   0.7358  -0.0368   0.5274   0.0000  29.1721   0.7550       ML
      125   0.8836   0.3066   0.7987  -0.0428   0.5466   0.0000  34.3187   1.0720       ML
      128   0.9934   0.5751   0.6991  -0.0993   0.6544   0.0000  49.3122   0.8760       ML
      130   0.9913   0.0560   0.6116   0.0178   0.2297   0.0000  27.5959   0.3070       ML
      132   0.9001   0.9308   0.4248  -0.0157   0.1662   0.0000   1.8990   0.4470       ML
      134   1.0208   0.0802   0.5194   0.0045   0.1106   0.0000  22.1267   0.2810       ML
