  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      101   0.7068   0.7324   0.1269   0.7043   0.0215   0.3001   0.0000  -3.5310   0.5790       ML
      102   0.8747   1.2299  -2.3667   0.7152  -0.1587   0.5437   0.0000  33.8098   1.1750       ML
      103   0.6017   0.4054  -1.9835   1.0697  -0.0241   0.6983   0.0000  22.3067   2.3910       ML
      104   0.3026   0.9894   1.9847   0.5871   0.1801   0.3059   0.0000   8.9073   0.5320       ML
      105   0.2275   1.0932   2.6500   0.7608   0.1858   0.4577   0.0000  18.1280   0.9430       ML
      106   0.6309   1.0245  -0.3863   0.5751  -0.0320   0.1971   0.0000  25.4495   0.3280       ML
      107   0.6582   0.9948  -0.5016   0.7076  -0.0293   0.3894   0.0000  32.9953   0.4480       ML
      109   0.2543   1.0531   1.8002   0.7411   0.2005   0.3536   0.0000  23.2567   0.6540       ML
      110   0.6793   1.1725  -1.8117   0.6895  -0.1121   0.2493   0.0000  16.0490   0.4500       ML
      111   0.6342   0.9788   0.0380   0.7251   0.0971   0.2676   0.0000  23.3183   0.4020       ML
      113   0.6171   0.9499   0.0512   0.6078   0.0522   0.2482   0.0000  17.9401   0.3740       ML
      114   0.7756   1.0677  -0.8163   0.6268  -0.1651   0.4911   0.0000  39.2994   0.9460       ML
      115   0.7586   1.0576   0.3188   0.7279   0.1034   0.2237   0.0000   4.3081   0.2810       ML
      117   0.8010   0.7677  -1.2729   0.8911  -0.0136   0.4951   0.0000  19.0576   1.0530       ML
      118   0.5633   0.8121   1.3604   0.6927   0.0754   0.3983   0.0000   3.3944   0.5040       ML
      119   0.7210   1.0375  -0.2517   0.5472  -0.0801   0.2981   0.0000  26.4323   0.4550       ML
      120   0.2393   1.0423   1.2473   0.7643   0.1355   0.5551   0.0000  35.8472   0.7360       ML
      121   0.7242   0.6397  -0.2202   0.9280  -0.0251   0.6139   0.0000  26.4838   1.2580       ML
      122   0.4259   1.3095   0.8520   0.6469  -0.0319   0.2816   0.0000  27.6945   0.8110       ML
      123   0.8014   1.0823  -2.7346   0.7338  -0.1723   0.5452   0.0000  28.2377   1.0300       ML
      125   0.5659   0.9677   0.1845   0.7943  -0.0266   0.4629   0.0000  29.3729   0.8680       ML
      128   0.7229   1.0479  -0.3847   0.6943  -0.2031   0.6298   0.0000  48.4372   1.1910       ML
      130   0.4083   1.0056   0.4270   0.6099   0.0606   0.2249   0.0000  27.3944   0.4030       ML
      132   0.5480   0.8985   0.7126   0.4233  -0.0336   0.1630   0.0000   1.8412   0.3050       ML
      134   0.5810   1.0228  -0.2412   0.5226  -0.0328   0.1344   0.0000  21.9989   0.2430       ML
