  dataset        a       t0        d      st0  penalty      fit     time   method
      101   0.6759   0.7198   0.0928   0.3119   0.0000   4.6040   0.1600       ML
      102   0.8176   0.7495   0.0485   0.6180   0.0000  36.5338   0.3940       ML
      103   0.3705   1.0651  -0.0041   0.7085   0.0000  24.3170   0.2470       ML
      104   0.8556   0.5888   0.1046   0.3121   0.0000  15.8274   0.1730       ML
      105   0.8176   0.7716   0.0606   0.4691   0.0000  26.5893   0.2470       ML
      106   0.9741   0.5910   0.0370   0.2554   0.0000  25.9219   0.1490       ML
      107   0.8844   0.7459   0.0366   0.4732   0.0000  33.3960   0.2290       ML
      109   0.9243   0.7301   0.0764   0.3287   0.0000  26.7267   0.1750       ML
      110   0.9709   0.7076  -0.0078   0.2879   0.0000  25.5577   0.1440       ML
      111   0.6781   0.8511   0.1378   0.4932   0.0000  24.5028   0.2860       ML
      113   0.9222   0.6142   0.1021   0.2581   0.0000  20.6239   0.1890       ML
      114   0.9707   0.6302  -0.0342   0.4682   0.0000  42.1674   0.3950       ML
      115   1.0558   0.6840   0.2361   0.0002   0.0000  13.4623   0.0290       ML
      117   0.6820   0.9008   0.0667   0.4996   0.0000  22.0469   0.2290       ML
      118   0.7543   0.6978   0.0950   0.4017   0.0000  16.9084   0.2480       ML
      119   0.9697   0.5531   0.0288   0.3253   0.0000  32.0187   0.1640       ML
      120   0.7920   0.8337   0.0134   0.6762   0.0000  36.3592   0.3030       ML
      121   0.5989   0.9342   0.0254   0.6203   0.0000  32.4506   0.3030       ML
      122   0.9722   0.7254  -0.1067   0.5095   0.0000  30.6990   0.2190       ML
      123   0.8106   0.7374  -0.0372   0.5268   0.0000  34.7553   0.3150       ML
      125   0.8806   0.7988  -0.0428   0.5464   0.0000  34.9263   0.3600       ML
      128   0.9776   0.7002  -0.0996   0.6543   0.0000  52.1301   0.3600       ML
      130   0.9916   0.6115   0.0179   0.2295   0.0000  27.6236   0.1440       ML
      132   0.8714   0.4267  -0.0154   0.1663   0.0000   7.8048   0.1320       ML
      134   1.0204   0.5194   0.0045   0.1106   0.0000  22.1883   0.1010       ML
