  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      101   0.7241   0.7382   0.7032   0.0152   0.2988   0.0000  -3.5238   0.2480       ML
      102   0.4999   0.8165   0.7498   0.0484   0.6181   0.0000  36.5338   0.4110       ML
      103   0.3827   0.3207   1.0666  -0.0455   0.7089   0.0000  24.7856   0.5780       ML
      104   0.6728   0.8871   0.5816   0.0396   0.3315   0.0000  11.1537   0.2700       ML
      105   0.7099   0.8704   0.7567  -0.0234   0.4834   0.0000  19.8217   0.3010       ML
      106   0.5471   0.9890   0.5848   0.0129   0.2319   0.0000  25.6257   0.1580       ML
      107   0.5496   0.8871   0.7470   0.0171   0.4697   0.0000  33.0269   0.2970       ML
      109   0.6026   0.9410   0.7236   0.0305   0.3293   0.0000  24.9729   0.2820       ML
      110   0.3794   0.9644   0.7550   0.0103   0.2909   0.0000  19.4233   0.1410       ML
      111   0.6408   0.9807   0.7247   0.0942   0.2669   0.0000  23.3206   0.1970       ML
      113   0.6264   0.9527   0.6072   0.0480   0.2480   0.0000  17.9436   0.1710       ML
      114   0.6230   0.9881   0.6295  -0.0862   0.4696   0.0000  39.7397   0.3570       ML
      115   0.7958   1.0872   0.7214   0.0782   0.2208   0.0000   4.4704   0.1020       ML
      117   0.6357   0.6911   0.8992   0.0312   0.5002   0.0000  19.5171   0.3430       ML
      118   0.7987   0.7847   0.7134  -0.0072   0.4276   0.0000   2.8767   0.6750       ML
      119   0.6803   1.0157   0.5493  -0.0592   0.3000   0.0000  26.5501   0.2650       ML
      120   0.4885   0.8761   0.7910  -0.0005   0.6143   0.0000  36.3852   0.3330       ML
      121   0.7066   0.6259   0.9311  -0.0222   0.6099   0.0000  26.4818   0.4770       ML
      122   0.6682   1.0323   0.7091  -0.1892   0.4873   0.0000  27.2987   0.3400       ML
      123   0.3071   0.7214   0.7789   0.0464   0.6292   0.0000  29.6698   0.5460       ML
      125   0.5857   0.9021   0.7947  -0.0781   0.5240   0.0000  33.9066   0.4540       ML
      128   0.6485   1.0129   0.6971  -0.1658   0.6338   0.0000  48.5819   0.5780       ML
      130   0.5005   0.9917   0.6115   0.0175   0.2295   0.0000  27.6236   0.2170       ML
      132   0.6789   0.9020   0.4421  -0.0858   0.1672   0.0000   1.5842   0.1370       ML
      134   0.5278   1.0169   0.5218  -0.0086   0.1215   0.0000  22.0712   0.1260       ML
