  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.3955   0.9573   2.0796   0.6861   0.1152   0.7909   0.2087   0.2926   0.0000   3.7848 121.0420       ML
      102   0.7482   1.0962  -1.2776   0.6958  -0.1483   0.3263   0.0000   0.6040   0.0000  86.3612 263.4550       ML
      103   0.4993   0.4994  -1.2737   1.0565  -0.0743   0.9181   0.0000   0.6401   0.0000  42.0124 444.4120       ML
      104   0.4543   1.0081   1.6531   0.6050   0.0902   0.7348   1.2590   0.3273   0.0000  32.5929 224.0120       ML
      105   0.3884   0.9449   1.3977   0.7653   0.1351   0.0285   0.0000   0.4306   0.0000  49.7836  63.7770       ML
      106   0.5697   1.1458  -0.3602   0.6105  -0.0299   0.8605   1.2961   0.1614   0.0000  47.6283 214.1400       ML
      107   0.7221   0.9785  -0.9336   0.7373  -0.0447   0.5557   0.0876   0.4190   0.0000  55.3025 215.4240       ML
      109   0.2493   1.1713   1.7936   0.7340   0.2679   0.2320   0.0000   0.4021   0.0000  57.0500 129.8610       ML
      110   0.5889   0.9658  -1.4572   0.7633  -0.0787   0.1650   0.0040   0.4778   0.0000  52.9246 197.8510       ML
      111   0.1970   0.7668   2.7482   0.8347   0.1435   0.0000   0.0000   0.5963   0.0000  58.1047  62.0230       ML
      113   0.4255   0.9515   1.0969   0.6692   0.1150   0.5189   0.0000   0.3261   0.0000  43.8298 173.4310       ML
      114   0.5851   0.9190   0.4841   0.6711  -0.0016   0.4368   0.9092   0.4370   0.0000  55.8142 295.4730       ML
      115   0.6396   1.0509   0.8730   0.7136   0.1107   0.2845   0.0000   0.2531   0.0000  14.5466  82.5030       ML
      117   0.5296   0.8325   0.9321   0.8786   0.0884   0.9408   0.4813   0.5146   0.0000  46.6847 210.7550       ML
      118   0.5274   0.9096   2.2319   0.6595   0.0962   0.5015   1.6139   0.4093   0.0000   6.5542 159.4020       ML
      119   0.5310   1.0373   0.8555   0.5655   0.0625   0.3377   0.2374   0.2657   0.0000  42.9148 112.8030       ML
      120   0.6820   0.9580  -0.7349   0.7910  -0.0915   0.3321   0.0010   0.6416   0.0000  82.2882 241.4610       ML
      121   0.5121   1.0086   0.8846   0.7561   0.0422   0.0514   0.5890   0.3312   0.0000  50.6362  52.9510       ML
      122   0.5919   0.8535   0.7406   0.8475  -0.0404   0.8161   0.7552   0.7567   0.0000  68.1394 164.5820       ML
      123   0.5827   0.9658  -1.8893   0.7327  -0.0166   0.8346   0.3369   0.4908   0.0000  47.5371 367.3450       ML
      125   0.5838   0.9140  -0.1154   0.7948   0.0036   0.0000   0.0881   0.4897   0.0000  63.2604  86.5750       ML
      128   0.7181   1.0265  -0.7276   0.7059  -0.1822   0.1183   0.0017   0.5987   0.0000  85.6028  68.1050       ML
      130   0.4994   0.9435   0.1030   0.7022   0.0084   0.9283   0.1058   0.3439   0.0000  56.5542 265.2430       ML
      132   0.4641   1.0168   2.1124   0.4583   0.0158   0.7097   2.0195   0.2258   0.0000   2.1501 206.5480       ML
      134   0.5463   0.9710  -0.1798   0.5374  -0.0028   0.1085   0.0011   0.1150   0.0000  28.0084  39.5940       ML
