  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
      101   0.2696   0.8706   0.6348   0.6264   0.1594   0.6203   0.0000  67.1895   1.6580       ML
      104   0.2756   0.9137   0.7244   0.7037   0.0951   0.4063   0.0000  44.8598   0.9900       ML
      106   0.7348   0.9482  -0.4756   0.6413  -0.1314   0.4457   0.0000  51.0399   1.1750       ML
      107   0.6638   0.7569  -0.0991   0.8935  -0.0615   0.7262   0.0000  63.9770   2.3810       ML
      108   0.4014   0.7307   0.4870   0.8324   0.0428   0.7189   0.0000  71.4752   1.4810       ML
      109   0.5518   1.1061   0.3598   0.2668  -0.0588   0.0945   0.0000  45.8702   0.3230       ML
      110   0.5878   0.9247  -0.2997   0.5480  -0.0440   0.2743   0.0000  38.4211   0.8240       ML
      112   0.7095   0.9415  -0.4693   0.5290  -0.1298   0.1821   0.0000  13.9803   0.7220       ML
      113   0.4908   1.0019   0.2004   0.4387   0.0246   0.3505   0.0000  61.1979   0.7750       ML
      114   0.5326   0.8927  -0.2175   0.7527  -0.0390   0.4540   0.0000  60.9822   1.4080       ML
      115   0.8217   0.9451  -1.4268   0.7976  -0.1537   0.7951   0.0000  74.9582   3.4630       ML
      118   0.4135   0.9196  -0.5611   0.7455  -0.0352   0.3621   0.0000  37.8428   0.7470       ML
      119   0.8554   0.8427  -2.5110   0.8578  -0.1436   0.7246   0.0000  65.8762   5.4340       ML
      120   0.6889   0.9885   0.5817   0.6720  -0.0502   0.3491   0.0000  28.3316   0.9760       ML
      121   0.4470   0.7595   0.2806   0.8148  -0.0049   0.6829   0.0000  59.0386   1.0710       ML
      122   0.2620   0.9915   1.1894   0.6150   0.1776   0.5995   0.0000  78.6768   1.8590       ML
      123   0.2646   0.6970   0.4678   0.8968   0.0606   0.7397   0.0000  60.7344   1.5800       ML
      124   0.5419   0.8517   1.1506   0.8069   0.0978   0.5346   0.0000  41.3989   1.3810       ML
      126   0.3485   0.9046   0.7552   0.5867   0.0668   0.5909   0.0000  67.1358   1.4920       ML
      127   0.2268   0.8916   1.0722   0.6566   0.0972   0.4079   0.0000  39.0461   2.5130       ML
      128   0.7350   0.8389  -0.4503   0.8436   0.0290   0.6710   0.0000  51.3679   1.7020       ML
      129   0.5558   1.1193  -0.0893   0.3793  -0.0048   0.2512   0.0000  66.2548   0.7350       ML
      130   0.5295   1.2415  -1.0145   0.5165   0.0430   0.1015   0.0000  47.6877   0.5770       ML
      131   0.5221   1.2378   0.1607   0.2473  -0.0359   0.2016   0.0000  82.2443   0.7640       ML
      132   0.4752   0.9147  -0.3564   0.4734   0.0378   0.2657   0.0000  30.6331   0.8220       ML
      133   0.6226   1.0976  -0.7773   0.5526  -0.1107   0.3576   0.0000  73.4983   1.4410       ML
      134   0.3403   0.9247   1.2530   0.7011   0.0567   0.5093   0.0000  53.1569   2.2010       ML
