  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.3702   0.8680   0.8188   0.0319   0.6351   0.3441   0.5543   0.0000 126.0156 242.4320       ML
      101   0.4214   1.0122   0.5512   0.0815   0.1184   0.4442   0.4596   0.0000 145.7217  72.6190       ML
      104   0.4446   0.8839   0.7289   0.0351   0.6804   0.0079   0.3961   0.0000  93.6807 336.1220       ML
      106   0.6582   0.9628   0.6424  -0.1132   0.4861   1.1510   0.4682   0.0000 106.7215 285.2840       ML
      107   0.5951   0.8650   0.8651   0.0398   0.0000   0.7439   0.6655   0.0000 125.7318 158.2040       ML
      108   0.4728   0.9098   0.7909  -0.0433   0.3306   1.2622   0.6278   0.0000 141.8751 320.4900       ML
      109   0.6251   1.2873   0.3165  -0.0700   0.7497   1.7411   0.1143   0.0000  97.2831 245.1020       ML
      110   0.5199   1.0291   0.5520   0.0040   0.7109   0.5807   0.2337   0.0000  99.5523 243.4860       ML
      112   0.5938   0.9728   0.5179  -0.0779   0.0002   0.0010   0.1742   0.0000  60.1624  47.6330       ML
      113   0.5174   1.0566   0.5038  -0.0002   0.8238   0.6729   0.4084   0.0000 143.1645 911.0640       ML
      114   0.4344   0.9186   0.7897  -0.0015   0.7416   0.1501   0.4588   0.0000 122.5058 812.3560       ML
      115   0.5831   0.9278   0.7465  -0.0730   0.1588   0.7758   0.6867   0.0000 152.3821  73.8300       ML
      118   0.3304   0.9049   0.7707   0.0413   0.0336   0.9528   0.5507   0.0000  95.9751  71.9860       ML
      119   0.5470   0.7183   0.8674  -0.0281   0.8107   0.0287   0.7292   0.0000 149.9844 409.3820       ML
      120   0.7737   1.1168   0.6612  -0.1288   0.2219   0.0000   0.3683   0.0000  80.9614  88.0330       ML
      121   0.4614   0.8227   0.7772   0.0015   0.4255   0.0005   0.5802   0.0000 101.5715 100.8990       ML
      122   0.5047   0.8891   0.6312   0.0622   0.1427   0.4348   0.6269   0.0000 153.0623 118.2640       ML
      123   0.3489   0.7075   0.8769   0.0620   0.2312   0.8291   0.7063   0.0000 122.2860  63.7980       ML
      124   0.7139   0.9583   0.7573  -0.0551   0.1739   0.0155   0.4993   0.0000  99.6153  90.4530       ML
      126   0.5343   0.8867   0.6197  -0.0701   0.3028   0.4792   0.6948   0.0000 156.3509  93.2820       ML
      127   0.4209   0.8184   0.6866   0.0337   0.7287   0.1188   0.3628   0.0000  88.6012  87.4210       ML
      128   0.6953   0.7766   0.8665   0.0702   0.0001   0.0304   0.6756   0.0000 106.5842  49.8660       ML
      129   0.4879   1.2305   0.3328   0.0140   0.1434   0.2989   0.1176   0.0000 137.3851  34.7640       ML
      130   0.2491   1.0068   0.6638   0.1689   0.0064   0.0421   0.5177   0.0000 109.8172  37.5600       ML
      131   0.5267   1.2820   0.2874  -0.0229   0.5143   0.3830   0.2009   0.0000 177.1130  47.9610       ML
      132   0.4275   0.9234   0.4748   0.0632   0.0000   0.0204   0.2132   0.0000  54.8619  29.7990       ML
      133   0.4161   0.9158   0.6295   0.0344   0.0069   0.3553   0.5533   0.0000 158.4814  40.8980       ML
      134   0.5496   0.7377   0.7753  -0.0139   0.2430   1.0060   0.6438   0.0000 127.5677  34.6110       ML
