  dataset       zr        a       t0        d      st0  penalty      fit     time   method
      101   0.3752   0.8254   0.6311   0.1207   0.6230   0.0000  67.5973   0.7740       ML
      104   0.4066   0.9146   0.6816   0.0480   0.3560   0.0000  45.2310   0.4320       ML
      106   0.6449   0.9360   0.6318  -0.0904   0.4155   0.0000  51.2488   0.5740       ML
      107   0.6483   0.7512   0.8945  -0.0576   0.7275   0.0000  63.9829   0.8310       ML
      108   0.4833   0.7215   0.8322   0.0238   0.7194   0.0000  71.5739   0.9110       ML
      109   0.6276   1.1099   0.2678  -0.0974   0.1114   0.0000  46.3734   0.2460       ML
      110   0.5265   0.9169   0.5480  -0.0181   0.2696   0.0000  38.5404   0.3980       ML
      112   0.6055   0.8853   0.5416  -0.0568   0.1502   0.0000  10.5188   0.4940       ML
      113   0.5366   1.0001   0.4388   0.0027   0.3540   0.0000  61.2492   0.4280       ML
      114   0.4864   0.8906   0.7524  -0.0202   0.4557   0.0000  61.0111   0.5450       ML
      115   0.6120   0.7363   0.8147  -0.0670   0.8326   0.0000  77.7918   0.9800       ML
      118   0.3085   0.9405   0.7409   0.0127   0.3613   0.0000  38.2252   0.4700       ML
      119   0.5451   0.6725   0.8534  -0.0405   0.7245   0.0000  68.7058   0.8430       ML
      120   0.7759   1.0220   0.6673  -0.0955   0.3526   0.0000  29.2020   0.4770       ML
      121   0.4996   0.7563   0.8149  -0.0216   0.6834   0.0000  59.0401   0.7430       ML
      122   0.4941   0.8689   0.6322   0.0741   0.6281   0.0000  79.9241   0.8370       ML
      123   0.3272   0.6750   0.8990   0.0454   0.7399   0.0000  60.8237   0.9090       ML
      124   0.7162   0.9410   0.7620  -0.0382   0.4917   0.0000  42.2837   2.3500       ML
      126   0.4988   0.8668   0.5911   0.0047   0.6005   0.0000  67.5452   0.9810       ML
      127   0.3942   0.8061   0.6641   0.0349   0.4193   0.0000  40.5840   0.6700       ML
      128   0.6616   0.7391   0.8726   0.1110   0.6853   0.0000  54.1402   0.8370       ML
      129   0.5338   1.1175   0.3792   0.0078   0.2496   0.0000  66.2730   0.3270       ML
      130   0.2674   1.0842   0.5942   0.2089   0.3411   0.0000  49.6891   0.4630       ML
      131   0.5597   1.2416   0.2462  -0.0593   0.2061   0.0000  82.3849   0.3990       ML
      132   0.4062   0.9210   0.4718   0.0639   0.2698   0.0000  30.8561   0.4360       ML
      133   0.4304   1.0081   0.5824   0.0078   0.4414   0.0000  74.0281   0.5750       ML
      134   0.5975   0.6879   0.7718  -0.0735   0.5992   0.0000  53.7204   0.7580       ML
