  dataset        a       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.8332   0.8274  -0.0247   0.6917   0.0002   0.5790   0.0000 137.8370  73.1390       ML
      101   1.0031   0.5504   0.0475   0.0816   0.4102   0.4729   0.0000 149.1277  19.1450       ML
      104   0.9011   0.7271   0.0179   0.7281   0.5627   0.3842   0.0000  95.4484  67.7840       ML
      106   0.9696   0.5996  -0.0225   0.0000   0.4846   0.3953   0.0000 110.6835  12.8890       ML
      107   0.7498   0.9006  -0.0013   0.0001   0.3599   0.6922   0.0000 128.3292   8.6460       ML
      108   0.7292   0.8314   0.0031   0.0000   0.3700   0.7150   0.0000 144.6815  15.4040       ML
      109   1.2158   0.3308  -0.0156   0.8118   1.4916   0.1267   0.0000 103.0537  34.2330       ML
      110   1.0370   0.5539   0.0122   0.7473   0.6396   0.2297   0.0000  99.7694  39.7730       ML
      112   1.0112   0.5197  -0.0063   0.3134   0.7260   0.1566   0.0000  68.7649  29.4490       ML
      113   1.0290   0.5030   0.0099   0.7841   0.1397   0.4079   0.0000 143.3770  68.3370       ML
      114   0.9165   0.8098  -0.0293   0.9088   0.2219   0.4549   0.0000 124.3472 2286.1090       ML
      115   0.9039   0.7479  -0.0489   0.1184   0.5331   0.6980   0.0000 155.7757  17.9280       ML
      118   0.8909   0.7874  -0.0573   0.1655   1.5245   0.4857   0.0000 106.5604  35.0240       ML
      119   0.7169   0.8555  -0.0071   0.5946   0.7120   0.7367   0.0000 152.0002  92.8530       ML
      120   0.7769   0.7757   0.0044   0.0000   0.0811   0.5721   0.0000 124.0129  30.7140       ML
      121   0.8442   0.8043  -0.0171   0.9996   0.5861   0.5756   0.0000  97.5315  43.9710       ML
      122   0.8890   0.6311   0.0636   0.1385   0.4297   0.6271   0.0000 153.0744  14.9970       ML
      123   0.7068   0.8758   0.0280   0.4731   0.6157   0.6953   0.0000 132.9807  37.7720       ML
      124   0.9088   0.7665   0.0513   0.1418   0.2341   0.4905   0.0000 130.7112  14.5000       ML
      126   0.8975   0.6698  -0.0715   0.9517   0.4910   0.7240   0.0000 154.7503  45.0740       ML
      127   0.8811   0.6739  -0.0063   0.7645   0.9286   0.4001   0.0000  93.2973  64.8730       ML
      128   0.7455   0.8694   0.1383   0.1692   0.1644   0.6631   0.0000 131.7559  12.0550       ML
      129   1.2410   0.3406  -0.0097   0.3414   0.3187   0.0564   0.0000 133.0373   8.7590       ML
      130   1.0507   0.6677   0.0312   0.7750   1.0384   0.3918   0.0000 146.3237  83.0430       ML
      131   1.2828   0.2938  -0.0061   0.5679   0.3918   0.2011   0.0000 177.5546  22.1380       ML
      132   0.9282   0.4752   0.0383   0.1927   0.7372   0.1933   0.0000  60.8160   4.4670       ML
      133   0.8736   0.6498   0.0384   0.1188   0.3659   0.6598   0.0000 164.7529  17.0090       ML
      134   0.7097   0.7844   0.0167   0.0012   0.6198   0.6359   0.0000 123.4430  11.7480       ML
