  dataset        a        v       t0        d      st0  penalty      fit     time   method
      101   0.8563  -0.5459   0.6119   0.0772   0.5970   0.0000  68.2521   0.9630       ML
      104   0.9242  -0.3670   0.6742   0.0105   0.3445   0.0000  45.8792   0.6110       ML
      106   0.9459   0.6144   0.6244  -0.0240   0.3931   0.0000  51.7317   0.5780       ML
      107   0.7928   0.3966   0.8535  -0.0696   0.6012   0.0000  64.2497   2.2710       ML
      108   1.2181   0.0916   0.6281  -0.0099   0.2733   0.0000  81.3453   1.0480       ML
      109   1.1067   0.5487   0.2680  -0.0330   0.0956   0.0000  46.0611   0.2540       ML
      110   0.9183   0.0870   0.5470  -0.0071   0.2669   0.0000  38.6365   0.4330       ML
      112   0.9153   0.5097   0.5227  -0.0511   0.1794   0.0000  16.5392   0.4180       ML
      113   1.0008   0.1642   0.4389   0.0202   0.3513   0.0000  61.1997   0.5590       ML
      114   0.8899  -0.0707   0.7527  -0.0258   0.4555   0.0000  60.9958   0.8510       ML
      115   0.7236   0.5810   0.8157  -0.0412   0.8441   0.0000  78.3606   1.2310       ML
      118   0.9244  -0.9436   0.7474  -0.0731   0.3671   0.0000  37.9474   0.6390       ML
      119   0.6653   0.2237   0.8548  -0.0296   0.7298   0.0000  68.8704   0.9890       ML
      120   0.9857   1.4137   0.6829   0.0451   0.3762   0.0000  29.6026   0.6890       ML
      121   0.7565   0.0005   0.8148  -0.0218   0.6832   0.0000  59.0400   0.7560       ML
      122   0.8686   0.0358   0.6323   0.0718   0.6290   0.0000  79.9186   1.0080       ML
      123   0.6795  -1.0390   0.8959   0.0117   0.7412   0.0000  61.3866   1.2140       ML
      124   0.8616   1.3472   0.8064   0.1109   0.5340   0.0000  41.4270   0.9450       ML
      126   0.8664   0.0402   0.5912   0.0040   0.6008   0.0000  67.5283   0.8070       ML
      127   0.7904  -0.4435   0.6729  -0.0297   0.3995   0.0000  38.3582   1.1040       ML
      128   0.7872   0.9157   0.8578   0.1563   0.6360   0.0000  52.9924   0.8260       ML
      129   1.1186   0.1101   0.3783   0.0280   0.2472   0.0000  66.3520   0.3820       ML
      130   1.1013  -1.0113   0.5865   0.0630   0.2900   0.0000  49.0072   0.4540       ML
      131   1.2376   0.2323   0.2476  -0.0223   0.1996   0.0000  82.2809   0.3730       ML
      132   0.9139  -0.4657   0.4744   0.0282   0.2666   0.0000  30.6551   0.4580       ML
      133   1.0101  -0.3221   0.5823  -0.0285   0.4300   0.0000  73.7564   0.7530       ML
      134   0.6675   0.5288   0.7769  -0.0467   0.6167   0.0000  54.1830   0.9970       ML
